mon,dom,dow,carrier,flight,org,mile,depart,duration,delay
9,1,3,HA,175,OGG,100,9.42,34,NA
4,7,3,UA,130,ORD,137,21.92,48,NA
2,23,0,AA,745,LGA,1389,13.50,240,31
1,27,3,B6,1,JFK,1069,10.92,184,24
5,20,5,UA,577,ORD,1781,17.67,259,325
4,6,2,AA,1344,TUS,813,11.00,130,31
8,6,6,AA,413,ORD,1726,11.75,255,-10
4,19,1,UA,1564,ORD,1144,18.50,171,16
5,15,0,UA,314,ORD,412,21.55,86,113
3,10,4,OH,5357,LGA,604,21.25,134,28
11,9,2,OO,6752,ORD,607,6.22,107,-16
0,2,3,AA,2079,ORD,1723,8.33,265,-16
5,19,4,B6,10,JFK,301,20.67,105,27
3,21,1,US,514,SJC,386,13.83,85,-12
7,4,1,OH,5436,LGA,834,15.98,169,62
11,15,1,OO,5495,SFO,158,22.25,60,18
8,14,0,AA,1005,ORD,1739,10.42,265,38
6,2,3,US,2144,LGA,185,21.00,72,1
2,11,2,B6,59,JFK,944,11.00,173,-6
9,23,4,B6,619,JFK,829,20.17,169,-27
2,25,2,US,2140,LGA,185,19.00,76,-6
2,21,5,WN,162,SMF,389,16.42,75,48
6,3,4,WN,383,SMF,389,6.08,75,-4
1,3,0,WN,1471,SFO,1855,11.92,240,60
6,10,4,WN,2352,SJC,417,8.58,80,-4
1,17,0,OO,6016,ORD,738,7.25,133,-26
4,6,2,WN,3656,SJC,621,19.58,110,-12
1,7,4,OO,6761,ORD,466,20.00,102,-1
11,18,4,UA,420,ORD,528,19.38,107,NA
8,17,3,WN,1940,SFO,447,19.17,85,-3
6,8,2,OH,5530,JFK,199,8.67,98,20
4,29,4,UA,608,ORD,612,10.00,107,NA
5,14,6,WN,3782,SJC,621,15.50,110,-2
11,30,2,OO,5796,SFO,153,19.05,62,-15
11,27,6,UA,139,ORD,1846,9.83,289,21
9,22,3,OO,3920,SJC,585,6.00,114,-6
11,12,5,UA,289,ORD,1846,13.27,293,20
0,2,3,WN,343,SJC,569,21.42,105,2
4,28,3,OH,5649,LGA,431,20.00,114,36
5,19,4,AA,1540,TUS,813,14.17,140,47
10,6,4,AA,411,ORD,334,13.67,85,NA
8,25,4,AA,1929,SFO,337,7.58,85,5
6,6,0,UA,506,SFO,679,20.73,117,10
10,9,0,OH,6504,JFK,145,15.08,75,35
11,20,6,OH,6577,JFK,766,9.33,166,184
10,21,5,AA,2345,ORD,802,17.42,160,-6
3,10,4,UA,188,SFO,2521,22.50,328,-9
4,24,6,B6,112,JFK,301,22.92,91,-16
7,6,3,UA,72,SFO,372,17.17,93,12
2,14,5,US,2138,LGA,185,18.00,74,16
10,27,4,AA,1872,ORD,1005,12.67,155,-18
3,9,3,WN,732,SMF,480,6.00,85,-13
0,8,2,AA,2377,LGA,761,6.50,150,5
11,31,3,UA,117,ORD,1721,20.28,275,19
6,14,1,HA,133,OGG,100,9.35,34,-2
7,15,5,UA,442,ORD,316,19.25,82,-10
0,23,3,AA,889,ORD,1745,18.25,270,NA
0,15,2,B6,172,SMF,2521,0.25,308,0
7,10,0,AA,2349,ORD,802,18.92,140,74
0,25,5,AA,2345,ORD,802,18.08,155,48
2,1,6,OH,5033,LGA,722,9.00,161,-36
5,13,5,UA,580,ORD,622,10.53,111,42
6,16,3,B6,1301,JFK,228,6.92,90,-30
4,14,3,AA,1773,ORD,1118,19.17,185,18
2,3,1,WN,1522,SJC,697,18.17,130,-10
5,9,1,UA,106,ORD,137,16.52,52,86
6,18,5,UA,780,SFO,550,20.97,96,65
6,2,3,US,2130,LGA,185,14.00,71,147
4,14,3,AA,1659,ORD,403,21.08,80,15
7,6,3,AA,895,ORD,888,12.67,145,-3
0,27,0,AA,1323,JFK,740,8.58,170,-6
7,9,6,WN,226,SJC,417,10.83,80,2
1,29,5,OO,6416,SFO,896,12.42,138,26
11,19,5,AA,701,LGA,1389,6.00,245,16
0,5,6,US,607,ORD,1440,5.00,220,9
6,20,0,B6,619,JFK,829,21.00,168,252
3,10,4,UA,802,SJC,948,6.52,164,17
0,17,4,OO,6703,ORD,491,20.00,102,53
2,21,5,AA,1235,ORD,258,18.25,75,105
1,19,2,AA,317,LGA,733,9.92,165,NA
9,15,3,OO,5445,SFO,191,13.83,67,2
7,28,4,UA,748,SFO,192,10.20,63,-18
9,4,6,AA,2056,TUS,1437,6.83,195,20
3,14,1,B6,141,JFK,1074,16.75,200,21
11,20,6,AA,1713,LGA,1097,6.75,185,25
5,3,2,OO,5451,SFO,250,18.42,81,20
7,23,6,OH,5613,JFK,541,13.98,135,21
1,24,0,B6,648,SFO,2586,23.08,325,-14
4,22,4,AA,380,ORD,733,10.83,135,18
0,11,5,B6,95,JFK,2576,20.83,407,NA
5,20,5,OO,6098,ORD,240,13.17,71,3
0,8,2,AA,397,LGA,733,21.42,140,NA
10,2,0,US,384,SMF,397,10.13,81,47
7,29,5,WN,284,SJC,188,21.17,55,7
1,12,2,OO,6004,ORD,116,16.63,51,NA
4,14,3,UA,704,SFO,550,7.98,102,0
4,10,6,AA,1745,ORD,1745,9.75,260,28
5,25,3,UA,766,ORD,622,21.75,106,27
2,6,4,UA,340,ORD,622,15.75,110,-7
6,9,3,US,2191,LGA,214,21.00,78,66
6,12,6,WN,481,SJC,308,10.25,75,-8
1,3,0,WN,1223,SMF,1790,12.75,235,6
9,29,3,OO,6446,ORD,654,18.10,109,3
3,14,1,US,31,OGG,2845,22.67,349,-19
1,12,2,OO,5474,SFO,250,8.67,79,20
10,30,0,B6,65,JFK,1005,11.00,182,84
1,22,5,AA,336,ORD,733,21.58,115,44
2,1,6,OO,5737,SFO,153,11.08,61,3
4,31,6,WN,1890,SMF,480,12.83,85,2
4,22,4,UA,55,SFO,2367,13.50,323,32
9,14,2,UA,1161,ORD,1437,20.17,224,-20
2,26,3,AA,2098,ORD,867,16.00,135,-26
2,27,4,AA,1763,ORD,1726,16.83,260,140
1,28,4,UA,929,ORD,1739,15.25,266,8
1,28,4,UA,602,ORD,612,7.00,105,-1
4,22,4,UA,46,OGG,2486,20.42,303,-19
7,3,0,AA,2341,ORD,802,16.75,150,61
7,22,5,UA,182,ORD,606,13.22,127,-6
11,27,6,B6,1002,JFK,187,7.08,75,13
5,12,4,AA,1571,ORD,334,11.92,85,2
11,4,4,AA,759,LGA,1389,14.83,250,280
3,27,0,AA,2057,ORD,2072,8.00,275,12
9,24,5,AA,1502,ORD,1012,6.67,155,8
9,28,2,UA,226,SFO,337,7.80,87,-20
11,22,1,UA,1479,ORD,1440,17.87,235,61
9,21,2,AA,1771,ORD,606,15.58,125,-27
3,9,3,OO,5553,SFO,329,12.75,92,26
1,7,4,US,2114,LGA,185,6.00,60,-15
3,26,6,UA,679,ORD,1723,15.25,256,-4
0,28,1,AA,751,LGA,1389,14.58,245,-8
7,15,5,OO,6023,ORD,491,16.70,98,68
5,24,2,WN,108,TUS,451,12.58,90,20
1,14,4,OO,6077,ORD,438,16.17,99,1
4,3,6,US,90,TUS,110,11.75,49,-14
3,10,4,OO,6449,ORD,1249,17.33,204,227
6,13,0,OH,5132,JFK,184,16.17,100,NA
2,21,5,UA,1178,SMF,910,7.15,141,-14
1,17,0,AA,1561,ORD,1846,18.58,275,78
11,17,3,B6,355,JFK,2465,13.25,379,NA
2,5,3,UA,725,ORD,802,20.92,150,21
6,23,3,UA,658,ORD,719,18.18,154,121
5,6,5,B6,470,SJC,2689,20.92,330,-17
3,26,6,UA,638,ORD,719,9.00,124,74
10,10,1,UA,674,ORD,733,9.07,131,-15
6,16,3,WN,1896,SFO,337,12.00,80,25
6,19,6,UA,1514,ORD,1182,18.50,187,32
0,21,1,UA,332,SMF,1781,13.52,240,139
6,1,2,OO,5572,SFO,329,10.47,89,120
4,13,2,UA,676,ORD,733,10.08,128,10
1,14,4,AA,769,JFK,1597,6.58,230,76
10,19,3,B6,363,LGA,1035,7.58,171,-25
5,22,0,AA,1323,JFK,740,8.00,155,445
5,4,3,AA,1,JFK,2475,9.00,355,115
10,23,0,UA,681,LGA,733,13.00,159,-28
9,16,4,UA,524,ORD,867,7.33,139,69
1,3,0,UA,906,SFO,1846,10.75,254,30
1,26,2,UA,851,LGA,733,10.00,160,6
4,9,5,AA,1248,ORD,678,6.67,115,63
1,22,5,OO,5807,ORD,177,11.17,65,37
7,19,2,UA,74,SFO,2419,22.17,307,17
9,28,2,B6,709,JFK,1597,6.00,223,10
7,10,0,AA,380,ORD,733,10.83,135,NA
1,10,0,AA,6,OGG,3711,18.17,415,16
2,21,5,WN,2537,SFO,337,19.08,85,-15
10,24,1,AA,1503,ORD,1120,12.08,170,-11
4,6,2,WN,454,SMF,358,18.92,70,2
1,4,1,UA,1547,ORD,1515,14.75,240,41
7,19,2,UA,1675,ORD,2072,8.25,291,-21
4,9,5,UA,194,ORD,264,21.33,70,19
4,26,1,UA,1410,ORD,177,14.00,65,-1
10,3,1,US,909,ORD,599,7.75,114,-10
9,6,1,HA,157,OGG,100,12.18,34,-12
3,25,5,WN,1933,SMF,397,21.25,80,116
8,16,2,B6,31,JFK,944,10.92,162,-5
9,23,4,B6,1069,JFK,1522,20.17,263,-10
10,27,4,UA,704,SFO,550,7.33,109,-14
2,3,1,OH,5440,JFK,106,18.50,88,-35
3,9,3,AA,321,LGA,733,11.50,150,NA
6,2,3,AA,73,ORD,4243,9.00,540,21
0,30,3,UA,454,ORD,606,10.67,117,-2
5,5,4,OO,5905,ORD,1118,10.52,179,21
11,11,4,UA,693,LGA,733,19.05,162,-15
5,16,1,AA,1362,ORD,740,12.92,140,NA
6,11,5,UA,610,ORD,612,11.08,112,-7
1,18,1,AA,1358,ORD,867,20.92,130,56
6,6,0,B6,922,ORD,867,18.92,140,59
3,9,3,UA,1147,ORD,802,14.75,151,33
11,6,6,US,165,SJC,386,10.08,83,3
11,21,0,AA,761,ORD,258,10.58,70,45
10,26,3,OO,5444,SFO,191,17.83,66,19
5,9,1,AA,194,SFO,2704,13.83,335,126
3,2,3,US,2175,LGA,214,13.00,79,-16
10,20,4,OO,6760,ORD,286,11.18,76,-3
7,7,4,AA,2420,ORD,1120,7.00,165,-16
10,6,4,UA,1226,ORD,622,8.32,112,16
9,15,3,AA,201,JFK,2475,6.42,360,22
1,28,4,OO,5954,ORD,323,7.50,79,4
2,31,1,US,4,ORD,1440,10.67,233,73
8,22,1,UA,501,SFO,447,10.75,90,-4
5,20,5,OO,5792,SFO,462,15.15,120,-23
10,24,1,UA,341,ORD,416,9.75,94,-17
8,10,3,UA,1453,ORD,837,19.92,135,-3
2,27,4,B6,209,JFK,2465,12.08,372,70
5,7,6,OO,6165,ORD,462,8.30,98,-14
10,24,1,OO,5608,SFO,158,14.62,60,6
3,11,5,UA,399,LGA,1619,6.00,252,4
3,4,5,UA,522,SFO,550,23.00,99,-2
2,24,1,OO,6011,ORD,323,10.93,79,4
6,10,4,US,1571,ORD,678,16.42,128,1
10,1,6,OO,5790,SFO,153,16.98,58,21
1,11,1,UA,676,ORD,733,10.00,128,131
4,23,5,B6,91,JFK,2576,15.92,373,79
0,8,2,UA,311,SFO,372,12.47,87,88
10,10,1,B6,263,SMF,387,9.17,83,-16
9,1,3,US,204,SMF,647,9.25,112,5
1,18,1,B6,290,SFO,599,15.58,105,-4
5,5,4,UA,828,ORD,867,21.08,135,70
1,17,0,OO,5982,ORD,157,20.92,55,NA
3,26,6,AA,1639,JFK,1597,19.00,245,23
5,1,0,UA,139,ORD,1846,9.97,273,42
7,27,3,UA,220,SFO,2419,16.13,307,NA
1,2,6,AA,1248,ORD,678,6.67,110,NA
0,13,0,OH,5526,JFK,267,20.58,108,NA
7,13,3,WN,2621,SMF,389,21.17,75,-3
8,21,0,AA,85,JFK,2586,14.92,370,24
11,13,6,AA,451,ORD,1846,10.58,295,108
4,19,1,AA,394,ORD,733,6.75,125,21
6,21,1,OO,6171,ORD,1332,9.82,213,20
4,30,5,AA,1463,ORD,888,10.75,150,66
1,28,4,OO,6750,ORD,264,6.50,75,-16
5,30,1,OO,3912,SFO,599,13.00,108,56
10,19,3,UA,473,ORD,1726,19.93,271,-16
9,29,3,WN,817,SMF,389,9.50,75,-7
2,2,0,AA,39,SFO,2398,8.33,340,-31
8,27,6,OH,6794,JFK,187,12.92,81,45
3,21,1,OH,5592,JFK,187,19.08,98,32
6,24,4,UA,1220,SJC,948,7.88,156,-5
2,28,5,WN,595,SJC,697,11.00,125,22
11,25,4,HA,215,OGG,100,16.58,34,7
2,9,0,WN,145,SJC,386,13.33,80,45
3,21,1,US,1247,LGA,544,8.25,120,22
6,27,0,OH,5735,JFK,228,8.50,102,3
0,10,4,OH,5478,JFK,144,18.92,109,-29
2,21,5,AA,1605,ORD,1723,13.75,265,202
0,26,6,UA,828,ORD,867,20.75,130,1
11,24,3,B6,1087,JFK,541,21.67,130,40
1,9,6,WN,939,SMF,373,17.42,80,-6
2,12,3,B6,145,JFK,1074,20.58,204,2
4,19,1,WN,469,SMF,480,15.83,85,-10
5,26,4,AA,394,ORD,733,6.75,125,18
4,4,0,UA,888,SFO,337,11.50,86,36
10,14,5,OO,6218,ORD,738,20.75,134,NA
4,30,5,OO,5851,ORD,522,8.00,102,33
8,22,1,UA,226,SFO,337,8.05,95,-12
5,1,0,WN,1074,SMF,373,17.17,85,38
2,20,4,B6,69,JFK,1069,13.25,178,21
7,19,2,OO,6485,ORD,438,18.48,94,-20
0,21,1,WN,873,SJC,621,15.17,105,37
11,16,2,AA,1487,ORD,1671,10.00,255,18
11,21,0,UA,885,ORD,1846,8.05,278,82
3,10,4,AA,2303,ORD,802,6.67,140,NA
11,16,2,AA,1447,ORD,837,14.58,140,28
3,25,5,WN,162,SMF,389,16.42,75,-2
5,14,6,UA,385,ORD,334,15.25,86,24
9,29,3,UA,1178,SMF,910,7.63,140,-9
8,15,1,US,2116,LGA,185,7.00,66,NA
4,6,2,B6,117,JFK,1182,7.00,186,-12
6,27,0,UA,463,ORD,334,22.65,82,NA
6,23,3,UA,820,SFO,679,12.73,127,8
11,8,1,AA,1031,ORD,1236,19.08,205,30
11,15,1,WN,2241,SJC,342,13.00,75,18
7,18,1,OO,3942,SMF,532,17.87,98,-19
6,25,5,UA,725,ORD,802,20.58,136,33
7,9,6,AA,1869,ORD,258,20.75,65,10
0,22,2,OO,6123,ORD,286,13.17,76,NA
8,10,3,AA,462,ORD,647,19.92,110,3
1,12,2,AA,1686,ORD,647,7.17,105,33
10,29,6,UA,1186,ORD,296,8.00,75,-17
8,11,4,OO,6439,ORD,213,20.08,61,-2
9,8,3,UA,620,ORD,612,16.00,113,9
7,9,6,AA,1393,LGA,761,9.25,150,3
11,2,2,AA,3,JFK,2475,12.17,375,-29
9,19,0,OO,5496,SFO,191,22.33,67,75
1,26,2,OO,5488,SFO,329,21.42,93,44
8,19,5,OO,5526,SFO,316,10.33,86,33
0,10,4,AA,554,SFO,1846,16.58,245,110
0,26,6,AA,1306,SFO,1464,6.92,210,NA
5,26,4,AA,269,JFK,2421,16.75,370,54
3,13,0,UA,1597,ORD,1515,18.02,235,-6
0,21,1,AA,1544,SFO,1846,10.92,260,102
3,7,1,US,473,JFK,2248,9.67,343,31
5,10,2,AA,336,ORD,733,20.58,120,62
6,17,4,UA,797,ORD,1162,12.08,185,5
9,16,4,B6,37,JFK,1028,8.08,175,17
1,4,1,OH,5131,LGA,478,8.42,124,35
9,24,5,WN,415,SJC,333,6.58,75,-4
2,19,3,AA,1311,ORD,678,11.83,115,130
1,28,4,AA,2378,ORD,1197,16.08,180,0
0,5,6,WN,3142,SJC,386,18.67,80,105
6,28,1,OH,5501,JFK,766,11.92,173,30
