,data_values
201,310.529991
202,309.520008
203,307.470001
204,308.839993
205,308.049988
206,307.830009
207,305.23999
208,300.98
209,304.179993
210,309.360004
211,312.800003
212,318.270008
213,317.130009
214,318.620003
215,316.079998
216,318.030003
217,316.649998
218,308.029987
219,307.040005
220,301.59
221,300.499989
222,308.429996
223,306.730011
224,313.3599890000001
225,308.7300029999999
226,314.799995
227,315.0
228,316.870003
229,311.150005
230,316.400005
231,318.150005
232,317.440002
233,320.149998
234,318.210007
235,321.009991
236,319.760002
237,320.559994
238,321.670006
239,320.290001
240,320.3599890000001
241,321.249996
242,320.610008
243,322.209991
244,324.199997
245,325.159992
246,323.60001
247,324.680008
248,325.470013
249,325.290009
250,323.660011
251,322.560013
252,329.57
253,331.290012
254,334.000008
255,333.729988
256,336.120003
257,342.450001
258,341.639996
259,344.420006
260,345.680008
261,348.479992
262,340.650013
263,338.840012
264,332.680004
265,326.720001
266,337.449993
267,341.39999
268,343.850006
269,343.209991
270,336.100002
271,339.319996
272,345.030006
273,344.320004
274,343.4400100000001
275,346.5
276,351.87999
277,355.200012
278,358.16
279,354.539997
280,356.85001
281,359.179996
282,359.900013
283,363.129993
284,358.300003
285,350.560013
286,338.6099930000001
287,342.619991
288,342.879997
289,348.160011
290,353.210007
291,349.309998
292,352.119995
293,359.560005
294,359.999989
295,355.3599890000001
296,355.759998
297,352.46999
298,346.6699910000001
299,351.990005
300,353.560001
301,345.4299890000001
302,330.01001
303,334.639996
304,330.669998
305,339.299995
306,341.200012
307,339.190006
308,344.970005
309,351.540009
310,350.4400100000001
311,350.959995
312,348.630009
313,348.5100060000001
314,344.560009
315,341.189999
316,338.8899990000001
317,338.0399930000001
318,338.079994
319,335.060005
320,330.799988
321,332.399998
322,336.12999
323,332.419998
324,327.459991
325,331.849998
326,337.8599890000001
327,342.41
328,350.699989
329,353.010002
330,350.42001
331,350.14999
332,346.749992
333,350.12999
334,346.2799950000001
335,348.200012
336,349.570004
337,346.749992
338,346.660004
339,347.599998
340,349.450001
341,347.2300029999999
342,346.569988
343,340.499996
344,333.299992
345,336.140003
346,339.869995
347,340.53001
348,335.220009
349,334.39999
350,332.190006
351,336.779991
352,335.000004
353,337.409992
354,347.82999
355,345.509991
356,346.099991
357,343.4400100000001
358,338.0399930000001
359,332.039989
360,332.239994
361,331.48999
362,325.900009
363,326.599998
364,332.439999
365,326.749989
366,325.159992
367,320.259987
368,315.320007
369,325.299995
370,322.6100009999999
371,331.230011
372,326.350006
373,332.039989
374,335.26001
375,334.040009
376,335.670006
377,343.2600060000001
378,349.43
379,351.759987
380,357.200005
381,359.709995
382,354.000011
383,353.749992
384,358.0199970000001
385,357.7700040000001
386,364.919994
387,373.800011
388,376.849987
389,386.89999
390,387.290012
391,393.300003
392,398.499989
393,403.410007
394,392.59
395,391.819996
396,390.479992
397,396.749989
398,388.909996
399,392.57
400,377.369999
401,373.620007
402,353.210007
403,374.010002
404,363.690006
405,373.700008
406,376.98999
407,383.410004
408,380.480003
409,380.440002
410,366.050007
411,356.029991
412,356.4399870000001
413,373.600006
414,376.180012
415,373.720009
416,383.579994
417,389.969994
418,389.989994
419,384.830009
420,381.030003
421,374.050003
422,379.740013
423,383.929989
424,384.140007
425,377.479988
426,379.939991
427,384.619991
428,389.299992
429,392.959995
430,400.500008
431,411.630009
432,413.449997
433,412.140007
434,401.820011
435,404.299988
436,403.170002
437,399.260006
438,397.009995
439,390.570007
440,381.319996
441,374.600002
442,372.500008
443,378.249992
444,377.369999
445,369.799999
446,388.809994
447,400.289989
448,402.190006
449,408.429989
450,421.999992
451,419.990013
452,422.23999800000007
453,398.619991
454,395.310009
455,392.870007
456,405.770008
457,397.770012
458,400.60001
459,404.69001
460,404.949989
461,404.779999
462,396.51001
463,397.410004
464,403.07
465,400.240002
466,399.730003
467,406.229992
468,395.279995
469,385.220005
470,384.619991
471,379.260002
472,388.829994
473,384.770008
474,377.41
475,374.94001
476,369.009995
477,376.510006
478,366.990002
479,363.570004
480,376.12001
481,373.199997
482,382.199989
483,387.93
484,389.700001
485,393.01001
486,390.949989
487,389.09
488,390.659996
489,393.62001
490,391.839996
491,388.809994
492,380.19001
493,378.939995
494,381.019989
495,382.210003
496,395.949997
497,396.450008
498,398.550003
499,403.330006
500,406.529999
501,402.640003
502,405.120007
503,405.000004
504,411.23
505,413.44001
506,418.029995
507,422.400002
508,421.73
509,423.239994
510,422.549992
511,421.389992
512,419.810009
513,424.700001
514,429.110008
515,427.750004
516,420.30000700000005
517,427.409996
518,420.409996
519,446.659996
520,444.62999
521,447.28001
522,453.009995
523,456.47998
524,456.189987
525,455.12000300000005
526,459.68
527,463.969978
528,468.830009
529,476.680016
530,493.170006
531,493.419998
532,502.600021
533,509.459991
534,497.669975
535,502.209999
536,502.12001
537,514.850021
538,513.039993
539,516.3899769999998
540,522.4099809999999
541,525.760017
542,535.410011
543,542.440025
544,544.4699780000002
545,545.180008
546,533.1600269999999
547,530.259987
548,530.6900099999998
549,541.989975
550,545.170021
551,551.999977
552,568.099998
553,589.580009
554,585.5599980000002
555,585.569984
556,601.100006
557,605.959984
558,602.4999849999998
559,599.3400190000001
560,596.050011
561,606.97998
562,614.4800190000002
563,617.62001
564,609.8599929999998
565,599.550011
566,618.6300200000002
567,629.319984
568,624.3099900000002
569,633.679977
570,636.229996
571,628.440018
572,626.20002
573,622.7699809999998
574,605.22998
575,580.1300200000002
576,609.699989
577,608.340012
578,587.439987
579,572.980003
580,571.699974
581,560.280006
582,610.000023
583,607.6999969999998
584,603.000023
585,583.9799879999998
586,582.130013
587,585.97998
588,581.819992
589,565.25
590,569.480003
591,568.18
592,569.180023
593,570.519974
594,566.710007
595,558.2199860000002
596,553.169991
597,546.0800019999998
598,530.12001
599,530.37999
600,561.279976
601,556.970024
602,570.559975
603,565.320015
604,562.289986
605,572.269974
606,579.1699980000002
607,577.7300190000002
608,560.989983
609,564.289978
610,562.830025
611,571.460022
612,571.720001
613,580.319984
614,571.169975
615,576.159996
616,572.160011
617,571.529984
618,574.12999
619,585.779976
620,587.4100269999999
621,585.739975
622,577.669991
623,582.099998
624,570.77002
625,572.0300219999998
626,574.4999849999998
627,569.04998
628,584.0000150000002
629,592.519997
630,599.4099809999999
631,609.9399950000002
632,605.879982
633,613.889992
634,608.210022
635,604.430016
636,598.900009
637,604.970001
638,606.910019
639,606.93998
640,606.260017
641,614.320015
642,604.300026
643,603.8300019999998
644,600.919975
645,574.970009
646,574.8800200000002
647,585.159988
648,595.0300139999998
649,610.759987
650,606.8099900000002
651,607.789986
652,615.70002
653,622.5500030000002
654,620.910019
655,619.860008
656,620.7299879999998
657,621.6999969999998
658,630.0
659,631.690025
660,630.829979
661,636.340012
662,648.110001
663,665.150017
664,656.059982
665,668.869995
666,662.630013
667,663.2199860000002
668,675.679977
669,674.800011
670,673.469994
671,663.869987
672,665.240005
673,674.970001
674,670.230026
675,676.270004
676,680.43998
677,662.739975
678,660.5900190000001
679,669.790016
680,682.980011
681,691.2800139999998
682,699.7800219999998
683,701.910004
684,702.100021
685,698.6999969999998
686,700.089989
687,690.790016
688,673.5400089999998
689,665.179977
690,681.32
691,667.100021
692,659.389992
693,661.309982
694,671.449974
695,666.799988
696,652.589996
697,638.170013
698,635.850014
699,640.909996
700,628.099983
701,629.710007
702,634.760002
703,649.789986
704,644.610001
705,632.6400070000002
706,609.8400190000001
707,634.029999
708,613.3599929999998
709,616.829979
710,609.539986
711,603.999992
712,595.320007
713,596.5400089999998
714,576.800011
715,584.620003
716,582.849976
717,558.000008
718,537.7499849999998
719,547.0599980000002
720,542.829994
721,542.900009
722,536.880005
723,525.619987
724,527.680008
725,565.730011
726,560.9099809999999
727,561.700012
728,571.500023
729,589.5300219999998
730,584.780006
731,582.940018
732,589.3599780000002
733,585.279991
734,586.190025
735,575.849976
736,538.7900089999998
737,547.239975
738,533.2500150000002
739,529.819977
740,541.3900150000002
741,539.0
742,529.689987
743,509.78998600000006
744,518.829979
745,533.900017
746,526.3099900000002
747,521.7300190000002
748,519.330017
749,520.169983
750,512.999992
751,515.060013
752,509.589981
753,532.169991
754,549.029976
755,542.099991
756,526.999992
757,523.900002
758,525.31002
759,517.100006
760,523.509979
761,520.300026
762,501.750015
763,485.920013
764,506.089981
765,502.68002300000006
766,500.000015
767,504.770004
768,514.010002
769,450.499977
770,439.880001
771,449.830002
772,458.269981
773,456.830002
774,455.48999800000007
775,453.619995
776,442.320004
777,457.840012
778,457.350014
779,468.220009
780,474.980003
781,479.93002300000006
782,467.900002
783,467.009995
784,466.590012
785,460.16001100000005
786,459.990021
787,448.850006
788,446.060009
789,450.80999800000006
790,442.799988
791,448.970009
792,444.569988
793,441.400009
794,430.470013
795,420.049988
796,431.139988
797,425.659996
798,430.580002
799,431.720001
800,437.869995
801,428.429993
802,428.349991
803,432.499992
804,443.660007
805,455.720016
806,454.489975
807,452.079987
808,452.729988
809,461.91001100000005
810,463.580009
811,461.140007
812,452.079987
813,442.66001100000005
814,428.910004
815,429.789997
816,431.989994
817,427.71999000000005
818,423.199993
819,426.209995
820,426.98
821,435.689999
822,434.32999400000006
823,429.800011
824,419.85001
825,426.240009
826,402.800007
827,392.049988
828,390.530006
829,398.670006
830,406.12999
831,405.459988
832,408.380001
833,417.199989
834,430.119991
835,442.779987
836,439.290001
837,445.519997
838,449.980019
839,460.709984
840,458.660004
841,463.839989
842,456.7699740000001
843,452.969994
844,454.740021
845,443.860012
846,428.850002
847,434.580013
848,433.26001
849,442.930004
850,439.659996
851,441.349995
852,442.1399990000001
853,445.150002
854,441.44001
855,444.949997
856,451.580002
857,449.730026
858,450.720009
859,449.30999
860,445.110001
861,438.459995
862,441.810005
863,438.889992
864,437.600002
865,432.189999
866,435.959991
867,430.050003
868,432.000008
869,431.769989
870,422.999989
871,416.840008
872,413.500011
873,402.540001
874,402.62999
875,398.069992
876,393.779987
877,396.53001
878,409.219994
879,418.490005
880,420.799992
881,417.419994
882,415.050007
883,422.349987
884,420.730003
885,427.289993
886,426.51000199999993
887,427.44001
888,430.199993
889,430.310009
890,431.76000199999993
891,424.949993
892,426.30999800000006
893,418.98999
894,440.51000199999993
895,438.499996
896,440.990013
897,447.790009
898,453.320015
899,452.529984
900,456.679985
901,462.53998600000006
902,469.449997
903,465.250008
904,464.979988
905,461.010017
906,454.449974
907,467.360016
908,489.569977
909,498.500008
910,497.909981
911,502.330002
912,507.740005
913,501.07
914,502.360016
915,502.959976
916,501.020012
917,502.970016
918,488.589981
919,490.89999400000005
920,491.700012
921,487.220016
922,488.57999400000006
923,498.690025
924,495.2699740000001
925,498.220001
926,506.169983
927,494.6399990000001
928,467.709984
929,472.690018
930,464.899986
931,450.119995
932,455.320007
933,464.680008
934,472.299995
935,467.410004
936,490.64001500000006
937,489.100006
938,481.530006
939,486.219994
940,482.750008
941,476.749977
942,487.960007
943,489.55999
944,483.409996
945,483.030014
946,487.750015
947,480.93998
948,486.589989
949,489.639992
950,492.80999800000006
951,496.039978
952,498.679985
953,501.110001
954,504.499985
955,508.889992
956,521.3600230000002
957,519.870003
958,524.959999
959,531.910011
960,525.960022
961,529.880005
962,516.680023
963,524.900024
964,522.699974
965,520.030006
966,526.75
967,525.4499969999998
968,520.920013
969,512.490021
970,520.5600049999998
971,519.050011
972,520.009979
973,520.6300200000002
974,528.160019
975,524.990013
976,518.6299740000002
977,519.549995
978,514.9999849999998
979,521.139992
980,519.799988
981,523.739998
982,533.399979
983,545.959999
984,556.069977
985,551.230026
986,566.319984
987,565.000008
988,567.899994
989,560.019974
990,566.43
991,565.54998
992,561.3599780000002
993,560.539986
994,554.429993
995,557.500023
996,554.990005
997,550.769989
998,544.4599910000002
999,549.019989
1000,570.090004
1001,567.669975
1002,563.900009
1003,560.089989
1004,554.5199809999998
1005,561.019997
1006,553.12999
1007,540.9800190000002
1008,543.929993
1009,540.040024
1010,543.460022
1011,536.519997
1012,532.9399950000002
1013,535.7300190000002
1014,546.3900219999998
1015,557.3599929999998
1016,554.2500150000002
1017,540.6699980000002
1018,549.069977
1019,551.509979
1020,556.179993
1021,546.070015
1022,550.500023
1023,506.499977
1024,500.749992
1025,499.779984
1026,500.599976
1027,501.529984
1028,508.790016
1029,512.589996
1030,512.509995
1031,519.679985
1032,528.989998
1033,535.959984
1034,535.919983
1035,544.429977
1036,543.990021
1037,545.990013
1038,537.370003
1039,531.149994
1040,525.249992
1041,527.550018
1042,522.060013
1043,517.349998
1044,527.670021
1045,526.239975
1046,527.76001
1047,531.239983
1048,532.360008
1049,530.7499849999998
1050,530.440018
1051,530.919975
1052,536.0899730000001
1053,536.6099849999998
1054,530.650009
1055,524.68998
1056,526.740013
1057,531.399986
1058,531.26001
1059,528.700005
1060,532.8699799999998
1061,539.190018
1062,544.98999
1063,539.779991
1064,537.4599910000002
1065,536.8599780000002
1066,536.739975
1067,541.649994
1068,542.549988
1069,538.7900089999998
1070,531.820023
1071,523.4699780000002
1072,523.440018
1073,530.320015
1074,523.4800190000002
1075,519.6100230000002
1076,521.679977
1077,517.959999
1078,519.01001
1079,524.940025
1080,531.170021
1081,531.70002
1082,524.750008
1083,567.770004
1084,571.93998
1085,594.0900190000001
1086,592.329979
1087,590.089981
1088,591.480026
1089,592.580025
1090,600.959976
1091,594.4100269999999
1092,592.329979
1093,587.990013
1094,585.540024
1095,592.830017
1096,593.760025
1097,593.869987
1098,588.819992
1099,597.510017
1100,604.5900190000001
1101,604.710022
1102,606.3100049999998
1103,607.269974
1104,614.129997
1105,625.6300200000002
1106,624.01001
1107,635.37999
1108,633.0000150000002
1109,628.650009
1110,637.539986
1111,644.819992
1112,647.349983
1113,645.570023
1114,93.699997
1115,94.25
1116,93.860001
1117,92.290001
1118,91.279999
1119,92.199997
1120,92.080002
1121,92.18
1122,91.860001
1123,90.910004
1124,90.830002
1125,90.279999
1126,90.360001
1127,90.900002
1128,91.980003
1129,92.93
1130,93.519997
1131,93.480003
1132,94.029999
1133,95.970001
1134,95.349998
1135,95.389999
1136,95.040001
1137,95.220001
1138,96.449997
1139,95.32
1140,94.779999
1141,93.089996
1142,94.43
1143,93.940002
1144,94.720001
1145,97.190002
1146,97.029999
1147,97.669998
1148,99.019997
1149,98.379997
1150,98.150002
1151,95.599998
1152,96.129997
1153,95.589996
1154,95.120003
1155,94.959999
1156,94.480003
1157,94.739998
1158,95.989998
1159,95.970001
1160,97.239998
1161,97.5
1162,97.980003
1163,99.160004
1164,100.529999
1165,100.57
1166,100.580002
1167,101.32
1168,101.540001
1169,100.889999
1170,102.129997
1171,102.25
1172,102.5
1173,103.300003
1174,98.940002
1175,98.120003
1176,98.970001
1177,98.360001
1178,97.989998
1179,101.0
1180,101.43
1181,101.660004
1182,101.629997
1183,100.860001
1184,101.580002
1185,101.790001
1186,100.959999
1187,101.059998
1188,102.639999
1189,101.75
1190,97.870003
1191,100.75
1192,100.110001
1193,100.75
1194,99.18
1195,99.900002
1196,99.620003
1197,99.620003
1198,98.75
1199,100.800003
1200,101.019997
1201,100.730003
1202,99.809998
1203,98.75
1204,97.540001
1205,96.260002
1206,97.669998
1207,99.760002
1208,102.470001
1209,102.989998
1210,104.830002
1211,105.220001
1212,105.110001
1213,106.739998
1214,107.339996
1215,106.980003
1216,108.0
1217,109.400002
1218,108.599998
1219,108.860001
1220,108.699997
1221,109.010002
1222,108.830002
1223,109.699997
1224,111.25
1225,112.82
1226,114.18
1227,113.989998
1228,115.470001
1229,114.669998
1230,116.309998
1231,116.470001
1232,118.629997
1233,117.599998
1234,119.0
1235,118.93
1236,115.07
1237,114.629997
1238,115.93
1239,115.489998
1240,115.0
1241,112.400002
1242,114.120003
1243,111.949997
1244,111.620003
1245,109.730003
1246,108.230003
1247,106.75
1248,109.410004
1249,112.650002
1250,111.779999
1251,112.940002
1252,112.540001
1253,112.010002
1254,113.989998
1255,113.910004
1256,112.519997
1257,110.379997
1258,109.330002
1259,106.25
1260,106.260002
1261,107.75
1262,111.889999
1263,112.010002
1264,109.25
1265,110.220001
1266,109.800003
1267,106.82
1268,105.989998
1269,108.720001
1270,109.550003
1271,112.400002
1272,112.980003
1273,113.099998
1274,109.139999
1275,115.309998
1276,118.900002
1277,117.160004
1278,118.629997
1279,118.650002
1280,119.559998
1281,119.940002
1282,118.93
1283,119.720001
1284,122.019997
1285,124.879997
1286,126.459999
1287,127.080002
1288,127.830002
1289,128.720001
1290,128.449997
1291,129.5
1292,133.0
1293,132.169998
1294,128.78999299999998
1295,130.419998
1296,128.46000700000002
1297,129.089996
1298,129.360001
1299,128.53999299999998
1300,126.410004
1301,126.599998
1302,127.139999
1303,124.510002
1304,122.239998
1305,124.449997
1306,123.589996
1307,124.949997
1308,127.040001
1309,128.470001
1310,127.5
1311,125.900002
1312,127.209999
1313,126.690002
1314,123.379997
1315,124.239998
1316,123.25
1317,126.370003
1318,124.43
1319,124.25
1320,125.32
1321,127.349998
1322,126.010002
1323,125.599998
1324,126.559998
1325,127.099998
1326,126.849998
1327,126.300003
1328,126.779999
1329,126.169998
1330,124.75
1331,127.599998
1332,126.910004
1333,128.619995
1334,129.669998
1335,130.279999
1336,132.649994
1337,130.559998
1338,128.639999
1339,125.150002
1340,128.949997
1341,128.699997
1342,125.800003
1343,125.010002
1344,125.260002
1345,127.620003
1346,126.32
1347,125.870003
1348,126.010002
1349,128.949997
1350,128.770004
1351,130.190002
1352,130.070007
1353,130.059998
1354,131.389999
1355,132.53999299999998
1356,129.619995
1357,132.03999299999998
1358,131.779999
1359,130.279999
1360,130.53999299999998
1361,129.96000700000002
1362,130.119995
1363,129.360001
1364,128.649994
1365,127.800003
1366,127.419998
1367,128.880005
1368,128.589996
1369,127.169998
1370,126.919998
1371,127.599998
1372,127.300003
1373,127.879997
1374,126.599998
1375,127.610001
1376,127.029999
1377,128.110001
1378,127.5
1379,126.75
1380,124.529999
1381,125.43
1382,126.599998
1383,126.440002
1384,126.0
1385,125.690002
1386,122.57
1387,120.07
1388,123.279999
1389,125.660004
1390,125.610001
1391,126.82
1392,128.509995
1393,129.619995
1394,132.070007
1395,130.75
1396,125.220001
1397,125.160004
1398,124.5
1399,122.769997
1400,123.379997
1401,122.989998
1402,122.370003
1403,121.300003
1404,118.440002
1405,114.639999
1406,115.400002
1407,115.129997
1408,115.519997
1409,119.720001
1410,113.489998
1411,115.239998
1412,115.150002
1413,115.959999
1414,117.160004
1415,116.5
1416,115.010002
1417,112.650002
1418,105.760002
1419,103.120003
1420,103.739998
1421,109.690002
1422,112.919998
1423,113.290001
1424,112.760002
1425,107.720001
1426,112.339996
1427,110.370003
1428,109.269997
1429,112.309998
1430,110.150002
1431,112.57
1432,114.209999
1433,115.309998
1434,116.279999
1435,116.410004
1436,113.919998
1437,113.449997
1438,115.209999
1439,113.400002
1440,114.32
1441,115.0
1442,114.709999
1443,112.440002
1444,109.059998
1445,110.300003
1446,109.580002
1447,110.379997
1448,110.779999
1449,111.309998
1450,110.779999
1451,109.5
1452,112.120003
1453,111.599998
1454,111.790001
1455,110.209999
1456,111.860001
1457,111.040001
1458,111.730003
1459,113.769997
1460,113.760002
1461,115.5
1462,119.080002
1463,115.279999
1464,114.550003
1465,119.269997
1466,120.529999
1467,119.5
1468,121.18
1469,122.57
1470,122.0
1471,120.919998
1472,121.059998
1473,120.57
1474,116.769997
1475,116.110001
1476,115.720001
1477,112.339996
1478,114.18
1479,113.690002
1480,117.290001
1481,118.779999
1482,119.300003
1483,117.75
1484,118.879997
1485,118.029999
1486,117.809998
1487,118.300003
1488,117.339996
1489,116.279999
1490,115.199997
1491,119.029999
1492,118.279999
1493,118.230003
1494,115.620003
1495,116.169998
1496,113.18
1497,112.480003
1498,110.489998
1499,111.339996
1500,108.980003
1501,106.029999
1502,107.330002
1503,107.230003
1504,108.610001
1505,108.029999
1506,106.82
1507,108.739998
1508,107.32
1509,105.260002
1510,105.349998
1511,102.709999
1512,100.699997
1513,96.449997
1514,96.959999
1515,98.529999
1516,99.959999
1517,97.389999
1518,99.519997
1519,97.129997
1520,96.660004
1521,96.790001
1522,96.300003
1523,101.419998
1524,99.440002
1525,99.989998
1526,93.419998
1527,94.089996
1528,97.339996
1529,96.43
1530,94.480003
1531,96.349998
1532,96.599998
1533,94.019997
1534,95.010002
1535,94.989998
1536,94.269997
1537,93.699997
1538,93.989998
1539,96.639999
1540,98.120003
1541,96.260002
1542,96.040001
1543,96.879997
1544,94.690002
1545,96.099998
1546,96.760002
1547,96.910004
1548,96.690002
1549,100.529999
1550,100.75
1551,101.5
1552,103.010002
1553,101.870003
1554,101.029999
1555,101.120003
1556,101.169998
1557,102.260002
1558,102.519997
1559,104.580002
1560,105.970001
1561,105.800003
1562,105.919998
1563,105.910004
1564,106.720001
1565,106.129997
1566,105.669998
1567,105.190002
1568,107.68
1569,109.559998
1570,108.989998
1571,109.989998
1572,111.120003
1573,109.809998
1574,110.959999
1575,108.540001
1576,108.660004
1577,109.019997
1578,110.440002
1579,112.040001
1580,112.099998
1581,109.849998
1582,107.480003
1583,106.910004
1584,107.129997
1585,105.970001
1586,105.68
1587,105.080002
1588,104.349998
1589,97.82
1590,94.830002
1591,93.739998
1592,93.639999
1593,95.18
1594,94.190002
1595,93.239998
1596,92.720001
1597,92.790001
1598,93.419998
1599,92.510002
1600,90.339996
1601,90.519997
1602,93.879997
1603,93.489998
1604,94.559998
1605,94.199997
1606,95.220001
1607,96.43
1608,97.900002
1609,99.620003
1610,100.410004
1611,100.349998
1612,99.860001
1613,98.459999
1614,97.720001
1615,97.919998
1616,98.629997
1617,99.029999
1618,98.940002
1619,99.650002
1620,98.830002
1621,97.339996
1622,97.459999
1623,97.139999
1624,97.550003
1625,95.330002
1626,95.099998
1627,95.910004
1628,95.550003
1629,96.099998
1630,93.400002
1631,92.040001
1632,93.589996
1633,94.400002
1634,95.599998
1635,95.889999
1636,94.989998
1637,95.529999
1638,95.940002
1639,96.68
1640,96.980003
1641,97.419998
1642,96.870003
1643,98.790001
1644,98.779999
1645,99.830002
1646,99.870003
1647,99.959999
1648,99.43
1649,98.660004
1650,97.339996
1651,96.669998
1652,102.949997
1653,104.339996
1654,104.209999
1655,106.050003
1656,104.480003
1657,105.790001
1658,105.870003
1659,107.480003
1660,108.370003
1661,108.809998
1662,108.0
1663,107.93
1664,108.18
1665,109.480003
1666,109.379997
1667,109.220001
1668,109.080002
1669,109.360001
1670,108.510002
1671,108.849998
1672,108.029999
1673,107.57
1674,106.940002
1675,106.82
1676,106.0
1677,106.099998
1678,106.730003
1679,107.730003
1680,107.699997
1681,108.360001
1682,105.519997
1683,103.129997
1684,105.440002
1685,107.949997
1686,111.769997
1687,115.57
1688,114.919998
1689,113.580002
1690,113.57
1691,113.550003
1692,114.620003
1693,112.709999
1694,112.879997
1695,113.089996
1696,113.949997
1697,112.18
1698,113.050003
1699,112.519997
1700,113.0
1701,113.050003
1702,113.889999
1703,114.059998
1704,116.050003
1705,116.300003
1706,117.339996
1707,116.980003
1708,117.629997
1709,117.550003
1710,117.470001
1711,117.120003
1712,117.059998
1713,116.599998
1714,117.650002
1715,118.25
1716,115.589996
1717,114.480003
1718,113.720001
1719,113.540001
1720,111.489998
1721,111.589996
1722,109.830002
1723,108.839996
1724,110.410004
1725,111.059998
1726,110.879997
1727,107.790001
1728,108.43
1729,105.709999
1730,107.110001
1731,109.989998
1732,109.949997
1733,110.059998
1734,111.730003
1735,111.800003
1736,111.230003
1737,111.790001
1738,111.57
1739,111.459999
1740,110.519997
1741,109.489998
1742,109.900002
1743,109.110001
1744,109.949997
1745,111.029999
1746,112.120003
1747,113.949997
1748,113.300003
1749,115.190002
1750,115.190002
1751,115.82
1752,115.970001
1753,116.639999
1754,116.949997
1755,117.059998
1756,116.290001
1757,116.519997
1758,117.260002
1759,116.760002
1760,116.730003
1761,115.82
