host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
90%,93%,1,2,Private room,1.0,1.0,1.0,$85.00,$20.00,,3,14,145,38.879233286310786,-76.99764142575206,Washington,20003,DC
,,1,3,Entire home/apt,1.0,1.0,2.0,$400.00,,,1,1125,0,38.88045960625689,-77.00800820490474,Washington,20003,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$120.00,,,2,1125,8,38.874074930527634,-77.00230630109228,Washington,20003,DC
100%,95%,3,10,Entire home/apt,4.0,2.0,4.0,$215.00,$125.00,$500.00,2,1825,29,38.89119979601918,-76.95067898888742,Washington,20019,DC
,,1,2,Private room,1.0,0.5,1.0,$90.00,,,2,4,0,38.887464757322995,-76.95571354191316,Washington,20019,DC
100%,87%,1,2,Private room,1.0,1.0,1.0,$50.00,,$95.00,2,240,23,38.891386864024476,-76.94886140643669,Washington,20019,DC
100%,100%,1,5,Private room,1.0,1.0,2.0,$100.00,$25.00,,1,1125,12,38.892090684072606,-76.95031429342673,Washington,20019,DC
33%,,1,4,Entire home/apt,2.0,2.0,2.0,$65.00,,,1,1125,0,38.87302034617779,-76.93891774534113,Washington,20019,DC
92%,95%,2,2,Private room,1.0,1.0,1.0,$55.00,,,2,30,4,38.893628118093574,-76.95924839198673,Washington,20019,DC
100%,73%,1,8,Entire home/apt,3.0,2.5,1.0,$129.00,,$200.00,1,5,58,38.88336419076364,-76.95062953305113,Washington,20019,DC
92%,95%,2,1,Private room,1.0,1.0,1.0,$45.00,,,1,1125,4,38.89197311459737,-76.96042875243575,Washington,20019,DC
58%,51%,480,5,Entire home/apt,2.0,2.0,2.0,$299.00,,,3,365,34,38.90105594623935,-77.03415786399515,Washington,20005,DC
58%,51%,480,5,Entire home/apt,2.0,2.0,2.0,$309.00,,,4,365,8,38.900950918112436,-77.03297298271453,Washington,20005,DC
90%,,2,7,Entire home/apt,2.0,1.0,4.0,$375.00,,,1,1125,0,38.894559108218964,-77.0142194136968,Annapolis,21403,MD
100%,95%,2,4,Entire home/apt,2.0,2.0,3.0,$180.00,$50.00,$250.00,7,21,48,38.90125874629514,-77.01451525359273,Washington,20001,DC
100%,100%,3,4,Entire home/apt,1.0,1.0,1.0,$149.00,$100.00,$95.00,3,1125,32,38.90553358833529,-77.0335504835965,Washington,20005,DC
92%,76%,206,5,Entire home/apt,2.0,2.0,3.0,$337.00,$100.00,,3,1125,6,38.90045936261333,-77.02641873256846,Washington,20268,DC
58%,51%,480,4,Entire home/apt,2.0,2.0,2.0,$299.00,,,3,730,7,38.90107448776449,-77.01924634724715,Washington,20001,DC
58%,51%,480,3,Entire home/apt,1.0,1.0,1.0,$249.00,,,4,365,6,38.893712980783285,-77.0187753708404,Washington,20001,DC
70%,100%,1,3,Entire home/apt,0.0,1.5,1.0,$126.00,$100.00,$500.00,2,1125,5,38.900105122923385,-77.01525406577075,Washington,20001,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$99.00,,$100.00,1,1125,1,38.901896997268096,-77.02814153458705,Washington,20005,DC
58%,51%,480,4,Entire home/apt,2.0,2.0,2.0,$299.00,,,3,365,2,38.900891605447285,-77.01954765941605,Washington,20001,DC
58%,51%,480,2,Entire home/apt,1.0,1.0,1.0,$199.00,$200.00,,7,1125,1,38.90285280700332,-77.01899089961779,Washington,20001,DC
100%,100%,1,3,Shared room,1.0,1.0,3.0,$89.00,$30.00,$95.00,1,1125,1,38.8958004311543,-77.01152204668975,Washington,20001,DC
,,1,2,Entire home/apt,0.0,1.0,1.0,$165.00,$75.00,$400.00,1,1125,0,38.89835142233435,-77.022010710947,Washington,20001,DC
58%,51%,480,4,Entire home/apt,2.0,2.0,2.0,$309.00,,,4,365,1,38.89423150992365,-77.01865832188987,Washington,20001,DC
100%,,1,2,Entire home/apt,0.0,1.0,1.0,$115.00,,,1,1125,0,38.898669487136786,-77.01474773080027,Washington,20001,DC
100%,100%,2,4,Entire home/apt,1.0,1.0,2.0,$130.00,$25.00,,1,1125,85,38.902852240877344,-77.0223174462932,Washington,20005,DC
50%,100%,1,2,Private room,1.0,2.0,1.0,$95.00,$10.00,,1,1125,0,38.90049014626538,-77.0156675651687,Washington,20001,DC
100%,93%,1,1,Shared room,1.0,1.0,1.0,$50.00,$15.00,$95.00,2,1125,6,38.90154862124502,-77.01226564473566,Washington,20001,DC
87%,70%,190,3,Entire home/apt,1.0,1.0,1.0,$569.00,$100.00,,3,1125,0,38.894073406097576,-77.01946295122495,Washington,20001,DC
100%,,1,1,Private room,1.0,1.0,1.0,$55.00,,,20,21,0,38.89904090767454,-77.01668927503434,Washington,20001,DC
100%,100%,3,2,Shared room,1.0,1.5,1.0,$49.00,$12.00,$95.00,1,1125,3,38.905855581292364,-77.01220520404904,Washington,20001,DC
99%,89%,25,4,Entire home/apt,2.0,1.0,2.0,$250.00,$115.00,$500.00,3,1125,4,38.905122099235506,-77.0271197105367,Washington,20001,DC
58%,51%,480,2,Entire home/apt,1.0,,1.0,$198.00,$150.00,,7,365,0,38.91350857861415,-77.01883911476389,Washington,20001,DC
92%,76%,206,5,Entire home/apt,2.0,2.0,3.0,$311.00,$100.00,,3,1125,3,38.89388716603445,-77.01881190665102,Washington,20001,DC
100%,95%,1,2,Entire home/apt,0.0,1.0,1.0,$95.00,$25.00,,2,29,35,38.89933372321029,-77.01645959958827,Washington,20001,DC
100%,100%,1,1,Shared room,1.0,1.0,2.0,$59.00,$30.00,$200.00,1,1125,1,38.90405978432319,-77.01706374248421,Washington,20001,DC
83%,100%,2,2,Entire home/apt,1.0,1.0,1.0,$167.00,$104.00,$575.00,5,1125,31,38.89538941669323,-77.02054559041096,Washington,20004,DC
100%,100%,2,3,Entire home/apt,1.0,1.0,1.0,$165.00,,$135.00,1,1125,0,38.90509797184274,-77.01671890113896,Washington,20001,DC
100%,100%,4,3,Private room,1.0,1.5,1.0,$104.00,,$200.00,2,1125,11,38.905682895633724,-77.01202826957521,Washington,20001,DC
97%,100%,3,2,Entire home/apt,1.0,,1.0,$99.00,,$500.00,1,1125,169,38.904929169820825,-77.02635790155175,Washington,20005,DC
43%,46%,17,4,Entire home/apt,1.0,1.0,3.0,$159.00,$120.00,,1,1125,0,38.898952685319294,-77.01493550148396,Washington,20001,DC
100%,100%,1,2,Entire home/apt,0.0,1.0,1.0,$190.00,,,3,1125,13,38.903888491588525,-77.01749486149015,Washington,20001,DC
92%,76%,206,3,Entire home/apt,1.0,1.0,2.0,$246.00,$100.00,,3,1125,0,38.90491061181446,-77.02989686752196,Washington,20005,DC
70%,100%,1,3,Entire home/apt,1.0,1.0,2.0,$200.00,$70.00,$200.00,2,1125,14,38.90531248565961,-77.02209897261453,Washington,20001,DC
75%,75%,1,3,Entire home/apt,1.0,1.0,2.0,$215.00,,,1,1125,34,38.90077203974195,-77.02467739915396,Washington,20005,DC
67%,100%,1,4,Entire home/apt,2.0,2.0,2.0,$450.00,,$450.00,1,1125,0,38.90120829325216,-77.01633752798432,Washington,20001,DC
87%,70%,190,3,Entire home/apt,1.0,1.0,1.0,$234.00,$100.00,,3,1125,0,38.90500013385111,-77.02923984229416,Washington,20005,DC
100%,100%,4,2,Private room,1.0,1.5,1.0,$110.00,$10.00,,2,1125,33,38.90416964749964,-77.01281494200794,Washington,20001,DC
90%,100%,1,4,Entire home/apt,2.0,2.0,2.0,$225.00,,$300.00,3,30,0,38.90426222465696,-77.01009845722687,Washington,20001,DC
58%,51%,480,3,Entire home/apt,1.0,1.0,1.0,$249.00,,,4,365,4,38.89283202222796,-77.018999047752,Washington,20001,DC
71%,0%,1,2,Entire home/apt,1.0,1.0,1.0,$109.00,$45.00,$500.00,1,1125,0,38.905390313936294,-77.02932421530308,Washington,20005,DC
100%,100%,1,4,Entire home/apt,2.0,2.0,2.0,$250.00,$70.00,,3,1125,1,38.90157468241543,-77.01577666082869,Washington,20001,DC
,,1,4,Entire home/apt,1.0,1.0,1.0,$135.00,,,2,1125,2,38.901502584542754,-77.01459088349478,Washington,20001,DC
100%,89%,1,3,Private room,1.0,2.0,2.0,$87.00,$40.00,"$1,000.00",2,30,2,38.904151661935956,-77.01505902184421,Washington,20001,DC
83%,65%,5,4,Entire home/apt,1.0,1.0,1.0,$210.00,$60.00,$200.00,1,90,103,38.89736639688875,-77.01793375748066,Washington,20001,DC
96%,98%,2,10,Entire home/apt,3.0,2.0,6.0,$300.00,$150.00,$150.00,3,1125,5,38.90547365803351,-77.0205310809973,Washington,20001,DC
58%,51%,480,2,Entire home/apt,0.0,1.0,1.0,$189.00,,,4,365,0,38.893048430614826,-77.02015909713131,Washington,20001,DC
,,1,2,Private room,1.0,1.0,1.0,$120.00,,,1,1125,0,38.904813541580594,-77.0258442322922,"Washington, D.C.",20001,DC
60%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$200.00,,,1,1,1,38.90453668168331,-77.01622817892505,Washington,20001,DC
100%,89%,2,3,Entire home/apt,1.0,1.0,2.0,$269.00,$100.00,,1,1125,6,38.8989480272244,-77.03279295697669,Washington,20005,DC
87%,70%,190,3,Entire home/apt,1.0,1.0,1.0,$569.00,$100.00,,3,1125,0,38.893242322788545,-77.02017567894195,Washington,20001,DC
70%,57%,2,4,Entire home/apt,2.0,2.0,2.0,$120.00,$100.00,$500.00,1,1125,3,38.90531783213974,-77.01514668170775,Washington,20001,DC
100%,95%,2,1,Private room,1.0,1.0,1.0,$109.00,,,2,5,1,38.901571017760375,-77.0157497819597,Washington,20001,DC
25%,100%,1,3,Entire home/apt,1.0,1.0,1.0,$150.00,$25.00,,2,1125,4,38.905404620229966,-77.03050802237755,Washington,20005,DC
92%,100%,4,3,Entire home/apt,1.0,1.0,1.0,$95.00,$35.00,,2,1125,70,38.9050436861595,-77.01880601080266,Washington,20001,DC
100%,100%,1,4,Entire home/apt,1.0,1.0,2.0,$119.00,,,1,20,0,38.904827229838894,-77.02685647466295,Washington,20005,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$97.00,$10.00,,1,1125,2,38.901587668495885,-77.01926964942484,Washington,20001,DC
100%,88%,1,2,Private room,1.0,1.0,1.0,$99.00,$10.00,,1,4,51,38.90058573705118,-77.01418066713197,Washington,20001,DC
65%,77%,1,2,Entire home/apt,1.0,1.0,1.0,$295.00,$65.00,,1,1125,28,38.90147432308471,-77.01641047715654,Washington,20001,DC
92%,93%,1,2,Entire home/apt,1.0,1.0,1.0,$149.00,,$150.00,2,1125,9,38.900717453177684,-77.01684978142511,Washington,20001,DC
100%,92%,1,2,Private room,1.0,1.0,1.0,$110.00,$10.00,,1,1125,10,38.90032475156411,-77.01060137155862,Washington,20001,DC
100%,100%,1,5,Entire home/apt,2.0,1.0,3.0,$180.00,,,2,366,1,38.90414998543556,-77.02060693119537,Washington,20001,DC
100%,100%,1,2,Entire home/apt,0.0,1.0,2.0,$150.00,$75.00,,3,1125,3,38.89673074302121,-77.01133551455034,Washington,20001,DC
92%,94%,30,6,Entire home/apt,0.0,1.0,3.0,$150.00,$129.00,,3,100000,24,38.90475151074683,-77.02632710838512,Washington,20001,DC
100%,100%,1,5,Entire home/apt,2.0,2.5,2.0,$155.00,$90.00,$99.00,2,1125,23,38.8986953947062,-77.01661719143496,Washington,20001,DC
100%,100%,1,3,Private room,1.0,1.0,2.0,$85.00,,$150.00,3,30,338,38.90426842657193,-77.02655963085508,Washington,20001,DC
50%,50%,1,2,Entire home/apt,1.0,1.0,1.0,$130.00,,,1,1125,4,38.90451103760749,-77.03022188574558,Washington,20005,DC
100%,69%,1,3,Entire home/apt,1.0,1.0,1.0,$120.00,$50.00,,1,1125,3,38.90301687804222,-77.01858683712437,Washington,20001,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$90.00,$10.00,,2,1125,12,38.90507876337232,-77.01843920062106,Washington,20001,DC
96%,47%,1,2,Entire home/apt,1.0,1.0,2.0,$149.00,,,1,1125,47,38.89993652238877,-77.0163454091627,Washington,20001,DC
87%,70%,190,3,Entire home/apt,1.0,1.0,1.0,$569.00,$100.00,,3,1125,0,38.89396683387651,-77.01938705517833,Washington,20001,DC
100%,100%,1,4,Entire home/apt,1.0,1.0,1.0,$180.00,$50.00,,1,1125,6,38.89841786914297,-77.01531136976845,Washington,20001,DC
,,1,1,Shared room,1.0,1.0,1.0,$55.00,$15.00,,1,14,1,38.90195179189047,-77.05285593397221,Washington,20037,DC
90%,100%,6,4,Entire home/apt,1.0,1.0,1.0,$229.00,$50.00,,2,720,29,38.900416822821825,-77.01729656430516,Washington,20001,DC
90%,50%,1,2,Private room,1.0,1.0,1.0,$75.00,,,1,1125,2,38.90136429242463,-77.01743426522319,Washington,20001,DC
87%,70%,190,3,Entire home/apt,1.0,1.0,1.0,$569.00,$100.00,,3,1125,0,38.905306950912994,-77.03028302590766,Washington,20005,DC
100%,100%,1,2,Private room,1.0,1.0,1.0,$105.00,,,1,1125,245,38.900961204590715,-77.03333348907877,Washington,20005,DC
58%,51%,480,2,Entire home/apt,1.0,1.0,1.0,$259.00,,,4,365,3,38.8926727561956,-77.01946911068795,Washington,20001,DC
100%,50%,1,2,Entire home/apt,1.0,1.0,1.0,$120.00,$30.00,$100.00,2,1125,1,38.90399081560214,-77.0173687983782,Washington,20001,DC
100%,100%,1,3,Entire home/apt,1.0,1.0,2.0,$119.00,,$99.00,5,1125,3,38.901983280611596,-77.01483745543433,Washington,20001,DC
90%,100%,1,2,Entire home/apt,1.0,1.5,1.0,$139.00,$50.00,$500.00,1,1125,0,38.90529845015863,-77.02866296677054,Washington,20005,DC
100%,100%,2,1,Private room,1.0,1.0,1.0,$90.00,$120.00,$100.00,1,1125,0,38.90422466338956,-77.00910444997433,Washington,20001,DC
100%,100%,2,1,Private room,1.0,1.0,1.0,$109.00,,,3,1125,34,38.903431907125615,-77.02692745576277,Washington,20005,DC
100%,45%,1,4,Entire home/apt,1.0,1.0,2.0,$150.00,$45.00,$200.00,2,90,25,38.89797686579215,-77.01487156788517,Washington,20001,DC
92%,94%,30,5,Entire home/apt,0.0,1.0,3.0,$295.00,$125.00,,3,999,45,38.90461775618092,-77.02703882516533,Washington,20001,DC
83%,65%,5,3,Entire home/apt,1.0,1.0,1.0,$210.00,$50.00,$200.00,1,365,57,38.90144491383785,-77.01347210899165,Washington,20001,DC
92%,94%,30,6,Entire home/apt,2.0,1.5,2.0,$329.00,$159.00,,3,999,21,38.904744836146996,-77.02741068508574,Washington,20001,DC
100%,50%,1,2,Entire home/apt,0.0,1.0,1.0,$125.00,,,2,7,0,38.896931582531025,-77.01094516055294,Washington,20001,DC
89%,100%,1,2,Entire home/apt,1.0,1.0,1.0,$150.00,$25.00,,1,1125,1,38.90297397689842,-77.0175064446253,Washington,20001,DC
80%,100%,1,3,Entire home/apt,1.0,1.0,2.0,$175.00,,,2,15,139,38.903773564681394,-77.01197060565838,Washington,20009,DC
100%,100%,1,3,Entire home/apt,1.0,1.0,2.0,$129.00,$15.00,,1,1125,7,38.90066143131608,-77.016289275751,Washington,20001,DC
58%,51%,480,2,Entire home/apt,1.0,1.0,1.0,$239.00,$150.00,,5,730,0,38.90289762754124,-77.0174744714097,Washington,20001,DC
