# Swimming results from 2015 World Aquatics Championships
# Data from OMEGA, official time keepers of the World Championships.
# Accessed http://www.omegatiming.com/File/Download?id=00010F0200FFFFFFFFFFFFFFFFFFFF08
# Converted from XML to tidy CSV format
athleteid,lastname,firstname,birthdate,gender,name,code,eventid,heat,lane,points,reactiontime,swimtime,split,cumswimtime,splitdistance,daytime,round,distance,relaycount,stroke,splitswimtime
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,9,282.42,450,1030.0,PRE,800,1,FREE,32.27000000000001
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,10,314.5,500,1030.0,PRE,800,1,FREE,32.079999999999984
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,11,346.94,550,1030.0,PRE,800,1,FREE,32.44
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,12,379.01,600,1030.0,PRE,800,1,FREE,32.06999999999999
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,13,411.52,650,1030.0,PRE,800,1,FREE,32.50999999999999
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,14,444.12,700,1030.0,PRE,800,1,FREE,32.60000000000002
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,15,476.56,750,1030.0,PRE,800,1,FREE,32.44
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,17,1,3,704.0,0.7,508.11,16,508.11,800,1030.0,PRE,800,1,FREE,31.55000000000001
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,1,29.03,50,1048.0,PRE,1500,1,FREE,29.03
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,2,60.44,100,1048.0,PRE,1500,1,FREE,31.409999999999997
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,3,92.31,150,1048.0,PRE,1500,1,FREE,31.870000000000005
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,4,124.04,200,1048.0,PRE,1500,1,FREE,31.730000000000004
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,5,156.07,250,1048.0,PRE,1500,1,FREE,32.02999999999999
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,6,188.37,300,1048.0,PRE,1500,1,FREE,32.30000000000001
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,7,220.86,350,1048.0,PRE,1500,1,FREE,32.49000000000001
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,8,253.49,400,1048.0,PRE,1500,1,FREE,32.629999999999995
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,9,286.17,450,1048.0,PRE,1500,1,FREE,32.68000000000001
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,10,319.31,500,1048.0,PRE,1500,1,FREE,33.139999999999986
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,11,351.9,550,1048.0,PRE,1500,1,FREE,32.589999999999975
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,12,384.76,600,1048.0,PRE,1500,1,FREE,32.860000000000014
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,13,417.81,650,1048.0,PRE,1500,1,FREE,33.05000000000001
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,14,450.8,700,1048.0,PRE,1500,1,FREE,32.99000000000001
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,15,483.84,750,1048.0,PRE,1500,1,FREE,33.039999999999964
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,16,516.99,800,1048.0,PRE,1500,1,FREE,33.150000000000034
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,17,550.14,850,1048.0,PRE,1500,1,FREE,33.14999999999998
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,18,583.57,900,1048.0,PRE,1500,1,FREE,33.430000000000064
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,19,616.95,950,1048.0,PRE,1500,1,FREE,33.379999999999995
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,20,650.32,1000,1048.0,PRE,1500,1,FREE,33.370000000000005
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,21,683.74,1050,1048.0,PRE,1500,1,FREE,33.41999999999996
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,22,717.33,1100,1048.0,PRE,1500,1,FREE,33.59000000000003
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,23,751.13,1150,1048.0,PRE,1500,1,FREE,33.799999999999955
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,24,784.9,1200,1048.0,PRE,1500,1,FREE,33.76999999999998
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,25,818.82,1250,1048.0,PRE,1500,1,FREE,33.92000000000007
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,26,852.26,1300,1048.0,PRE,1500,1,FREE,33.43999999999994
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,27,886.26,1350,1048.0,PRE,1500,1,FREE,34.0
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,28,920.06,1400,1048.0,PRE,1500,1,FREE,33.799999999999955
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,29,953.64,1450,1048.0,PRE,1500,1,FREE,33.58000000000004
100542,ARIAS DOURDET,POL,1996-08-08,M,Andorra,AND,38,1,1,688.0,0.72,986.35,30,986.35,1500,1048.0,PRE,1500,1,FREE,32.710000000000036
101268,RAMIREZ ABELLA,MONICA,1993-12-27,F,Andorra,AND,18,2,2,672.0,0.61,30.89,1,30.89,50,930.0,PRE,50,1,BACK,30.89
101268,RAMIREZ ABELLA,MONICA,1993-12-27,F,Andorra,AND,23,4,0,692.0,0.69,58.85,1,28.08,50,930.0,PRE,100,1,FREE,28.08
101268,RAMIREZ ABELLA,MONICA,1993-12-27,F,Andorra,AND,23,4,0,692.0,0.69,58.85,2,58.85,100,930.0,PRE,100,1,FREE,30.770000000000003
105101,TUDO CUBELLS,NADIA,1997-04-08,F,Andorra,AND,15,2,0,624.0,0.74,132.21,1,30.08,50,949.0,PRE,200,1,FREE,30.08
105101,TUDO CUBELLS,NADIA,1997-04-08,F,Andorra,AND,15,2,0,624.0,0.74,132.21,2,62.96,100,949.0,PRE,200,1,FREE,32.88
105101,TUDO CUBELLS,NADIA,1997-04-08,F,Andorra,AND,15,2,0,624.0,0.74,132.21,3,97.11,150,949.0,PRE,200,1,FREE,34.15
105101,TUDO CUBELLS,NADIA,1997-04-08,F,Andorra,AND,15,2,0,624.0,0.74,132.21,4,132.21,200,949.0,PRE,200,1,FREE,35.10000000000001
105101,TUDO CUBELLS,NADIA,1997-04-08,F,Andorra,AND,34,5,2,608.0,0.71,28.0,1,28.0,50,930.0,PRE,50,1,FREE,28.0
100518,NOBREGA,ANA,1990-12-20,F,Angola,ANG,1,2,3,614.0,0.75,65.84,1,30.35,50,930.0,PRE,100,1,FLY,30.35
100518,NOBREGA,ANA,1990-12-20,F,Angola,ANG,1,2,3,614.0,0.75,65.84,2,65.84,100,930.0,PRE,100,1,FLY,35.49
100518,NOBREGA,ANA,1990-12-20,F,Angola,ANG,34,5,7,607.0,0.76,28.02,1,28.02,50,930.0,PRE,50,1,FREE,28.02
100723,PINOTES,PEDRO,1989-09-30,M,Angola,ANG,21,1,5,761.0,0.69,124.85,1,27.37,50,1030.0,PRE,200,1,MEDLEY,27.37
100723,PINOTES,PEDRO,1989-09-30,M,Angola,ANG,21,1,5,761.0,0.69,124.85,2,59.69,100,1030.0,PRE,200,1,MEDLEY,32.31999999999999
100723,PINOTES,PEDRO,1989-09-30,M,Angola,ANG,21,1,5,761.0,0.69,124.85,3,95.83,150,1030.0,PRE,200,1,MEDLEY,36.14
100723,PINOTES,PEDRO,1989-09-30,M,Angola,ANG,21,1,5,761.0,0.69,124.85,4,124.85,200,1030.0,PRE,200,1,MEDLEY,29.019999999999996
100723,PINOTES,PEDRO,1989-09-30,M,Angola,ANG,39,2,5,789.0,0.7,263.85,1,27.7,50,930.0,PRE,400,1,MEDLEY,27.7
100723,PINOTES,PEDRO,1989-09-30,M,Angola,ANG,39,2,5,789.0,0.7,263.85,2,59.28,100,930.0,PRE,400,1,MEDLEY,31.580000000000002
100723,PINOTES,PEDRO,1989-09-30,M,Angola,ANG,39,2,5,789.0,0.7,263.85,3,94.64,150,930.0,PRE,400,1,MEDLEY,35.36
100723,PINOTES,PEDRO,1989-09-30,M,Angola,ANG,39,2,5,789.0,0.7,263.85,4,129.48,200,930.0,PRE,400,1,MEDLEY,34.83999999999999
100723,PINOTES,PEDRO,1989-09-30,M,Angola,ANG,39,2,5,789.0,0.7,263.85,5,166.49,250,930.0,PRE,400,1,MEDLEY,37.01000000000002
100723,PINOTES,PEDRO,1989-09-30,M,Angola,ANG,39,2,5,789.0,0.7,263.85,6,203.26,300,930.0,PRE,400,1,MEDLEY,36.76999999999998
100723,PINOTES,PEDRO,1989-09-30,M,Angola,ANG,39,2,5,789.0,0.7,263.85,7,234.63,350,930.0,PRE,400,1,MEDLEY,31.370000000000005
100723,PINOTES,PEDRO,1989-09-30,M,Angola,ANG,39,2,5,789.0,0.7,263.85,8,263.85,400,930.0,PRE,400,1,MEDLEY,29.220000000000027
120735,AGUIAR,JOAO,1983-09-08,M,Angola,ANG,14,3,4,704.0,0.74,29.92,1,29.92,50,930.0,PRE,50,1,BREAST,29.92
120735,AGUIAR,JOAO,1983-09-08,M,Angola,ANG,28,6,9,626.0,0.76,24.44,1,24.44,50,930.0,PRE,50,1,FREE,24.44
101069,MASCOLL-GOMES,NOAH,1999-05-27,M,Antigua & Barbuda,ANT,28,4,3,600.0,0.7,24.79,1,24.79,50,930.0,PRE,50,1,FREE,24.79
101069,MASCOLL-GOMES,NOAH,1999-05-27,M,Antigua & Barbuda,ANT,35,2,8,588.0,0.64,28.69,1,28.69,50,954.0,PRE,50,1,BACK,28.69
108712,ROBERTS,SAMANTHA,2000-04-21,F,Antigua & Barbuda,ANT,23,3,9,610.0,0.78,61.38,1,28.78,50,930.0,PRE,100,1,FREE,28.78
108712,ROBERTS,SAMANTHA,2000-04-21,F,Antigua & Barbuda,ANT,23,3,9,610.0,0.78,61.38,2,61.38,100,930.0,PRE,100,1,FREE,32.6
108712,ROBERTS,SAMANTHA,2000-04-21,F,Antigua & Barbuda,ANT,29,2,6,574.0,0.76,30.16,1,30.16,50,954.0,PRE,50,1,FLY,30.16
118959,MITCHELL,STEFANO,1999-09-22,M,Antigua & Barbuda,ANT,4,4,8,529.0,0.68,27.72,1,27.72,50,1044.0,PRE,50,1,FLY,27.72
118959,MITCHELL,STEFANO,1999-09-22,M,Antigua & Barbuda,ANT,19,3,0,577.0,0.69,56.34,1,26.77,50,943.0,PRE,100,1,FREE,26.77
118959,MITCHELL,STEFANO,1999-09-22,M,Antigua & Barbuda,ANT,19,3,0,577.0,0.69,56.34,2,56.34,100,943.0,PRE,100,1,FREE,29.570000000000004
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,5,1,8,571.0,0.74,287.77,1,31.33,50,1103.0,PRE,400,1,FREE,31.33
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,5,1,8,571.0,0.74,287.77,2,66.04,100,1103.0,PRE,400,1,FREE,34.71000000000001
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,5,1,8,571.0,0.74,287.77,3,100.81,150,1103.0,PRE,400,1,FREE,34.769999999999996
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,5,1,8,571.0,0.74,287.77,4,137.57,200,1103.0,PRE,400,1,FREE,36.75999999999999
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,5,1,8,571.0,0.74,287.77,5,174.88,250,1103.0,PRE,400,1,FREE,37.31
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,5,1,8,571.0,0.74,287.77,6,212.85,300,1103.0,PRE,400,1,FREE,37.97
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,5,1,8,571.0,0.74,287.77,7,250.92,350,1103.0,PRE,400,1,FREE,38.06999999999999
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,5,1,8,571.0,0.74,287.77,8,287.77,400,1103.0,PRE,400,1,FREE,36.849999999999994
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,1,32.43,50,1117.0,PRE,800,1,FREE,32.43
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,2,68.33,100,1117.0,PRE,800,1,FREE,35.9
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,3,103.37,150,1117.0,PRE,800,1,FREE,35.040000000000006
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,4,139.76,200,1117.0,PRE,800,1,FREE,36.389999999999986
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,5,175.68,250,1117.0,PRE,800,1,FREE,35.920000000000016
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,6,211.91,300,1117.0,PRE,800,1,FREE,36.22999999999999
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,7,248.58,350,1117.0,PRE,800,1,FREE,36.670000000000016
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,8,285.34000000000003,400,1117.0,PRE,800,1,FREE,36.76000000000002
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,9,321.82,450,1117.0,PRE,800,1,FREE,36.47999999999996
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,10,358.67,500,1117.0,PRE,800,1,FREE,36.85000000000002
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,11,395.59000000000003,550,1117.0,PRE,800,1,FREE,36.920000000000016
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,12,432.27,600,1117.0,PRE,800,1,FREE,36.67999999999995
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,13,469.24,650,1117.0,PRE,800,1,FREE,36.97000000000003
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,14,506.22,700,1117.0,PRE,800,1,FREE,36.98000000000002
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,15,542.39,750,1117.0,PRE,800,1,FREE,36.16999999999996
119349,HOLOWCHAK,MAKAELA,2000-11-10,F,Antigua & Barbuda,ANT,33,1,3,614.0,0.71,577.68,16,577.68,800,1117.0,PRE,800,1,FREE,35.289999999999964
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,2,3,5,848.0,0.72,232.43,1,27.23,50,948.0,PRE,400,1,FREE,27.23
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,2,3,5,848.0,0.72,232.43,2,56.35,100,948.0,PRE,400,1,FREE,29.12
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,2,3,5,848.0,0.72,232.43,3,86.1,150,948.0,PRE,400,1,FREE,29.749999999999993
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,2,3,5,848.0,0.72,232.43,4,115.74000000000001,200,948.0,PRE,400,1,FREE,29.640000000000015
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,2,3,5,848.0,0.72,232.43,5,145.46,250,948.0,PRE,400,1,FREE,29.72
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,2,3,5,848.0,0.72,232.43,6,175.17000000000002,300,948.0,PRE,400,1,FREE,29.710000000000008
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,2,3,5,848.0,0.72,232.43,7,204.44,350,948.0,PRE,400,1,FREE,29.269999999999982
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,2,3,5,848.0,0.72,232.43,8,232.43,400,948.0,PRE,400,1,FREE,27.99000000000001
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,1,27.66,50,1030.0,PRE,800,1,FREE,27.66
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,2,57.43,100,1030.0,PRE,800,1,FREE,29.77
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,3,87.53999999999999,150,1030.0,PRE,800,1,FREE,30.109999999999992
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,4,117.96000000000001,200,1030.0,PRE,800,1,FREE,30.420000000000016
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,5,148.23,250,1030.0,PRE,800,1,FREE,30.269999999999982
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,6,178.36,300,1030.0,PRE,800,1,FREE,30.130000000000024
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,7,208.82999999999998,350,1030.0,PRE,800,1,FREE,30.46999999999997
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,8,239.28,400,1030.0,PRE,800,1,FREE,30.450000000000017
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,9,269.64,450,1030.0,PRE,800,1,FREE,30.359999999999985
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,10,299.78,500,1030.0,PRE,800,1,FREE,30.139999999999986
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,11,330.03,550,1030.0,PRE,800,1,FREE,30.25
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,12,360.04,600,1030.0,PRE,800,1,FREE,30.010000000000048
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,13,390.04,650,1030.0,PRE,800,1,FREE,30.0
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,14,420.22,700,1030.0,PRE,800,1,FREE,30.180000000000007
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,15,450.26,750,1030.0,PRE,800,1,FREE,30.039999999999964
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,17,3,8,847.0,0.72,477.72,16,477.72,800,1030.0,PRE,800,1,FREE,27.460000000000036
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,38,2,2,864.0,0.71,914.38,1,28.27,50,1048.0,PRE,1500,1,FREE,28.27
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,38,2,2,864.0,0.71,914.38,2,58.93,100,1048.0,PRE,1500,1,FREE,30.66
101960,NAIDICH,MARTIN,1990-12-17,M,Argentina,ARG,38,2,2,864.0,0.71,914.38,3,89.44,150,1048.0,PRE,1500,1,FREE,30.509999999999998
