vol_requests,title,hits,category_desc,locality,region,postalcode,created_date,vol_requests_lognorm,created_month,Education,Emergency Preparedness,Environment,Health,Helping Neighbors in Need,Strengthening Communities
20,Get the tools to volunteer for Recycling!,215,Environment,,NY,10007.0,2011-05-13,2.995732273553991,5,0,0,1,0,0,0
25,Gain Valuable Counseling Experience--Volunteer on Samaritans 24-Hour Crisis Hotline,582,Helping Neighbors in Need,,NY,10003.0,2011-05-16,3.2188758248682006,5,0,0,0,0,1,0
10,Heart Gallery NYC Needs Your Help at our Info Table- Finding Homes for Kids!,112,Strengthening Communities,,NY,11217.0,2011-05-24,2.302585092994046,5,0,0,0,0,0,1
5,Yiddish Speaking Homework Helper Needed,38,Helping Neighbors in Need,,NY,11219.0,2011-05-27,1.6094379124341003,5,0,0,0,0,1,0
20,Skilled volunteers to help Rebuilding Together home repairs,566,Helping Neighbors in Need,,NY,10163.0,2011-06-01,2.995732273553991,6,0,0,0,0,1,0
20,Help the GreenTeam at Advetures NYC!,355,Environment,,NY,10065.0,2011-06-01,2.995732273553991,6,0,0,1,0,0,0
10,Volunteer at the Stop 'N' Swap,101,Strengthening Communities,,NY,11693.0,2011-06-07,2.302585092994046,6,0,0,0,0,0,1
500,Volunteer for Summer Streets ,4662,Strengthening Communities,,NY,10007.0,2011-06-09,6.214608098422191,6,0,0,0,0,0,1
15,Available on Tuesday evenings? Tutor with MASA!,100,Education,,NY,10454.0,2011-06-11,2.70805020110221,6,1,0,0,0,0,0
10,Volunteers Needed for Senior Lunch Program!,54,Helping Neighbors in Need,,NY,10016.0,2011-06-16,2.302585092994046,6,0,0,0,0,1,0
20,Get the tools to volunteer for Recycling!,526,Environment,,NY,10007.0,2011-06-21,2.995732273553991,6,0,0,1,0,0,0
3,Help Us With Outreach,439,Education,,NY,10021.0,2011-06-22,1.0986122886681098,6,1,0,0,0,0,0
300,NYC Summer Meals Outreach Day,1446,Helping Neighbors in Need,,NY,10013.0,2011-06-30,5.703782474656201,6,0,0,0,0,1,0
500,Community Preparedness Day,355,Emergency Preparedness,,NY,10035.0,2011-07-01,6.214608098422191,7,0,1,0,0,0,0
25,NYC Compost Project Master Composter Certificate Course,17,Environment,,NY,,2011-07-08,3.2188758248682006,7,0,0,1,0,0,0
35,EmblemHealth Bronx Open,73,Strengthening Communities,,NY,10460.0,2011-07-26,3.5553480614894135,7,0,0,0,0,0,1
400,9/11 Day of Service at the JCC in Manhattan,886,Strengthening Communities,,NY,10023.0,2011-07-29,5.991464547107982,7,0,0,0,0,0,1
2,Girl Scout Series - Bronx ,183,Strengthening Communities,,NY,10456.0,2011-08-01,0.6931471805599453,8,0,0,0,0,0,1
500,DOROT's 9/11 Day of Service and Rosh Hashanah Package Delivery!,523,Helping Neighbors in Need,"171 85th Street
New York, NY 10024
(40.786855600459035, -73.97516990427897)",NY,10024.0,2011-07-28,6.214608098422191,7,0,0,0,0,1,0
1,Painting Instructor for JASA's HES Senior Center,79,Strengthening Communities,"132 31st Street
New York, NY 10001
(40.74849052268911, -73.99056629742063)",NY,10001.0,2011-08-01,0.0,8,0,0,0,0,0,1
30,3rd Annual FlyNY Kite Festival,438,Strengthening Communities,,NY,10065.0,2011-08-04,3.4011973816621555,8,0,0,0,0,0,1
90,Tomorrow's Business Leaders: Teach the basics of business to NYC high schoolers,172,Education,,NY,10017.0,2011-08-08,4.499809670330265,8,1,0,0,0,0,0
30,Gardening at Ft Tryon Park,74,Strengthening Communities,,NY,10040.0,2011-08-15,3.4011973816621555,8,0,0,0,0,0,1
3,JASA St. Martin's Poetry Instructor,51,Strengthening Communities,"132 31st Street
New York, NY 10001
(40.74849052268911, -73.99056629742063)",NY,10001.0,2011-08-15,1.0986122886681098,8,0,0,0,0,0,1
50,"New York's College Goal Sunday - February 5, 2012",127,Education,,NY,10461.0,2011-08-16,3.912023005428146,8,1,0,0,0,0,0
5,Volunteer Dance Instructor,15,Health,,NY,112112.0,2011-08-17,1.6094379124341003,8,0,0,0,1,0,0
5,"22nd Annual Latino College - March 17, 2012 - New York University",158,Education,,NY,10461.0,2011-08-18,1.6094379124341003,8,1,0,0,0,0,0
100,Saturday Tutors Needed!,362,Education,,NY,10003.0,2011-08-19,4.605170185988092,8,1,0,0,0,0,0
100,YOUR PLANET: THE HUMAN MAPPING PROJECT,449,Environment,,NY,11217.0,2011-08-19,4.605170185988092,8,0,0,1,0,0,0
100,Give 1 hour/week to help a child learn to read,1250,Education,,NY,11233.0,2011-08-22,4.605170185988092,8,1,0,0,0,0,0
2,Storytelling,278,Education,,NY,11205.0,2011-08-24,0.6931471805599453,8,1,0,0,0,0,0
1,costume making,111,Strengthening Communities,,NY,11205.0,2011-08-27,0.0,8,0,0,0,0,0,1
2,Stage Design,121,Strengthening Communities,,NY,11205.0,2011-08-29,0.6931471805599453,8,0,0,0,0,0,1
30,9/11 - Emergency Preparedness Fair,499,Emergency Preparedness,,NY,10021.0,2011-08-30,3.4011973816621555,8,0,1,0,0,0,0
20,9th Annual West Side County Fair,84,Strengthening Communities,,NY,10023.0,2011-09-02,2.995732273553991,9,0,0,0,0,0,1
15,Nutrition Educator for Shape Up New York!,214,Health,,NY,10029.0,2011-09-07,2.70805020110221,9,0,0,0,1,0,0
2,Manhattan/East 54st Rec. Center: Water Aerobics Instructor for Shape Up New York,20,Health,,NY,10029.0,2011-09-14,0.6931471805599453,9,0,0,0,1,0,0
2,Manhattan/Asser Levy Rec. Center: Water Aerobics Instructor for Shape Up New York,37,Health,,NY,10029.0,2011-09-14,0.6931471805599453,9,0,0,0,1,0,0
10,Paint alongside Publicolor's students!,127,Strengthening Communities,,NY,10001.0,2011-09-15,2.302585092994046,9,0,0,0,0,0,1
50,Volunteer for Jumpstart's Readers Program!,129,Education,,NY,10002.0,2011-09-16,3.912023005428146,9,1,0,0,0,0,0
20,"Lead crafts, games, face painting and popcorn making in Queens!",616,Strengthening Communities,"8030 Park Lane
Kew Gardens, NY 11415
(40.711186177816984, -73.83543395214066)",NY,11415.0,2011-03-11,2.995732273553991,3,0,0,0,0,0,1
2,Manhattan/Jackie Robinson Rec Center: Parent & Child Fitness Instructor,64,Health,,NY,10029.0,2011-09-16,0.6931471805599453,9,0,0,0,1,0,0
1,Starrett City Senior Center Line Dancer Instructor,10,Health,,NY,11239.0,2011-09-19,0.0,9,0,0,0,1,0,0
20,Math Tutor,29,Education,,NY,10029.0,2011-09-24,2.995732273553991,9,1,0,0,0,0,0
20,Literacy Tutor,38,Education,,NY,10029.0,2011-09-24,2.995732273553991,9,1,0,0,0,0,0
100,Be a Climb to the Top Volunteer!,494,Health,"30 Rockefeller Plaza
New York, NY 10112
(40.75845596029155, -73.97894749534568)",NY,10112.0,2011-01-05,4.605170185988092,1,0,0,0,1,0,0
1,Outreach and Marketing Assistant,471,Strengthening Communities,"250 57th Street
New York, NY 10107
(40.766393521786576, -73.98218601253214)",NY,10107.0,2011-01-05,0.0,1,0,0,0,0,0,1
5,Education Nonprofit Seeks Recruitment Volunteers,304,Education,"150 Court
Brooklyn, NY 11201
(40.688807894259774, -73.99283183663935)",NY,11201.0,2011-01-04,1.6094379124341003,1,1,0,0,0,0,0
25,"Mentors, Register to Attend A Breakfast Orientation January 24, 2011",35,Strengthening Communities,"105 22nd St
New York, NY 10010
(40.73943216627024, -73.98656260495757)",NY,10010.0,2011-01-04,3.2188758248682006,1,0,0,0,0,0,1
1,Outreach and Marketing Assistant,220,Strengthening Communities,"250 57th Street
New York, NY 10107
(40.766393521786576, -73.98218601253214)",NY,10107.0,2011-01-04,0.0,1,0,0,0,0,0,1
1,Deliver a Winter Package and Visit with an isolated Manhattan Senior,181,Helping Neighbors in Need,"171 85th Street
New York, NY 10024
(40.786855600459035, -73.97516990427897)",NY,10024.0,2011-01-03,0.0,1,0,0,0,0,1,0
3,Exercise Coach/Instructor,203,Health,"27th Street
New York, NY 10016
(40.74271237865085, -73.98454533643442)",NY,10016.0,2011-08-10,1.0986122886681098,8,0,0,0,1,0,0
20,Queens-Volunteer at Family Night on the Beach,433,Strengthening Communities,"8030 Park Lane
Kew Gardens, NY 11415
(40.711186177816984, -73.83543395214066)",NY,11415.0,2011-03-11,2.995732273553991,3,0,0,0,0,0,1
5,Youth for Change & Seniors for Change Art Programs,367,Strengthening Communities,"165 105th Street
New York, NY 10025
(40.79937645675807, -73.96519802101764)",NY,10025.0,2011-04-14,1.6094379124341003,4,0,0,0,0,0,1
1,Volunteer for Consumer Protection Law Project,180,Helping Neighbors in Need,"7 Hanover Square
New York, NY 10004
(40.7043068313896, -74.00918226342714)",NY,10004.0,2011-08-16,0.0,8,0,0,0,0,1,0
20,Liver Life Walk 2011,160,Strengthening Communities,"39 Broadway
New York, NY 10006
(40.70625429589656, -74.01296358496856)",NY,10006.0,2011-03-31,2.995732273553991,3,0,0,0,0,0,1
4,Community Leader,210,Strengthening Communities,"30 Bay street
staten island, NY 10301
(40.638846834506786, -74.07333227142284)",NY,10301.0,2011-05-27,1.3862943611198906,5,0,0,0,0,0,1
3,Sunday Soup Kitchen Outreach Volunteers,1075,Helping Neighbors in Need,"1047 Amsterdam Ave
New York, NY 10025
(40.80384978364436, -73.96317712587883)",NY,10025.0,2011-01-25,1.0986122886681098,1,0,0,0,0,1,0
50,Eastern John Muir Volunteer Day,108,Strengthening Communities,"124 Gale Place
Bronx, NY 10463
(40.88463029202243, -73.89251933209881)",NY,10463.0,2011-01-14,3.912023005428146,1,0,0,0,0,0,1
20,Street Vendor Project - Join Our Monthly Outreach Team!,274,Strengthening Communities,"123 William Street
New York, NY 10038
(40.70909122458545, -74.006906978693)",NY,10038.0,2011-02-09,2.995732273553991,2,0,0,0,0,0,1
20,Fiesta! Volunteers,113,Strengthening Communities,"789 Washington Ave
Brooklyn, NY 11238
(40.672975949069446, -73.96279597119232)",NY,11238.0,2011-04-01,2.995732273553991,4,0,0,0,0,0,1
1,JASA Throgs Neck Computer Volunteer,140,Helping Neighbors in Need,"132 31st Street
New York, NY 10001
(40.74849052268911, -73.99056629742063)",NY,10001.0,2011-01-13,0.0,1,0,0,0,0,1,0
1,Computer Teacher,272,Helping Neighbors in Need,"105 Mosco Street
New York, NY 10013
(40.714478163541, -73.99923576178304)",NY,10013.0,2011-04-11,0.0,4,0,0,0,0,1,0
10,Leadership Council volunteer opportunity,159,Strengthening Communities,"315 36th Street
New York, NY 10018
(40.75386846842434, -73.99347110757526)",NY,10018.0,2011-08-03,2.302585092994046,8,0,0,0,0,0,1
5,Conversation Leader,81,Helping Neighbors in Need,"312 114th St
New York, NY 10026
(40.80351104444168, -73.9572644026756)",NY,10026.0,2011-09-08,1.6094379124341003,9,0,0,0,0,1,0
15,Homework Helpers and Tutors for Kids Grades K-1!!,154,Education,"2050 Second Avenue
New York, NY 10029
(40.79013250049554, -73.94275604693821)",NY,10029.0,2011-09-07,2.70805020110221,9,1,0,0,0,0,0
25,Pantry Distribution,277,Helping Neighbors in Need,"8 109th Street
New York, NY 10029
(40.795965732615855, -73.94910755186987)",NY,10029.0,2011-08-11,3.2188758248682006,8,0,0,0,0,1,0
1,Garden Assistant Volunteer Program,392,Strengthening Communities,"40 2nd
New York, NY 10014
(40.72501393263116, -73.99023147176524)",NY,10014.0,2011-02-04,0.0,2,0,0,0,0,0,1
20,Earth Day Volunteers needed-Queens,320,Strengthening Communities,"80 30 Park Lane
Kew Gardens, NY 11415
(40.708286075142325, -73.82855612156771)",NY,11415.0,2011-03-11,2.995732273553991,3,0,0,0,0,0,1
5,TECH & WEBSITE DESIGN VOLUNTEER OPPORTUNITIES,365,Strengthening Communities,"165 105th Street
New York, NY 10025
(40.79937645675807, -73.96519802101764)",NY,10025.0,2011-04-14,1.6094379124341003,4,0,0,0,0,0,1
5,Cents Ability Classroom Set-up,0,Strengthening Communities,"37 Avenue
New York, NY 10009
(40.72664935898081, -73.97911148500697)",NY,10009.0,2011-01-19,1.6094379124341003,1,0,0,0,0,0,1
100,Brush of Kindness,259,Strengthening Communities,"530 133rd Street
Manhattan, NY 10027
(40.81810690053051, -73.95449058374143)",NY,10027.0,2011-03-25,4.605170185988092,3,0,0,0,0,0,1
30,Transportation Alternatives Bike Valet,380,Environment,"127 26th St
New York, NY 10002
(40.601149489516224, -73.99944293492823)",NY,10002.0,2011-06-13,3.4011973816621555,6,0,0,1,0,0,0
99,Video Editing for Professionals,46,Strengthening Communities,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115)",NY,10013.0,2011-06-06,4.59511985013459,6,0,0,0,0,0,1
10,Stipend After School Program Mentor Opportunity,1060,Education,"1009 Broadway
Brooklyn, NY 11221
(40.695875302485035, -73.93322048320155)",NY,11221.0,2011-01-14,2.302585092994046,1,1,0,0,0,0,0
10,Networking Workshop Volunteer,184,Helping Neighbors in Need,"80 Maiden Lane
New York, NY 10038
(40.70722063476455, -74.00745556513084)",NY,10038.0,2011-03-15,2.302585092994046,3,0,0,0,0,1,0
20,Bowling Fun at Harlem Lanes ,12,Strengthening Communities,"441 Manhattan Avenue
New York, NY 10026
(40.80669464442542, -73.95561864336202)",NY,10026.0,2011-01-24,2.995732273553991,1,0,0,0,0,0,1
2,Seeking Volunteer Yoga Instructor,247,Health,"120 32nd Street
New York, NY 10016
(40.745396854908336, -73.9813392534)",NY,10016.0,2011-03-11,0.6931471805599453,3,0,0,0,1,0,0
3,Summer Spanish or French Instructor,200,Helping Neighbors in Need,"331 70th Street
New York, NY 10001
(40.63454489394634, -74.02560091774434)",NY,10001.0,2011-06-26,1.0986122886681098,6,0,0,0,0,1,0
20,Help Feed Hungry New Yorkers --55+ Only,197,Helping Neighbors in Need,"105 22nd Street
New York, NY 10010
(40.73943216627024, -73.98656260495757)",NY,10010.0,2011-01-25,2.995732273553991,1,0,0,0,0,1,0
12,Event phone bank representative,163,Helping Neighbors in Need,"95 21 106 Street
Ozone Park, NY 11416
(40.68457809700163, -73.8496016684822)",NY,11416.0,2011-08-19,2.4849066497880004,8,0,0,0,0,1,0
15,Reach Out and Read-Morris Heights Health Center,544,Education,"85 Burnside Avenue
Bronx, NY 10453
(40.85327655150609, -73.9058481060323)",NY,10453.0,2011-02-28,2.70805020110221,2,1,0,0,0,0,0
15,Special Camp Fair 2012,291,Strengthening Communities,"116 16th St
New York, NY 10003
(40.73551330580631, -73.98834497200824)",NY,10003.0,2011-07-01,2.70805020110221,7,0,0,0,0,0,1
50,Susan G. Komen for the Cure's Greater NYC Affiliate Needs Volunteers,3816,Health,"470 7th Avenue
New York, NY 10018
(40.75207881758604, -73.98985583301749)",NY,10018.0,2011-06-29,3.912023005428146,6,0,0,0,1,0,0
200,2011 Dumbo Arts Festival,480,Strengthening Communities,"45 Main Street
Brooklyn, NY 10010
(40.70283077508606, -73.99064762914425)",NY,10010.0,2011-08-08,5.298317366548036,8,0,0,0,0,0,1
99,Organizational Budget Design and Development for Professionals,73,Strengthening Communities,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115)",NY,10013.0,2011-06-06,4.59511985013459,6,0,0,0,0,0,1
5,Money Makes Sense,80,Helping Neighbors in Need,"315 Hudson St
New York, NY 10013
(40.72636283816059, -74.00749200433894)",NY,10013.0,2011-09-19,1.6094379124341003,9,0,0,0,0,1,0
20,Computer Training,242,Strengthening Communities,"355 Lexington Ave
New York, NY 10017
(40.75016951126717, -73.97694147468593)",NY,10017.0,2011-08-22,2.995732273553991,8,0,0,0,0,0,1
2,Girl Scout Series - East Harlem Site 2,56,Education,"160 120th St
Harlem, NY 10035
(40.80086116283244, -73.93905667795286)",NY,10035.0,2011-08-01,0.6931471805599453,8,1,0,0,0,0,0
1,Volunteer Videographer,175,Strengthening Communities,"1 Centre Street
New York, NY 10007
(40.71320112625938, -74.00400216853836)",NY,10007.0,2011-06-23,0.0,6,0,0,0,0,0,1
1,Fly-by-Night Dance Theater - Volunteer Grant Writer for Youth Dance Program,64,Strengthening Communities,"116 Seaman Ave
New York, NY 10034
(40.86858598648183, -73.9237466706436)",NY,10034.0,2011-03-22,0.0,3,0,0,0,0,0,1
5,Event Planning,589,Strengthening Communities,"218 73 Hempstead Avenue
Queens Village, NY 11429
(40.70991312049415, -73.73864031609764)",NY,11429.0,2011-02-03,1.6094379124341003,2,0,0,0,0,0,1
99,Grant Proposal Preparation for Professionals,64,Strengthening Communities,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115)",NY,10013.0,2011-06-06,4.59511985013459,6,0,0,0,0,0,1
17,Fund Raising,282,Strengthening Communities,"260373 Bellerose
NY 11426
(40.73704138495202, -73.72415699894628)",NY,11426.0,2011-02-02,2.833213344056216,2,0,0,0,0,0,1
2,Harm Reduction Adv,29,Strengthening Communities,"22 27th Street
New York, NY 10001
(40.74483028202985, -73.98955006352747)",NY,10001.0,2011-04-28,0.6931471805599453,4,0,0,0,0,0,1
1,Marketing Intern for Youth Programs Serving LGBT Youth,329,Strengthening Communities,"570 7th Ave
New York, NY 10018
(40.75520845824798, -73.98756256184276)",NY,10018.0,2011-05-23,0.0,5,0,0,0,0,0,1
10,Teach Adults and Kids how to Ride Bikes!,98,Health,"475 Riverside Drive
New York City, NY 10115
(40.810551000428404, -73.96469400002803)",NY,10115.0,2011-07-12,2.302585092994046,7,0,0,0,1,0,0
1,Grant Research (Fundraising and Developement ),98,Helping Neighbors in Need,"32 Broadway
New York, NY 10004
(40.70604252290616, -74.01308532103428)",NY,10004.0,2011-07-26,0.0,7,0,0,0,0,1,0
1,Soup Kitchen Cook,150,Helping Neighbors in Need,"2114 Mermaid Ave
Brooklyn, NY 11224
(40.576224014939264, -73.9881199499576)",NY,11224.0,2011-08-04,0.0,8,0,0,0,0,1,0
2,Row New York Afterschool Volunteer Tutor for Middle School,44,Education,"10 27 46th Ave
Long Island City, NY 11101
(40.74570244980828, -73.93866902925225)",NY,11101.0,2011-03-01,0.6931471805599453,3,1,0,0,0,0,0
30,Winter Literacy Night!,118,Education,"560 Theriot Avenue
Bronx, NY 10473
(40.8165172103251, -73.8608405743061)",NY,10473.0,2011-01-31,3.4011973816621555,1,1,0,0,0,0,0
50,College Shower Fundraisers,45,Strengthening Communities,"271 23rd Street
New York, NY 10011
(40.74507309897774, -73.99795872450147)",NY,10011.0,2011-05-09,3.912023005428146,5,0,0,0,0,0,1
1,IT Assistant,74,Strengthening Communities,"305 Seventh Avenue
New York, NY 10001-6008
(40.74678037991758, -73.99366420981637)",NY,,2011-07-07,0.0,7,0,0,0,0,0,1
20,Interpreters and Lawyers Needed to Help the NYC Haitian Community,125,Helping Neighbors in Need,"181 Brooklyn
NY 11203
(40.649721601170995, -73.93427608567276)",NY,11203.0,2011-05-27,2.995732273553991,5,0,0,0,0,1,0
2,Teacher for ABE and Pre-GED students,62,Helping Neighbors in Need,"2071 Fulton St
Brooklyn, NY 11233
(40.67827825514447, -73.91028377492181)",NY,11233.0,2011-09-12,0.6931471805599453,9,0,0,0,0,1,0
30,Monitor recycling at Astoria Street Fair,264,Environment,"51 Chambers Street
New York, NY 10007
(40.71377351801845, -74.0053942535769)",NY,10007.0,2011-09-14,3.4011973816621555,9,0,0,1,0,0,0
9999,Million Trees NYC Community Tree Giveaway,158,Strengthening Communities,"124 Gale Pl
Bronx, NY 10463
(40.88463029202243, -73.89251933209881)",NY,10463.0,2011-01-14,9.21024036697585,1,0,0,0,0,0,1
10,Do you want to make a Difference?   Volunteer at ClassWish.org!,528,Education,"401 7th avenue
New York, NY 10001
(40.75012728878244, -73.99124978216287)",NY,10001.0,2011-04-27,2.302585092994046,4,1,0,0,0,0,0
2700,SNOW SHOVELING FOR SENIORS,91,Helping Neighbors in Need,"150-L Greaves Lane
Staten Island, NY 10308
(40.55398681414339, -74.14475942007853)",NY,10308.0,2011-01-12,7.90100705199242,1,0,0,0,0,1,0
10,Volunteer Citizenship Tutor,297,Helping Neighbors in Need,"7111 5th Avenue
Brooklyn, NY 11209
(40.63245112562076, -74.02139571101452)",NY,11209.0,2011-02-02,2.302585092994046,2,0,0,0,0,1,0
99,Press List for Professionals,38,Strengthening Communities,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115)",NY,10013.0,2011-06-07,4.59511985013459,6,0,0,0,0,0,1
99,Public Relations Plan for Professionals,69,Strengthening Communities,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115)",NY,10013.0,2011-06-07,4.59511985013459,6,0,0,0,0,0,1
99,Business Plan Review for Professionals,82,Strengthening Communities,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115)",NY,10013.0,2011-06-07,4.59511985013459,6,0,0,0,0,0,1
20,Jumpstart's Friendship Day at Positive Beginnings,128,Education,"71 25 Main Street
Flushing, NY 11367
(40.730323085042414, -73.82610630716033)",NY,11367.0,2011-02-03,2.995732273553991,2,1,0,0,0,0,0
99,Press Kit for Professionals,38,Strengthening Communities,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115)",NY,10013.0,2011-06-07,4.59511985013459,6,0,0,0,0,0,1
15,B.A.C. Mentors,725,Education,"162 02 Hillside Avenue
Jamaica, NY 11432
(40.71311535449007, -73.79282099978928)",NY,11432.0,2011-03-08,2.70805020110221,3,1,0,0,0,0,0
1,Bronx: Water Aerobics Instructor For Shape Up NYC at St. Mary's recreation center,30,Health,"450 St Anns Ave
Bronx, NY 10455
(40.81200330013793, -73.91424241425239)",NY,10455.0,2011-09-16,0.0,9,0,0,0,1,0,0
85,Does your organization need an intern?,181,Education,"883 classon avenue
Brooklyn, NY 11225
(40.67045865769921, -73.96162827573441)",NY,11225.0,2011-01-31,4.442651256490317,1,1,0,0,0,0,0
99,Board Member Search Strategy for Professionals,67,Strengthening Communities,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115)",NY,10013.0,2011-06-07,4.59511985013459,6,0,0,0,0,0,1
2,ESL Teacher Assistant,396,Education,"421 155th Street
Bronx, NY 10455
(40.820027861846086, -73.91525005078392)",NY,10455.0,2011-06-30,0.6931471805599453,6,1,0,0,0,0,0
99,Storytelling for Professionals,96,Strengthening Communities,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115)",NY,10013.0,2011-06-06,4.59511985013459,6,0,0,0,0,0,1
20,Help New Yorkers Affected by the Storm in the Bronx ,1130,Helping Neighbors in Need,"253 Broadway
New York, NY 10007
(40.713255085581125, -74.00706885665824)",NY,10007.0,2011-01-11,2.995732273553991,1,0,0,0,0,1,0
10,Teach Adults and Kids how to Ride Bikes!,148,Health,"475 Riverside Drive
New York City, NY 10115
(40.810551000428404, -73.96469400002803)",NY,10115.0,2011-07-19,2.302585092994046,7,0,0,0,1,0,0
20,Help Transform Lives and Strengthen Communities - Become a Mentor - 55+ Only  ,50,Education,"105 22 Street
New York, NY 10010
(40.73943216627024, -73.98656260495757)",NY,10010.0,2011-08-24,2.995732273553991,8,1,0,0,0,0,0
25,Be a Driver and Make a Difference - 55+ Only,105,Helping Neighbors in Need,"105 22nd Street
New York, NY 10010
(40.73943216627024, -73.98656260495757)",NY,10010.0,2011-05-25,3.2188758248682006,5,0,0,0,0,1,0
