MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Remodeled,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageArea,PavedDrive,SalePrice
60,RL,77.0,9206,SawyerW,1Fam,2Story,6,5,1985,0,1732,0,0,2,1,3,1,476,Y,178000
90,RL,64.0,7018,SawyerW,Duplex,1Story,5,5,1979,0,1535,0,0,2,0,4,0,410,Y,118964
20,RL,94.0,10402,CollgCr,1Fam,1Story,7,5,2009,0,1226,0,0,2,0,3,0,740,Y,198900
50,RM,,7758,IDOTRR,1Fam,1.5Fin,7,4,1931,1,1818,0,0,1,1,4,2,240,Y,169500
60,FV,75.0,9375,Somerst,1Fam,2Story,8,5,2003,1,1992,0,0,2,1,3,1,648,Y,250000
30,RM,60.0,10800,OldTown,1Fam,1Story,4,7,1885,1,1047,0,0,1,0,2,0,273,N,100000
20,RM,50.0,6000,OldTown,1Fam,1Story,5,5,1948,1,789,0,0,1,0,2,0,250,Y,115000
50,RM,85.0,8500,IDOTRR,1Fam,1.5Fin,5,7,1919,1,1517,0,0,2,0,3,0,0,N,115000
20,RL,105.0,11751,NWAmes,1Fam,1Story,6,6,1977,0,1844,0,0,2,0,3,1,546,Y,190000
50,RL,75.0,9525,Edwards,1Fam,1.5Fin,6,4,1954,1,1855,0,0,2,0,4,0,325,Y,136900
80,RL,,7750,Gilbert,1Fam,SLvl,7,5,2000,0,1430,0,0,2,1,3,1,400,Y,180000
60,RL,77.0,9965,CollgCr,1Fam,2Story,7,5,2007,0,2696,1,0,2,1,4,1,792,Y,383970
20,RL,,21000,Crawfor,1Fam,1Story,6,5,1953,0,2259,1,0,2,0,3,2,450,Y,217000
70,RL,61.0,7259,Crawfor,1Fam,2Story,6,8,1945,1,2320,1,0,2,1,3,1,180,Y,259500
160,FV,34.0,3230,Somerst,TwnhsE,2Story,6,5,1999,0,1458,0,0,2,1,2,1,440,Y,176000
20,RL,,11616,Sawyer,1Fam,1Story,5,5,1962,0,1092,0,1,1,0,3,1,288,Y,139000
20,RL,74.0,8536,Edwards,1Fam,1Story,5,5,2006,1,1125,0,0,1,1,2,0,430,Y,155000
60,RL,90.0,12376,SawyerW,1Fam,2Story,7,5,1990,0,3222,1,0,3,0,5,2,594,Y,320000
60,RL,65.0,8461,CollgCr,1Fam,2Story,6,5,2005,1,1456,0,0,2,1,3,1,390,Y,163990
80,RL,,21453,ClearCr,1Fam,SLvl,6,5,1969,0,988,1,0,1,0,1,2,540,Y,180000
50,RM,50.0,6060,IDOTRR,1Fam,1.5Fin,4,5,1939,1,1123,0,0,1,0,3,0,264,P,100000
20,RL,75.0,9464,NAmes,1Fam,1Story,6,7,1958,0,1080,0,0,1,0,3,0,288,Y,136000
120,RL,55.0,7892,SawyerW,TwnhsE,1Story,6,5,1993,0,1199,0,0,2,0,2,0,530,Y,153900
20,RL,48.0,17043,NWAmes,1Fam,1Story,6,5,1979,1,1586,0,0,2,0,3,1,435,Y,181000
190,RM,60.0,6780,IDOTRR,2fmCon,1.5Fin,6,8,1935,1,754,1,0,1,0,2,0,0,N,84500
120,RL,,4928,NPkVill,TwnhsE,1Story,6,5,1976,0,958,0,0,2,0,2,1,440,Y,128000
45,RM,55.0,4388,OldTown,1Fam,1.5Unf,5,7,1930,1,840,0,0,1,0,3,1,0,N,87000
60,RL,69.0,7590,NAmes,1Fam,2Story,6,5,1966,0,1348,0,0,1,1,3,1,453,Y,155000
20,RL,69.0,8973,NAmes,1Fam,1Story,5,7,1958,1,1053,0,1,1,1,3,0,750,Y,150000
60,RL,88.0,14200,NAmes,1Fam,2Story,7,6,1966,0,2157,0,0,2,1,4,2,487,Y,226000
60,RL,,12224,Gilbert,1Fam,2Story,6,5,2000,0,2054,1,0,2,1,3,1,390,Y,244000
20,RL,75.0,7388,NAmes,1Fam,1Story,5,6,1959,1,1327,1,0,1,0,3,0,624,Y,150750
20,RL,,6853,Timber,1Fam,1Story,8,5,2001,1,1296,1,0,2,0,2,0,471,Y,220000
20,RL,78.0,10335,Sawyer,1Fam,1Story,5,6,1968,1,1721,0,0,2,1,3,1,440,Y,180000
20,RL,80.0,10400,NWAmes,1Fam,1Story,7,6,1970,0,1682,0,0,2,0,3,1,530,Y,174000
20,RL,,10355,NAmes,1Fam,1Story,5,5,1967,0,1214,0,0,2,0,3,1,318,Y,143000
90,RL,82.0,11070,Mitchel,Duplex,1Story,7,5,1988,1,1959,0,0,3,0,5,0,766,Y,171000
60,RL,73.0,9066,CollgCr,1Fam,2Story,8,5,1999,1,1852,0,0,2,1,3,2,660,Y,230000
60,RL,65.0,15426,CollgCr,1Fam,2Story,6,5,1997,0,1764,1,0,2,1,3,0,470,Y,231500
20,RL,70.0,10500,NAmes,1Fam,1Story,4,5,1971,0,864,0,0,1,0,3,1,0,Y,115000
20,RL,78.0,11645,CollgCr,1Fam,1Story,7,5,2005,0,1734,1,0,2,0,3,0,660,Y,260000
50,RL,71.0,8520,NAmes,1Fam,1.5Fin,5,4,1952,0,1385,0,0,2,0,4,0,720,Y,166000
20,RL,78.0,10335,CollgCr,1Fam,1Story,7,5,1999,0,1501,1,0,2,0,3,0,577,Y,204000
90,RM,70.0,9100,Sawyer,Duplex,1Story,5,5,1963,0,1728,1,0,2,0,6,0,504,Y,125000
160,RM,24.0,2522,Edwards,Twnhs,2Story,6,5,2004,1,1709,0,0,2,0,3,0,380,Y,130000
30,RM,51.0,6120,BrkSide,1Fam,1Story,5,7,1931,1,875,1,0,1,0,2,0,180,Y,105000
60,RL,,9505,Gilbert,1Fam,2Story,7,5,2001,0,2035,0,0,2,1,3,1,434,Y,222500
20,RL,63.0,7500,SawyerW,1Fam,1Story,7,5,2004,1,1080,1,0,1,0,3,0,0,Y,141000
50,RM,,6240,BrkSide,1Fam,1.5Fin,5,4,1936,1,1344,0,0,1,0,3,0,240,Y,115000
20,RL,120.0,10356,CollgCr,1Fam,1Story,5,6,1975,0,969,0,0,1,1,3,0,440,Y,122000
20,RL,107.0,13891,NridgHt,1Fam,1Story,8,5,2007,1,1710,1,0,2,0,2,1,866,Y,372402
60,RL,,14803,NWAmes,1Fam,2Story,6,5,1971,0,1993,0,0,2,1,4,1,495,Y,190000
20,RL,,13500,ClearCr,1Fam,1Story,6,7,1960,1,1252,1,0,1,0,1,1,564,Y,235000
30,RM,84.0,11340,OldTown,1Fam,1Story,6,5,1923,1,1200,0,0,1,0,4,0,312,Y,125000
50,RL,60.0,9600,Edwards,1Fam,1.5Fin,6,5,1924,1,1096,0,0,1,0,2,0,0,N,79000
20,RL,60.0,7200,NAmes,1Fam,1Story,5,7,1950,0,1040,0,0,1,0,2,0,625,Y,109500
60,RL,92.0,12003,Timber,1Fam,2Story,8,5,2009,1,1968,0,0,2,1,4,1,680,Y,269500
60,FV,100.0,12552,Somerst,1Fam,2Story,7,5,2004,1,1947,0,0,2,1,3,1,678,Y,254900
60,RL,134.0,19378,Gilbert,1Fam,2Story,7,5,2005,1,2462,1,0,2,1,4,1,576,Y,320000
20,RL,,11120,Veenker,1Fam,1Story,6,6,1984,0,1232,0,0,2,0,3,0,516,Y,162500
60,RL,110.0,13688,NridgHt,1Fam,2Story,9,5,2003,1,2668,1,0,2,1,3,2,726,Y,412500
20,RL,95.0,12182,NridgHt,1Fam,1Story,7,5,2005,0,1541,0,0,2,0,3,1,532,Y,220000
45,RL,55.0,5500,OldTown,1Fam,1.5Unf,4,6,1956,0,882,0,0,1,0,1,0,0,Y,103200
40,RM,40.0,5400,OldTown,1Fam,1Story,6,7,1926,1,1616,0,0,2,0,3,0,216,Y,152000
190,RL,62.0,10106,Edwards,2fmCon,1.5Fin,5,7,1940,1,1355,1,0,2,0,4,0,0,Y,127500
20,RL,,10708,ClearCr,1Fam,1Story,5,5,1955,1,1867,1,0,1,0,2,3,303,Y,190000
60,RL,86.0,10562,NridgHt,1Fam,2Story,8,5,2007,0,2161,1,0,1,1,3,1,789,Y,325624
60,RL,62.0,8244,Gilbert,1Fam,2Story,7,5,2004,0,1720,0,0,2,1,3,1,440,Y,183500
20,RL,,16669,Timber,1Fam,1Story,8,6,1981,0,1707,0,0,2,1,2,1,511,Y,228000
50,RM,,12358,OldTown,1Fam,1.5Fin,5,6,1941,1,1382,0,0,1,1,2,0,660,Y,128500
20,RL,141.0,31770,NAmes,1Fam,1Story,6,5,1960,0,1656,1,0,1,0,3,2,528,P,215000
160,RL,44.0,5306,StoneBr,TwnhsE,2Story,7,7,1987,0,1767,1,0,2,0,2,1,504,Y,239000
20,RL,80.0,10197,NAmes,1Fam,1Story,6,5,1961,0,1362,1,0,1,1,3,1,504,Y,163000
20,RL,47.0,12416,Timber,1Fam,1Story,6,5,1986,0,1651,1,0,2,0,3,1,616,Y,184000
20,RL,84.0,12615,Edwards,1Fam,1Story,6,7,1950,1,2158,1,0,2,0,4,1,576,Y,243000
60,RL,97.0,10029,ClearCr,1Fam,2Story,6,5,1988,1,2060,0,1,2,1,4,1,521,Y,211000
50,RL,,13650,Sawyer,1Fam,1.5Fin,5,5,1958,0,1920,1,0,2,0,4,1,451,Y,172500
20,RL,63.0,17423,StoneBr,1Fam,1Story,9,5,2008,1,2234,1,0,2,0,1,1,1166,Y,501837
30,RM,60.0,8520,OldTown,1Fam,1Story,5,6,1923,1,968,0,0,1,0,2,0,480,N,100000
160,FV,,2117,Somerst,Twnhs,2Story,6,5,2000,0,1525,0,0,2,1,3,1,440,Y,177000
70,RL,54.0,7588,Crawfor,1Fam,2Story,7,6,1920,1,1802,0,0,1,1,4,1,216,Y,200100
20,RL,60.0,9060,Edwards,1Fam,1Story,5,6,1957,1,1340,0,0,1,0,3,1,252,Y,120000
50,RM,63.0,11426,OldTown,1Fam,1.5Fin,7,5,2003,0,2082,0,0,2,1,3,0,484,N,200000
50,RL,92.0,7438,BrkSide,1Fam,1.5Fin,5,8,1908,1,1252,0,0,1,0,3,0,576,Y,127000
75,RM,90.0,22950,OldTown,1Fam,2.5Fin,10,9,1892,1,3608,0,0,2,1,4,2,840,Y,475000
80,RL,,9947,Mitchel,1Fam,SLvl,7,5,1990,1,1217,1,0,2,0,3,0,497,Y,173000
50,RL,60.0,10410,OldTown,1Fam,1.5Fin,5,7,1916,1,1656,0,0,2,1,3,0,180,N,135000
90,RL,64.0,7018,SawyerW,Duplex,SFoyer,5,5,1979,0,1224,2,0,0,2,2,2,528,Y,153337
120,RL,41.0,4923,StoneBr,TwnhsE,1Story,8,5,2001,1,1593,1,0,1,1,0,1,682,Y,286000
70,RL,70.0,10570,Crawfor,1Fam,2Story,8,8,1932,1,2727,0,0,2,1,3,2,440,Y,315000
60,RL,,7472,NAmes,1Fam,2Story,7,9,1972,1,1479,1,0,1,1,4,0,484,Y,184000
20,RL,68.0,9017,CollgCr,1Fam,1Story,7,5,1999,0,1431,1,0,2,0,3,0,666,Y,192000
160,RM,24.0,2522,Edwards,Twnhs,2Story,7,5,2004,0,1709,0,0,2,0,3,0,380,Y,130000
20,RL,60.0,7180,CollgCr,1Fam,1Story,5,7,1972,0,864,0,0,1,0,3,0,352,Y,127000
160,RL,24.0,2280,NPkVill,Twnhs,2Story,6,6,1976,0,1456,0,0,2,1,3,1,440,Y,148500
20,RL,79.0,9416,Somerst,1Fam,1Story,7,5,2007,0,1726,1,0,2,0,3,1,786,Y,311872
75,RL,174.0,25419,NAmes,1Fam,2Story,8,4,1918,1,3112,1,1,2,0,4,1,795,Y,235000
75,RM,92.0,5520,OldTown,1Fam,2.5Fin,6,6,1912,1,2229,0,0,1,0,5,0,0,Y,104000
20,RL,76.0,9591,NridgHt,1Fam,1Story,8,5,2004,1,1713,1,0,2,0,3,1,856,Y,274900
20,RM,80.0,8546,Edwards,1Fam,1Story,4,5,2003,1,1121,0,0,2,0,2,0,440,Y,140000
20,RL,75.0,10125,Mitchel,1Fam,1Story,6,6,1977,0,1279,0,1,2,0,3,2,473,Y,171500
50,RL,50.0,7000,OldTown,1Fam,1.5Fin,6,6,1924,1,1310,0,0,2,0,2,0,398,Y,112000
120,RM,,4438,CollgCr,TwnhsE,1Story,6,5,2004,0,848,1,0,1,0,1,1,420,Y,149000
50,RM,50.0,3500,OldTown,1Fam,1.5Fin,5,7,1947,1,1284,0,0,1,1,2,0,240,Y,110000
20,RL,99.0,11851,Gilbert,1Fam,1Story,7,5,1990,0,1442,0,0,2,0,3,0,500,Y,180500
20,RL,40.0,13673,Sawyer,1Fam,1Story,5,5,1962,0,1696,0,0,1,1,3,1,349,Y,143900
20,RL,,12493,NAmes,1Fam,1Story,4,5,1960,0,1100,1,0,1,0,3,1,312,Y,141000
60,RL,,14364,SawyerW,1Fam,2Story,7,5,1988,1,2062,1,0,2,1,3,1,454,Y,277000
20,RL,75.0,8250,NAmes,1Fam,1Story,6,7,1964,0,1092,1,0,1,0,3,0,504,Y,145000
30,RL,67.0,5604,Edwards,1Fam,1Story,5,6,1925,1,864,1,0,1,0,2,0,0,Y,98000
20,RL,83.0,10420,Edwards,1Fam,1Story,6,5,2009,0,1212,0,0,2,0,3,0,460,Y,186000
60,FV,72.0,8640,Somerst,1Fam,2Story,7,5,2009,0,1852,1,0,2,1,3,1,644,Y,252678
20,RL,43.0,13568,CollgCr,1Fam,1Story,5,5,1995,0,990,0,1,1,0,3,0,576,Y,156000
60,RL,,10900,CollgCr,1Fam,2Story,6,7,1977,0,1392,0,0,1,1,3,0,299,Y,161750
20,RL,72.0,10011,NAmes,1Fam,1Story,5,6,1957,1,1236,0,1,1,0,2,1,447,Y,134450
20,RL,65.0,8450,CollgCr,1Fam,1Story,7,5,2004,0,1436,1,0,2,0,3,0,484,Y,210000
70,RM,57.0,9906,OldTown,1Fam,2Story,4,4,1925,1,1328,0,0,1,0,3,0,210,Y,107000
50,RL,,15660,Crawfor,1Fam,1.5Fin,7,9,1939,1,1954,0,1,1,1,3,2,431,Y,311500
120,RL,43.0,3010,Blmngtn,TwnhsE,1Story,7,5,2005,1,1248,0,0,2,0,2,0,438,Y,167240
20,RL,73.0,8990,CollgCr,1Fam,1Story,7,5,2006,0,1498,0,0,2,0,2,0,675,Y,204900
60,RL,,8068,Gilbert,1Fam,2Story,6,5,2002,0,2267,0,0,2,1,4,1,390,Y,200000
60,RL,85.0,11475,NWAmes,1Fam,2Story,6,6,1975,0,1552,1,0,2,1,3,1,434,Y,179900
20,RL,70.0,10500,NAmes,1Fam,1Story,4,6,1971,0,864,0,0,1,0,2,0,576,Y,97000
20,RL,103.0,13472,NridgHt,1Fam,1Story,10,5,2003,0,2392,0,0,2,0,3,1,968,Y,386250
160,RM,21.0,1680,BrDale,Twnhs,2Story,5,5,1971,0,1302,0,0,2,1,3,0,280,Y,112000
60,RL,82.0,9950,NoRidge,1Fam,2Story,7,5,1995,0,2520,0,0,2,1,4,1,721,Y,290000
160,RM,21.0,1869,BrDale,Twnhs,2Story,6,6,1970,0,987,0,0,1,1,2,0,280,Y,106000
20,RL,70.0,8521,Sawyer,1Fam,1Story,5,5,1967,0,912,0,0,1,0,3,1,336,Y,125000
120,RL,43.0,3182,Blmngtn,TwnhsE,1Story,7,5,2005,1,1555,0,0,2,0,2,1,430,Y,192500
20,RL,73.0,8760,NAmes,1Fam,1Story,6,6,1959,0,1194,1,0,1,0,3,0,312,Y,148000
60,RL,174.0,15138,NoRidge,1Fam,2Story,8,5,1995,1,2794,1,0,2,1,4,1,810,Y,403000
160,RM,21.0,1680,BrDale,Twnhs,2Story,6,5,1972,0,987,0,0,1,1,2,1,288,Y,94500
20,RL,75.0,10650,CollgCr,1Fam,1Story,5,6,1976,0,894,1,0,1,0,3,0,308,Y,128200
