Id,LotArea,OverallQual,YearBuilt,RoofStyle,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
138,11070,7,1988,Gable,1907,Y,1959,0,3,0,5,2,9,3,766,171000
139,9066,8,1999,Gable,1004,Y,1004,848,2,1,3,1,7,3,660,230000
140,15426,6,1997,Gable,928,Y,928,836,2,1,3,1,7,2,470,231500
141,10500,4,1971,Gable,864,Y,864,0,1,0,3,1,5,0,0,115000
142,11645,7,2005,Gable,1734,Y,1734,0,2,0,3,1,7,2,660,260000
143,8520,5,1952,Gable,910,Y,910,475,2,0,4,1,6,2,720,166000
144,10335,7,1999,Gable,1490,Y,1501,0,2,0,3,1,6,2,577,204000
145,9100,5,1963,Gable,1728,Y,1728,0,2,0,6,2,10,2,504,125000
146,2522,6,2004,Gable,970,Y,970,739,2,0,3,1,7,2,380,130000
147,6120,5,1931,Gable,715,Y,875,0,1,0,2,1,5,1,180,105000
148,9505,7,2001,Gable,884,Y,884,1151,2,1,3,1,8,2,434,222500
149,7500,7,2004,Gable,1080,Y,1080,0,1,0,3,1,6,0,0,141000
150,6240,5,1936,Gable,896,Y,896,448,1,0,3,1,7,1,240,115000
151,10356,5,1975,Gable,969,Y,969,0,1,1,3,1,5,2,440,122000
152,13891,8,2007,Hip,1710,Y,1710,0,2,0,2,1,6,3,866,372402
153,14803,6,1971,Gable,825,Y,1097,896,2,1,4,1,8,2,495,190000
154,13500,6,1960,Flat,1602,Y,1252,0,1,0,1,1,4,2,564,235000
155,11340,6,1923,Gable,1200,Y,1200,0,1,0,4,1,7,1,312,125000
156,9600,6,1924,Gable,572,N,572,524,1,0,2,1,5,0,0,79000
157,7200,5,1950,Hip,0,Y,1040,0,1,0,2,1,5,2,625,109500
158,12003,8,2009,Gable,774,Y,774,1194,2,1,4,1,8,3,680,269500
159,12552,7,2004,Gable,991,Y,991,956,2,1,3,1,8,2,678,254900
160,19378,7,2005,Gable,1392,Y,1392,1070,2,1,4,1,9,2,576,320000
161,11120,6,1984,Gable,1232,Y,1232,0,2,0,3,1,6,2,516,162500
162,13688,9,2003,Gable,1572,Y,1572,1096,2,1,3,1,10,3,726,412500
163,12182,7,2005,Gable,1541,Y,1541,0,2,0,3,1,7,2,532,220000
164,5500,4,1956,Gable,882,Y,882,0,1,0,1,1,4,0,0,103200
165,5400,6,1926,Gable,1149,Y,1149,467,2,0,3,1,5,1,216,152000
166,10106,5,1940,Gable,644,Y,808,547,2,0,4,2,6,0,0,127500
167,10708,5,1955,Hip,1617,Y,1867,0,1,0,2,1,7,1,303,190000
168,10562,8,2007,Gable,1582,Y,1610,551,1,1,3,1,8,3,789,325624
169,8244,7,2004,Gable,840,Y,840,880,2,1,3,1,7,2,440,183500
170,16669,8,1981,Hip,1686,Y,1707,0,2,1,2,1,6,2,511,228000
171,12358,5,1941,Gable,720,Y,854,0,1,1,2,1,7,2,660,128500
172,31770,6,1960,Hip,1080,Y,1656,0,1,0,3,1,7,2,528,215000
173,5306,7,1987,Gable,1064,Y,1064,703,2,0,2,1,5,2,504,239000
174,10197,6,1961,Gable,1362,Y,1362,0,1,1,3,1,6,2,504,163000
175,12416,6,1986,Gable,1606,Y,1651,0,2,0,3,1,7,2,616,184000
176,12615,6,1950,Gable,1202,Y,2158,0,2,0,4,1,7,2,576,243000
177,10029,6,1988,Gable,1151,Y,1164,896,2,1,4,1,8,2,521,211000
178,13650,5,1958,Gable,1052,Y,1252,668,2,0,4,1,8,2,451,172500
179,17423,9,2008,Hip,2216,Y,2234,0,2,0,1,1,9,3,1166,501837
180,8520,5,1923,Gable,968,Y,968,0,1,0,2,1,5,2,480,100000
181,2117,6,2000,Gable,756,Y,769,756,2,1,3,1,5,2,440,177000
182,7588,7,1920,Gable,793,Y,901,901,1,1,4,1,9,1,216,200100
183,9060,5,1957,Hip,0,Y,1340,0,1,0,3,1,7,1,252,120000
184,11426,7,2003,Gable,1362,Y,1362,720,2,1,3,1,6,2,484,200000
185,7438,5,1908,Gable,504,Y,936,316,1,0,3,1,5,2,576,127000
186,22950,10,1892,Gable,1107,Y,1518,1518,2,1,4,1,12,3,840,475000
187,9947,7,1990,Gable,1188,Y,1217,0,2,0,3,1,6,2,497,173000
188,10410,5,1916,Gable,660,Y,808,704,2,1,3,1,8,1,180,135000
189,7018,5,1979,Gable,1086,Y,1224,0,0,2,2,2,6,2,528,153337
190,4923,8,2001,Gable,1593,Y,1593,0,1,1,0,1,5,2,682,286000
191,10570,8,1932,Hip,853,Y,1549,1178,2,1,3,1,10,2,440,315000
192,7472,7,1972,Gable,725,Y,725,754,1,1,4,1,7,2,484,184000
193,9017,7,1999,Gable,1431,Y,1431,0,2,0,3,1,6,2,666,192000
194,2522,7,2004,Gable,970,Y,970,739,2,0,3,1,7,2,380,130000
195,7180,5,1972,Hip,864,Y,864,0,1,0,3,1,5,1,352,127000
196,2280,6,1976,Gable,855,Y,855,601,2,1,3,1,7,2,440,148500
197,9416,7,2007,Hip,1726,Y,1726,0,2,0,3,1,8,3,786,311872
198,25419,8,1918,Gable,1360,Y,1360,1360,2,0,4,1,8,2,795,235000
199,5520,6,1912,Gable,755,Y,929,929,1,0,5,1,8,0,0,104000
200,9591,8,2004,Hip,1713,Y,1713,0,2,0,3,1,7,3,856,274900
201,8546,4,2003,Gable,1121,Y,1121,0,2,0,2,1,5,2,440,140000
202,10125,6,1977,Gable,1196,Y,1279,0,2,0,3,1,6,2,473,171500
203,7000,6,1924,Gable,617,Y,865,445,2,0,2,1,6,1,398,112000
204,4438,6,2004,Gable,848,Y,848,0,1,0,1,1,3,2,420,149000
205,3500,5,1947,Gable,720,Y,720,564,1,1,2,1,5,1,240,110000
206,11851,7,1990,Gable,1424,Y,1442,0,2,0,3,1,5,2,500,180500
207,13673,5,1962,Gable,1140,Y,1696,0,1,1,3,1,8,1,349,143900
208,12493,4,1960,Gable,1100,Y,1100,0,1,0,3,1,6,1,312,141000
209,14364,7,1988,Gable,1157,Y,1180,882,2,1,3,1,7,2,454,277000
210,8250,6,1964,Hip,1092,Y,1092,0,1,0,3,1,6,2,504,145000
211,5604,5,1925,Gable,864,N,864,0,1,0,2,1,5,0,0,98000
212,10420,6,2009,Gable,1212,Y,1212,0,2,0,3,1,6,2,460,186000
213,8640,7,2009,Gable,900,Y,932,920,2,1,3,1,7,2,644,252678
214,13568,5,1995,Gable,990,Y,990,0,1,0,3,1,5,2,576,156000
215,10900,6,1977,Gable,689,Y,689,703,1,1,3,1,6,1,299,161750
216,10011,5,1957,Gable,1070,Y,1236,0,1,0,2,1,6,1,447,134450
217,8450,7,2004,Gable,1436,Y,1436,0,2,0,3,1,8,2,484,210000
218,9906,4,1925,Gable,686,N,810,518,1,0,3,1,8,1,210,107000
219,15660,7,1939,Gable,798,Y,1137,817,1,1,3,1,8,2,431,311500
220,3010,7,2005,Gable,1248,Y,1248,0,2,0,2,1,5,2,438,167240
221,8990,7,2006,Gable,1498,Y,1498,0,2,0,2,1,5,2,675,204900
222,8068,6,2002,Gable,1010,Y,1010,1257,2,1,4,1,8,2,390,200000
223,11475,6,1975,Gable,713,Y,811,741,2,1,3,1,6,2,434,179900
224,10500,4,1971,Gable,864,Y,864,0,1,0,2,1,4,2,576,97000
225,13472,10,2003,Hip,2392,Y,2392,0,2,0,3,1,8,3,968,386250
226,1680,5,1971,Gable,630,Y,630,672,2,1,3,1,6,1,280,112000
227,9950,7,1995,Gable,1203,Y,1214,1306,2,1,4,1,9,3,721,290000
228,1869,6,1970,Gable,483,Y,483,504,1,1,2,1,5,1,280,106000
229,8521,5,1967,Gable,912,Y,912,0,1,0,3,1,5,1,336,125000
230,3182,7,2005,Gable,1373,Y,1555,0,2,0,2,1,7,2,430,192500
231,8760,6,1959,Hip,1194,Y,1194,0,1,0,3,1,6,1,312,148000
232,15138,8,1995,Gable,1462,Y,1490,1304,2,1,4,1,9,3,810,403000
233,1680,6,1972,Gable,483,Y,483,504,1,1,2,1,5,1,288,94500
234,10650,5,1976,Gable,894,Y,894,0,1,0,3,1,5,1,308,128200
235,7851,6,2002,Gable,860,Y,860,1100,2,1,4,1,8,2,440,216500
236,1680,6,1971,Gable,483,Y,483,504,1,1,2,1,5,1,264,89500
237,8773,7,2004,Gable,1414,Y,1414,0,2,0,3,1,6,2,494,185500
238,9453,7,1993,Gable,996,Y,1014,730,2,1,3,1,7,2,457,194500
239,12030,8,2007,Hip,1694,Y,1694,0,2,0,3,1,7,3,818,318000
240,8741,6,1945,Gable,735,Y,798,689,1,1,3,1,7,1,220,113000
241,9000,8,2008,Gable,1566,Y,1566,0,2,0,3,1,7,2,750,262500
242,3880,5,1945,Gable,686,Y,866,0,1,0,2,1,4,0,0,110500
243,5000,5,1900,Gable,540,N,889,551,1,0,3,1,6,1,352,79000
244,10762,6,1980,Gable,626,Y,626,591,1,1,3,1,6,1,288,120000
245,8880,7,1994,Gable,948,Y,1222,888,2,1,3,1,8,2,463,205000
246,10400,7,1988,Gable,1845,Y,1872,0,2,0,3,1,6,2,604,241500
247,9142,6,1910,Gable,1020,N,908,1020,2,0,4,2,9,1,440,137000
248,11310,6,1954,Hip,1367,Y,1375,0,1,0,2,1,5,2,451,140000
249,11317,7,2003,Gable,840,Y,840,828,2,1,3,1,8,2,500,180000
250,159000,6,1958,Gable,1444,Y,1444,700,2,0,4,1,7,2,389,277000
251,5350,3,1940,Gable,728,Y,1306,0,1,0,3,1,6,0,0,76500
252,4750,8,2006,Hip,1573,Y,1625,0,2,0,2,1,5,2,538,235000
253,8366,6,2004,Gable,798,Y,798,842,2,1,3,1,6,2,520,173000
254,9350,6,1964,Hip,1302,Y,1302,0,2,0,3,1,7,1,309,158000
255,8400,5,1957,Gable,1314,Y,1314,0,1,0,3,1,5,1,294,145000
256,8738,7,1999,Gable,975,Y,1005,1286,2,1,4,1,8,2,429,230000
257,8791,6,2003,Gable,864,Y,864,864,2,1,3,1,7,2,673,207500
258,8814,7,2006,Gable,1604,Y,1604,0,2,1,3,1,8,2,660,220000
259,12435,7,2001,Gable,963,Y,963,829,2,1,3,1,7,2,564,231500
260,12702,5,1956,Gable,0,Y,882,0,1,0,2,1,4,1,308,97000
261,19296,6,1962,Gable,1362,Y,1382,0,1,0,3,1,6,2,884,176000
262,9588,8,2007,Gable,1482,Y,1482,1092,2,1,3,1,10,3,868,276000
263,8471,6,1977,Gable,506,Y,1212,0,1,0,3,1,6,2,492,151000
264,5500,5,1929,Gable,926,Y,926,0,1,0,3,1,6,2,484,130000
265,5232,5,1925,Gable,680,N,764,0,1,0,2,1,4,2,504,73000
266,12090,6,1981,Gable,1422,Y,1422,0,2,0,3,1,7,2,576,175500
267,11207,6,1997,Gable,802,Y,802,709,2,1,3,1,8,2,413,185000
268,8400,5,1939,Gable,720,Y,1052,720,2,1,4,1,8,1,240,179500
269,6900,5,1940,Gable,740,Y,778,0,1,0,2,1,4,1,924,120500
270,7917,6,1976,Hip,1143,Y,1113,0,1,1,3,1,6,1,504,148000
271,10728,8,2006,Gable,1095,Y,1095,844,2,1,3,1,8,3,1053,266000
272,39104,7,1954,Flat,1385,Y,1363,0,1,0,2,1,5,2,439,241500
273,11764,8,1999,Gable,1152,Y,1164,1106,2,1,4,1,9,3,671,290000
274,9600,6,1958,Hip,1240,Y,1632,0,2,0,3,1,6,1,338,139000
275,8314,5,1982,Gable,816,Y,816,0,1,0,2,1,5,1,264,124500
276,7264,7,1925,Gable,952,N,952,596,2,1,3,1,5,2,672,205000
277,9196,7,2003,Gable,1560,Y,1560,0,2,0,3,1,7,2,573,201000
278,19138,4,1951,Gable,864,Y,864,0,1,0,2,1,4,2,400,141000
279,14450,9,2006,Gable,2121,Y,2121,0,2,1,3,1,8,3,732,415298
280,10005,7,1977,Hip,1160,Y,1156,866,2,1,4,1,8,2,505,192000
281,11287,7,1989,Gable,807,Y,1175,807,2,1,3,1,7,2,575,228500
282,7200,6,2006,Gable,1262,Y,1262,0,2,0,2,1,5,2,572,185000
283,5063,7,2007,Gable,1314,Y,1314,0,2,0,2,1,6,2,626,207500
284,9612,8,2008,Gable,1468,Y,1468,0,2,0,3,1,6,3,898,244600
285,8012,6,1992,Gable,1575,Y,1575,0,2,0,2,1,5,2,529,179200
286,4251,7,2006,Gable,625,Y,625,625,2,1,2,1,5,2,528,164700
287,9786,6,1962,Gable,912,Y,1085,649,1,1,3,1,7,2,440,159000
288,8125,4,1971,Gable,858,Y,858,0,1,0,3,1,5,0,0,88000
289,9819,5,1967,Gable,882,Y,900,0,1,0,3,1,5,1,280,122000
290,8730,6,1915,Gable,698,Y,698,698,1,0,3,1,7,1,384,153575
291,15611,8,2006,Gable,1079,Y,1079,840,2,1,3,1,8,2,685,233230
292,5687,5,1912,Gable,780,N,936,780,2,0,6,1,9,0,0,135900
293,11409,5,1949,Gable,768,Y,1148,568,1,1,3,1,8,1,281,131000
294,16659,7,1977,Gable,795,Y,1468,795,2,1,3,1,9,2,539,235000
295,9600,6,1953,Hip,1416,Y,1644,0,1,0,3,1,7,2,418,167000
296,7937,6,1984,Gable,1003,Y,1003,0,1,0,3,1,6,2,588,142500
297,13710,5,1950,Gable,910,Y,910,648,1,1,4,1,6,1,282,152000
298,7399,7,1997,Hip,975,Y,975,975,2,1,3,1,7,2,576,239000
299,11700,6,1968,Mansard,702,Y,1041,702,1,2,3,1,7,2,539,175000
300,14000,6,1950,Gable,1092,Y,1152,0,1,0,3,1,6,1,300,158500
301,15750,5,1953,Hip,1165,Y,1336,0,1,0,2,1,5,1,375,157000
302,16226,8,1998,Gable,1028,Y,1210,1242,2,1,4,1,9,2,683,267000
303,13704,7,2001,Gable,1541,Y,1541,0,2,0,3,1,6,3,843,205000
304,9800,5,1972,Gable,894,Y,894,0,1,0,3,1,5,2,552,149900
305,18386,7,1880,Gable,1470,Y,1675,1818,3,0,3,1,10,3,870,295000
306,10386,8,2004,Gable,2000,Y,2000,0,2,0,3,1,8,3,888,305900
307,13474,7,1990,Gable,700,Y,1122,1121,2,1,4,1,8,3,746,225000
308,7920,6,1920,Gable,319,Y,1035,371,1,0,3,1,6,0,0,89500
309,12342,4,1940,Gable,861,Y,861,0,1,0,1,1,4,2,539,82500
310,12378,9,2003,Gable,1896,Y,1944,0,2,0,3,1,8,3,708,360000
311,7685,6,1993,Gable,697,Y,697,804,2,1,3,1,6,2,420,165600
312,8000,6,1948,Gable,972,Y,972,0,1,0,2,1,5,1,240,132000
313,7800,5,1939,Gable,793,Y,793,325,1,0,3,1,5,2,410,119900
314,215245,7,1965,Hip,2136,Y,2036,0,2,0,3,1,8,2,513,375000
315,9600,7,1925,Gable,728,Y,832,809,1,1,3,1,6,2,546,178000
316,7795,7,2004,Gable,716,Y,716,716,2,1,3,1,6,2,432,188500
317,13005,7,1980,Gable,845,Y,1153,1200,2,1,4,1,10,2,484,260000
318,9000,8,2006,Gable,1088,Y,1088,871,2,1,3,1,8,3,1025,270000
319,9900,7,1993,Gable,1347,Y,1372,1274,2,1,4,1,9,3,656,260000
320,14115,7,1980,Gable,1372,Y,1472,0,2,0,3,1,6,2,588,187500
321,16259,9,2006,Gable,1249,Y,1249,1347,3,1,4,1,9,3,840,342643
322,12099,8,2004,Gable,1136,Y,1136,1332,2,1,4,1,10,3,872,354000
323,10380,7,1986,Gable,1502,Y,1553,1177,2,1,4,1,8,2,576,301000
324,5820,3,1955,Gable,1162,Y,1163,0,1,0,3,1,6,1,220,126175
325,11275,7,1967,Mansard,710,Y,1898,1080,2,1,5,1,11,2,564,242000
326,5000,5,1941,Gable,720,N,803,0,1,0,2,1,5,2,360,87000
327,10846,8,1993,Gable,1719,Y,1719,0,1,1,1,1,6,2,473,324000
328,11600,6,1960,Hip,1383,Y,1383,0,1,1,3,1,7,1,292,145250
329,11888,6,1916,Gable,844,N,1445,689,2,0,5,1,10,2,441,214500
330,6402,5,1920,Gable,596,N,596,596,1,0,3,1,6,1,189,78000
331,10624,5,1964,Gable,1728,Y,1728,0,2,0,6,2,10,1,352,119000
332,8176,5,1958,Gable,1056,Y,1056,0,1,0,3,1,6,1,308,139000
333,10655,8,2003,Gable,3206,Y,1629,0,2,0,3,1,7,3,880,284000
