Date,AAPL,AMZN,IBM,WMT,XOM
2002-02-14,1.76,13.88,107.89,60.49,39.0
2002-02-15,1.71,13.41,102.89,60.03,38.9
2002-02-19,1.62,13.01,99.54,59.29,38.77
2002-02-20,1.65,12.96,99.31,60.02,38.99
2002-02-21,1.54,13.26,96.38,59.55,39.15
2002-02-22,1.62,13.07,98.45,59.95,40.72
2002-02-25,1.7,13.73,98.3,60.65,41.0
2002-02-26,1.69,14.4,97.15,62.1,40.72
2002-02-27,1.57,14.27,97.83,62.25,40.92
2002-02-28,1.55,14.1,98.12,62.01,41.3
2002-03-01,1.68,15.39,103.02,62.81,42.0
2002-03-04,1.74,16.48,105.9,62.98,42.65
2002-03-05,1.68,15.97,105.67,60.76,42.5
2002-03-06,1.72,16.33,106.3,60.9,43.21
2002-03-07,1.74,15.62,103.71,61.7,42.89
2002-03-08,1.76,16.35,105.09,62.52,42.91
2002-03-11,1.79,16.71,105.24,62.53,43.49
2002-03-12,1.77,16.31,108.5,62.23,44.0
2002-03-13,1.75,15.74,107.18,61.99,43.12
2002-03-14,1.74,14.48,106.6,62.27,43.24
2002-03-15,1.78,14.03,106.79,63.75,43.61
2002-03-18,1.77,15.01,106.35,63.55,43.74
2002-03-19,1.78,14.66,107.49,63.46,43.8
2002-03-20,1.78,14.5,105.5,63.18,43.53
2002-03-21,1.73,15.17,106.78,62.2,43.53
2002-03-22,1.72,15.53,105.6,62.05,43.47
2002-03-25,1.67,14.74,103.56,61.28,42.85
2002-03-26,1.68,14.83,102.9,62.17,43.74
2002-03-27,1.68,14.25,103.39,62.0,43.95
2002-03-28,1.69,14.3,104.0,61.3,43.83
2002-04-01,1.75,14.8,102.86,59.56,43.83
2002-04-02,1.72,14.25,101.01,58.93,44.38
2002-04-03,1.7,13.67,99.96,58.6,43.69
2002-04-04,1.78,13.54,100.84,59.28,43.15
2002-04-05,1.77,13.5,97.25,59.14,42.63
2002-04-08,1.75,13.95,87.41,59.78,43.24
2002-04-09,1.72,13.6,87.74,60.1,42.72
2002-04-10,1.76,13.48,89.01,60.57,43.18
2002-04-11,1.78,12.74,84.19,60.17,42.4
2002-04-12,1.79,13.31,85.6,61.23,41.3
2002-04-15,1.79,13.89,85.35,59.93,41.6
2002-04-16,1.84,14.01,86.2,60.0,42.28
2002-04-17,1.86,14.82,84.81,59.29,42.22
2002-04-18,1.82,14.26,88.95,58.15,42.46
2002-04-19,1.78,14.53,89.0,58.93,42.52
2002-04-22,1.75,14.31,87.93,57.55,41.85
2002-04-23,1.73,14.06,87.33,58.05,41.35
2002-04-24,1.7,16.79,86.5,57.45,40.3
2002-04-25,1.72,16.82,86.71,57.0,40.54
2002-04-26,1.64,16.91,84.71,55.8,40.0
2002-04-29,1.71,16.18,83.89,56.2,39.7
2002-04-30,1.73,16.69,83.76,55.86,40.17
2002-05-01,1.71,16.49,84.3,56.8,40.69
2002-05-02,1.69,16.32,83.86,56.65,40.8
2002-05-03,1.68,16.05,81.78,55.25,40.59
2002-05-06,1.62,16.12,76.0,53.99,39.25
2002-05-07,1.6,16.11,76.5,55.01,39.1
2002-05-08,1.74,17.32,82.45,56.39,40.01
2002-05-09,1.73,17.73,79.93,54.99,39.36
2002-05-10,1.67,16.94,79.68,53.66,38.96
2002-05-13,1.71,17.32,82.19,55.04,40.01
2002-05-14,1.83,18.81,85.48,57.39,40.58
2002-05-15,1.81,19.94,84.5,56.77,39.71
2002-05-16,1.8,19.61,85.45,58.35,40.27
2002-05-17,1.79,19.16,85.69,58.33,40.2
2002-05-20,1.77,19.39,84.45,57.8,39.59
2002-05-21,1.68,18.76,83.45,56.6,39.77
2002-05-22,1.74,18.75,84.0,56.8,40.43
2002-05-23,1.8,19.45,84.35,56.31,40.9
2002-05-24,1.72,19.47,83.1,55.52,40.23
2002-05-28,1.71,19.06,82.08,54.79,39.84
2002-05-29,1.71,18.91,81.6,54.53,40.3
2002-05-30,1.73,18.37,82.25,53.99,39.35
2002-05-31,1.66,18.23,80.45,54.1,39.93
2002-06-03,1.64,17.96,78.11,53.15,39.08
2002-06-04,1.63,17.97,79.31,54.0,39.23
2002-06-05,1.62,17.99,80.55,54.96,39.56
2002-06-06,1.58,18.17,79.66,54.1,39.15
2002-06-07,1.53,18.58,78.3,54.43,39.42
2002-06-10,1.53,17.3,76.8,56.4,39.13
2002-06-11,1.46,17.14,75.49,56.45,39.03
2002-06-12,1.44,17.08,74.65,58.3,39.7
2002-06-13,1.4,17.43,75.6,56.5,39.36
2002-06-14,1.44,16.82,76.17,56.95,39.15
2002-06-17,1.47,18.41,77.14,58.31,40.03
2002-06-18,1.44,18.78,75.94,58.55,39.93
2002-06-19,1.22,18.3,73.35,57.41,39.37
2002-06-20,1.22,17.55,71.58,56.5,39.74
2002-06-21,1.2,17.53,68.75,54.98,39.25
2002-06-24,1.23,17.51,69.7,55.75,40.0
2002-06-25,1.22,15.34,68.6,55.1,39.6
2002-06-26,1.18,15.85,70.05,55.62,39.45
2002-06-27,1.22,15.86,71.9,57.7,40.25
2002-06-28,1.27,16.25,72.0,55.01,40.92
2002-07-01,1.22,13.55,67.6,54.4,40.65
2002-07-02,1.21,13.32,68.58,53.42,40.16
2002-07-03,1.25,14.25,70.51,55.04,39.91
2002-07-05,1.34,15.21,73.5,56.0,40.52
2002-07-08,1.29,14.94,71.3,55.6,40.36
2002-07-09,1.25,15.6,69.67,54.65,39.8
2002-07-10,1.24,14.96,68.76,53.76,38.23
2002-07-11,1.31,15.55,69.41,54.18,37.1
2002-07-12,1.25,15.43,69.21,52.85,36.53
2002-07-15,1.3,15.94,70.93,53.44,35.75
2002-07-16,1.28,16.29,69.01,49.88,35.2
2002-07-17,1.12,16.16,70.69,48.25,35.61
2002-07-18,1.07,15.55,72.05,47.41,34.75
2002-07-19,1.07,15.29,72.0,46.5,32.4
2002-07-22,1.07,15.5,68.5,44.6,30.27
2002-07-23,1.03,14.55,67.05,45.1,30.92
2002-07-24,1.09,14.1,69.54,47.94,33.93
2002-07-25,1.03,12.49,69.35,47.0,33.9
2002-07-26,1.02,12.93,66.4,48.18,35.09
2002-07-29,1.07,14.33,71.18,49.53,36.33
2002-07-30,1.1,14.77,71.79,49.12,35.67
2002-07-31,1.09,14.46,70.4,49.18,36.76
2002-08-01,1.06,14.16,68.25,47.4,33.65
2002-08-02,1.03,13.84,67.88,46.1,33.61
2002-08-05,1.0,12.87,65.99,45.6,32.5
2002-08-06,1.05,13.74,67.9,47.28,33.4
2002-08-07,1.07,13.6,69.12,48.38,34.3
2002-08-08,1.09,13.9,71.61,49.19,36.0
2002-08-09,1.07,14.26,71.83,49.2,36.1
2002-08-12,1.07,14.46,71.77,48.41,35.73
2002-08-13,1.04,13.93,71.9,48.71,34.84
2002-08-14,1.08,13.91,74.92,52.62,36.39
2002-08-15,1.12,14.62,76.5,54.71,37.14
2002-08-16,1.13,14.9,79.35,53.79,36.85
2002-08-19,1.14,15.5,82.49,54.69,37.16
2002-08-20,1.14,15.98,81.27,53.78,36.18
2002-08-21,1.15,15.38,81.0,54.09,36.44
2002-08-22,1.14,15.73,81.99,54.25,37.03
2002-08-23,1.12,15.17,80.4,53.19,36.15
2002-08-26,1.11,14.93,79.42,53.4,36.67
2002-08-27,1.06,14.52,77.96,53.12,36.9
2002-08-28,1.05,14.57,76.06,53.4,35.62
2002-08-29,1.05,15.14,76.62,53.2,35.39
2002-08-30,1.05,14.94,75.38,53.48,35.45
2002-09-03,1.0,14.6,72.35,51.87,33.62
2002-09-04,1.03,14.83,73.73,52.34,33.82
2002-09-05,1.01,14.25,72.18,50.94,33.77
2002-09-06,1.03,15.31,73.2,52.78,34.31
2002-09-09,1.03,16.51,74.5,53.28,34.0
2002-09-10,1.02,17.13,75.6,54.78,34.79
2002-09-11,1.02,17.11,74.2,54.2,34.6
2002-09-12,1.01,16.75,71.87,53.12,33.59
2002-09-13,1.01,16.61,72.5,54.4,34.08
2002-09-16,1.04,16.71,72.32,54.75,34.4
2002-09-17,1.06,17.35,71.75,54.26,33.07
2002-09-18,1.07,17.73,69.55,54.38,33.2
2002-09-19,1.04,17.21,64.8,53.7,32.36
2002-09-20,1.06,15.86,63.92,54.7,32.87
2002-09-23,1.06,16.05,63.37,52.6,32.72
2002-09-24,1.05,15.93,59.75,51.49,31.95
2002-09-25,1.07,15.73,63.01,52.04,32.61
2002-09-26,1.05,17.15,62.02,53.71,34.15
2002-09-27,1.05,17.01,60.36,51.24,32.82
2002-09-30,1.04,15.93,58.31,49.24,31.9
2002-10-01,1.04,16.95,61.17,51.71,33.92
2002-10-02,1.01,17.01,59.63,51.32,32.65
2002-10-03,1.02,16.75,60.0,51.1,33.18
2002-10-04,1.0,16.55,56.6,51.75,33.06
2002-10-07,0.98,16.64,56.86,50.35,33.19
2002-10-08,0.98,16.94,57.05,52.6,32.7
2002-10-09,0.97,16.86,55.07,50.74,32.83
2002-10-10,1.01,17.96,57.58,51.64,33.79
2002-10-11,1.04,18.46,63.92,53.83,34.54
2002-10-14,1.06,19.2,63.42,54.15,34.93
2002-10-15,1.08,18.94,68.48,56.29,36.3
2002-10-16,1.04,19.49,64.9,56.76,35.53
2002-10-17,1.01,18.74,72.2,55.33,36.3
2002-10-18,1.02,19.04,74.25,56.28,36.0
2002-10-21,1.04,19.26,75.55,56.4,36.0
2002-10-22,1.05,19.38,74.49,56.1,35.18
2002-10-23,1.06,19.75,74.6,57.23,35.13
2002-10-24,1.05,19.86,72.1,56.47,34.67
2002-10-25,1.1,19.3,74.56,57.33,35.11
2002-10-28,1.12,18.59,76.56,56.07,34.64
2002-10-29,1.1,18.57,76.74,56.47,33.23
2002-10-30,1.15,19.08,78.67,53.8,34.08
2002-10-31,1.15,19.36,78.94,53.55,33.66
2002-11-01,1.17,19.8,80.4,54.55,34.66
2002-11-04,1.21,18.78,82.5,53.45,34.26
2002-11-05,1.21,18.72,81.68,54.42,35.58
2002-11-06,1.23,19.34,81.54,54.34,35.11
2002-11-07,1.14,19.12,78.95,54.0,34.48
2002-11-08,1.13,19.51,77.59,54.03,34.61
2002-11-11,1.08,19.0,77.29,53.0,33.87
2002-11-12,1.12,19.82,79.15,53.85,34.04
2002-11-13,1.11,20.41,79.35,54.98,33.4
2002-11-14,1.16,21.21,80.72,55.57,34.5
2002-11-15,1.14,22.21,80.01,55.49,34.85
2002-11-18,1.12,22.42,79.18,53.68,34.97
2002-11-19,1.09,21.29,78.37,52.92,35.2
2002-11-20,1.11,22.9,81.61,54.4,35.24
2002-11-21,1.17,23.4,84.9,53.95,34.86
2002-11-22,1.14,23.99,84.43,53.76,34.22
2002-11-25,1.14,24.25,86.2,53.82,34.6
2002-11-26,1.1,23.4,85.06,53.24,33.96
2002-11-27,1.12,24.08,87.7,54.84,34.96
2002-11-29,1.11,23.35,87.1,54.16,34.8
2002-12-02,1.08,24.11,87.3,54.38,34.58
2002-12-03,1.08,23.74,85.21,53.93,34.9
2002-12-04,1.07,23.39,83.69,54.44,34.77
2002-12-05,1.04,22.58,83.06,53.02,34.77
2002-12-06,1.07,22.61,82.32,53.04,35.15
2002-12-09,1.05,21.68,79.59,51.85,34.51
2002-12-10,1.09,21.86,80.8,52.49,35.04
2002-12-11,1.11,22.13,81.44,52.0,35.02
2002-12-12,1.08,22.3,80.17,51.38,34.88
2002-12-13,1.06,22.1,80.0,50.54,35.04
2002-12-16,1.06,22.51,81.62,51.94,35.86
2002-12-17,1.08,22.46,80.31,50.94,35.52
2002-12-18,1.04,22.1,79.13,50.38,35.54
2002-12-19,1.01,21.69,78.66,50.16,35.15
2002-12-20,1.01,21.8,79.79,50.79,35.7
2002-12-23,1.04,22.24,80.26,49.59,35.75
2002-12-24,1.03,21.88,79.76,49.7,35.42
2002-12-26,1.03,20.3,78.5,49.76,35.32
2002-12-27,1.0,18.86,77.36,49.16,34.64
2002-12-30,1.0,19.25,76.25,50.64,34.75
2002-12-31,1.02,18.89,77.5,50.51,34.94
2003-01-02,1.06,19.57,80.57,51.6,35.47
2003-01-03,1.06,20.52,81.65,50.0,35.5
2003-01-06,1.06,20.7,83.59,50.19,36.38
2003-01-07,1.06,21.55,86.0,50.46,35.15
2003-01-08,1.04,21.02,84.19,49.99,35.0
2003-01-09,1.05,21.45,87.0,51.92,35.74
2003-01-10,1.05,21.32,87.68,51.62,35.24
2003-01-13,1.04,22.04,87.51,51.28,35.1
2003-01-14,1.04,22.74,88.58,51.41,35.42
2003-01-15,1.03,22.27,87.59,50.59,34.93
2003-01-16,1.04,21.8,86.05,50.3,35.09
2003-01-17,1.01,21.4,81.3,49.97,34.72
2003-01-21,1.0,21.08,80.54,49.01,33.92
2003-01-22,0.99,21.17,79.7,48.07,33.49
2003-01-23,1.01,21.79,81.05,48.57,33.41
2003-01-24,0.99,22.11,78.99,47.3,32.69
2003-01-27,1.01,21.78,78.42,47.1,31.82
2003-01-28,1.04,21.62,80.11,48.18,32.66
2003-01-29,1.07,22.08,80.32,48.1,33.85
2003-01-30,1.02,21.82,78.3,47.57,33.23
2003-01-31,1.03,21.85,78.2,47.8,34.15
2003-02-03,1.05,22.16,78.18,48.07,34.63
2003-02-04,1.04,22.05,77.09,47.15,34.63
2003-02-05,1.03,22.17,77.26,46.74,34.13
2003-02-06,1.03,22.09,77.51,46.79,33.61
2003-02-07,1.01,21.44,77.1,46.79,33.35
2003-02-10,1.02,21.4,77.91,47.02,33.61
2003-02-11,1.02,20.78,77.39,47.25,33.37
2003-02-12,1.03,21.13,76.5,47.85,32.7
2003-02-13,1.04,20.06,75.86,47.64,33.13
2003-02-14,1.05,20.06,77.45,49.15,33.44
2003-02-18,1.09,21.39,79.33,49.08,33.75
2003-02-19,1.06,21.19,79.51,48.77,33.78
2003-02-20,1.06,21.36,79.04,48.08,33.63
2003-02-21,1.07,21.78,79.95,48.9,34.18
2003-02-24,1.05,21.78,78.56,47.64,34.0
2003-02-25,1.07,21.88,79.07,48.43,34.14
2003-02-26,1.04,21.64,77.4,47.83,33.84
2003-02-27,1.06,21.62,77.28,48.16,33.98
2003-02-28,1.07,22.01,77.95,48.06,34.02
2003-03-03,1.05,21.81,77.33,47.79,34.46
2003-03-04,1.04,22.27,76.7,46.9,34.23
2003-03-05,1.04,22.42,77.73,47.88,34.92
2003-03-06,1.04,22.69,77.07,47.4,34.56
2003-03-07,1.04,22.97,77.9,48.12,34.79
2003-03-10,1.03,22.88,75.7,47.13,34.35
2003-03-11,1.02,22.78,75.35,46.8,34.57
2003-03-12,1.02,23.36,75.18,47.5,34.06
2003-03-13,1.05,24.42,78.45,49.55,34.49
2003-03-14,1.06,24.71,79.0,49.36,34.39
2003-03-17,1.07,26.55,82.46,51.97,35.05
2003-03-18,1.07,26.78,82.47,52.25,35.25
2003-03-19,1.07,26.54,82.0,53.05,35.59
2003-03-20,1.06,27.45,82.2,53.11,35.59
2003-03-21,1.07,27.93,84.9,54.67,36.0
2003-03-24,1.03,26.23,82.25,52.52,35.31
2003-03-25,1.04,26.9,83.45,53.47,35.67
2003-03-26,1.03,27.76,81.55,53.33,35.86
2003-03-27,1.04,27.77,81.45,53.54,35.92
2003-03-28,1.04,27.18,80.85,53.13,36.03
2003-03-31,1.01,26.03,78.43,52.03,34.95
2003-04-01,1.01,25.54,78.73,52.42,35.65
2003-04-02,1.04,26.38,81.46,54.07,35.7
2003-04-03,1.03,26.65,81.91,54.05,35.05
2003-04-04,1.03,26.22,80.79,54.6,35.52
2003-04-07,1.04,26.82,80.47,54.32,35.05
2003-04-08,1.03,26.52,80.07,54.56,34.58
2003-04-09,1.01,25.06,78.71,53.7,34.47
2003-04-10,1.03,25.67,79.01,54.58,34.68
2003-04-11,0.94,25.75,78.75,52.98,34.33
2003-04-14,0.97,25.05,80.07,54.17,34.87
2003-04-15,0.96,25.13,82.79,55.29,35.05
2003-04-16,0.95,24.38,82.88,54.54,34.69
2003-04-17,0.94,24.99,84.26,55.41,35.03
2003-04-21,0.94,25.25,83.36,54.98,34.87
2003-04-22,0.96,25.58,85.63,55.99,35.42
2003-04-23,0.97,25.43,85.75,55.98,35.34
2003-04-24,0.96,25.12,85.2,55.11,35.13
2003-04-25,0.95,28.97,83.88,55.0,34.79
2003-04-28,0.99,29.11,85.12,56.09,35.41
2003-04-29,1.0,28.89,85.66,56.58,34.83
2003-04-30,1.02,28.69,84.9,56.32,35.2
2003-05-01,1.03,28.66,85.89,55.94,35.48
2003-05-02,1.03,29.43,87.57,56.15,36.04
2003-05-05,1.15,29.96,86.52,55.58,35.45
2003-05-06,1.25,30.88,87.51,55.91,35.2
2003-05-07,1.26,30.7,86.68,55.08,35.41
2003-05-08,1.29,30.45,86.05,55.01,35.34
2003-05-09,1.31,30.96,87.55,55.8,35.47
2003-05-12,1.33,31.7,89.0,56.7,35.55
2003-05-13,1.33,32.95,89.98,55.49,35.53
2003-05-14,1.32,32.6,88.7,53.9,35.21
2003-05-15,1.34,32.63,89.9,53.76,35.29
2003-05-16,1.34,33.05,88.99,52.92,35.45
2003-05-19,1.29,31.56,86.45,52.47,35.04
2003-05-20,1.27,31.48,85.77,52.81,35.32
2003-05-21,1.28,31.75,86.18,52.59,35.79
2003-05-22,1.3,33.0,86.08,52.9,35.95
2003-05-23,1.31,32.72,85.26,52.0,35.98
2003-05-27,1.35,34.85,87.69,52.5,36.71
2003-05-28,1.3,34.94,87.57,53.35,36.45
2003-05-29,1.29,35.55,87.36,52.81,35.97
2003-05-30,1.28,35.89,88.04,52.61,36.4
2003-06-02,1.25,35.4,87.33,52.46,36.58
2003-06-03,1.24,35.23,83.82,52.85,36.98
2003-06-04,1.26,35.39,84.25,53.86,37.4
2003-06-05,1.26,35.52,81.9,54.62,37.16
2003-06-06,1.22,33.35,80.05,53.82,37.34
2003-06-09,1.2,33.68,82.0,53.79,37.46
2003-06-10,1.23,34.07,81.71,54.76,37.54
2003-06-11,1.25,34.65,83.97,55.39,38.2
2003-06-12,1.27,35.2,83.95,55.03,38.2
2003-06-13,1.24,34.13,82.75,54.08,37.93
2003-06-16,1.3,35.84,84.5,55.25,38.31
2003-06-17,1.3,35.83,84.3,55.06,37.67
2003-06-18,1.37,35.85,84.7,55.24,37.34
2003-06-19,1.37,35.5,84.55,54.49,36.88
2003-06-20,1.37,35.04,84.92,54.26,36.89
2003-06-23,1.36,35.58,83.18,53.74,36.94
2003-06-24,1.34,35.4,83.63,54.68,36.9
2003-06-25,1.36,35.39,82.49,54.18,36.66
2003-06-26,1.38,36.72,84.35,54.39,36.7
2003-06-27,1.34,36.3,83.42,53.8,36.37
2003-06-30,1.36,36.32,82.5,53.67,35.91
2003-07-01,1.36,37.25,83.59,54.35,36.18
2003-07-02,1.38,37.85,84.74,55.73,36.28
2003-07-03,1.37,37.68,83.95,54.96,36.06
2003-07-07,1.42,39.05,86.09,56.55,36.05
2003-07-08,1.46,40.51,86.25,56.7,35.65
2003-07-09,1.42,40.5,85.47,55.76,35.86
2003-07-10,1.4,38.25,84.03,55.63,35.5
2003-07-11,1.42,37.65,84.89,56.53,35.6
2003-07-14,1.42,39.27,85.42,56.65,35.3
2003-07-15,1.4,38.43,86.44,57.32,35.19
2003-07-16,1.42,37.68,86.74,56.65,34.92
2003-07-17,1.49,36.32,83.33,55.8,35.2
2003-07-18,1.49,34.98,83.72,57.0,35.88
2003-07-21,1.47,35.33,82.5,55.96,35.38
2003-07-22,1.49,34.87,81.85,56.9,35.72
2003-07-23,1.48,40.11,82.3,56.5,35.67
2003-07-24,1.46,41.31,81.51,55.63,35.25
2003-07-25,1.54,41.6,83.55,56.19,35.76
2003-07-28,1.5,42.08,82.54,56.16,35.75
2003-07-29,1.48,41.39,81.8,55.49,35.43
