Gender,weight_kg,stature_m,body_height
Male,72.7,1.6569999999999998,65.24
Male,79.7,1.7009999999999998,66.97
Male,74.4,1.786,70.31
Male,96.8,1.755,69.09
Female,65.7,1.56,61.42
Female,53.4,1.665,65.55
Female,66.3,1.711,67.36
Female,78.2,1.66,65.35
Female,88.6,1.5719999999999998,61.89
Female,83.7,1.707,67.2
Female,73.2,1.644,64.72
Female,76.0,1.671,65.79
Female,54.5,1.521,59.88
Female,68.4,1.59,62.6
Female,99.0,1.707,67.2
Female,74.2,1.668,65.67
Female,78.1,1.654,65.12
Female,71.8,1.666,65.59
Female,70.9,1.599,62.95
Female,67.2,1.673,65.87
Female,62.0,1.6469999999999998,64.84
Female,59.5,1.6780000000000002,66.06
Female,74.1,1.679,66.1
Female,60.5,1.615,63.58
Female,80.0,1.517,59.72
Female,74.7,1.6740000000000002,65.91
Female,49.1,1.6230000000000002,63.9
Female,70.3,1.668,65.67
Female,71.5,1.644,64.72
Female,70.8,1.579,62.17
Female,48.8,1.446,56.93
Female,69.1,1.62,63.78
Female,73.0,1.6840000000000002,66.3
Female,61.0,1.619,63.74
Female,65.8,1.592,62.68
Female,70.9,1.655,65.16
Female,72.8,1.723,67.83
Female,84.6,1.6769999999999998,66.02
Female,94.5,1.654,65.12
Female,62.7,1.634,64.33
Female,57.8,1.683,66.26
Female,52.4,1.5519999999999998,61.1
Female,73.2,1.617,63.66
Female,79.1,1.588,62.52
Female,89.4,1.641,64.61
Female,68.9,1.685,66.34
Female,75.8,1.656,65.2
Female,73.1,1.6030000000000002,63.11
Female,74.8,1.608,63.31
Female,80.6,1.664,65.51
Female,71.4,1.619,63.74
Female,71.2,1.62,63.78
Female,65.7,1.72,67.72
Female,47.7,1.582,62.28
Female,69.6,1.72,67.72
Female,119.6,1.72,67.72
Female,88.7,1.7009999999999998,66.97
Female,75.4,1.6269999999999998,64.06
Female,67.8,1.536,60.47
Female,60.7,1.546,60.87
Female,57.2,1.654,65.12
Female,68.9,1.605,63.19
Female,71.2,1.63,64.17
Female,60.4,1.612,63.46
Female,69.7,1.757,69.17
Female,85.4,1.67,65.75
Female,61.7,1.632,64.25
Female,79.0,1.635,64.37
Female,67.2,1.682,66.22
Female,69.5,1.661,65.39
Female,66.9,1.596,62.83
Female,57.4,1.596,62.83
Female,81.5,1.665,65.55
Female,61.8,1.617,63.66
Female,64.5,1.555,61.22
Female,55.7,1.578,62.13
Female,61.4,1.581,62.24
Female,66.8,1.6980000000000002,66.85
Female,73.0,1.554,61.18
Female,73.7,1.756,69.13
Female,69.3,1.5659999999999998,61.65
Female,75.7,1.651,65.0
Female,74.0,1.585,62.4
Female,68.2,1.6569999999999998,65.24
Female,86.7,1.719,67.68
Female,88.2,1.822,71.73
Female,78.6,1.649,64.92
Female,62.2,1.6869999999999998,66.42
Female,78.2,1.6980000000000002,66.85
Female,60.8,1.53,60.24
Female,67.4,1.581,62.24
Female,68.6,1.609,63.35
Female,67.0,1.644,64.72
Female,63.5,1.548,60.94
Female,77.3,1.606,63.23
Female,55.5,1.642,64.65
Female,72.7,1.622,63.86
Female,59.3,1.669,65.71
Female,99.8,1.745,68.7
Female,58.1,1.495,58.86
Female,64.2,1.493,58.78
Female,75.8,1.641,64.61
Female,68.3,1.607,63.27
Female,47.1,1.56,61.42
