SurveyDate,FormalEducation,ConvertedSalary,Hobby,Country,StackOverflowJobsRecommend,VersionControl,Age,Years Experience,Gender,RawSalary
6/10/18 21:11,Master's degree (MA. MS. M.Eng.. MBA. etc.),6576.0,Yes,France,,Git,52,4,Male,"6,576.00"
3/3/18 4:50,Master's degree (MA. MS. M.Eng.. MBA. etc.),115000.0,Yes,USA,9.0,Git,60,12,Male,"$115,000.00"
5/18/18 21:19,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Spain,10.0,Git,71,6,Male,
3/30/18 0:36,Associate degree,90000.0,Yes,UK,,Git,34,7,,"£90,000.00"
9/15/18 18:34,Bachelor's degree (BA. BS. B.Eng.. etc.),115000.0,Yes,France,6.0,Git,22,7,Male,"115,000.00"
3/1/18 0:29,Some college/university study without earning a degree,73428.0,No,USA,,Git,43,0,,"$73,428.00"
10/3/18 10:25,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,India,,Git;Subversion,18,4,Male,
4/9/18 13:54,Bachelor's degree (BA. BS. B.Eng.. etc.),13212.0,Yes,Ukraine,5.0,Git,35,6,Female,"13,212.00"
6/1/18 19:47,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Sweeden,,Git,30,15,Male,
1/14/18 8:48,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Russia,,Git;Copying and pasting files to network shares,21,12,Male,
5/13/18 13:35,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,UK,,Copying and pasting files to network shares,46,5,Male,
2/8/18 7:22,Master's degree (MA. MS. M.Eng.. MBA. etc.),120000.0,Yes,South Africa,5.0,Git;Subversion;Zip file back-ups,21,4,Male,"120,000.00"
9/27/18 13:41,Bachelor's degree (BA. BS. B.Eng.. etc.),48955.0,Yes,UK,8.0,Git;Subversion,31,8,Male,"£48,955.00"
2/18/18 19:03,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,,Git;Copying and pasting files to network shares,52,1,Male,
2/24/18 12:51,Bachelor's degree (BA. BS. B.Eng.. etc.),19500.0,Yes,UK,,Git;Team Foundation Version Control,29,17,Male;Non-binary. genderqueer. or gender non-conforming,"£19,500.00"
8/26/18 4:07,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,USA,10.0,Git,22,14,,
1/15/18 0:52,Master's degree (MA. MS. M.Eng.. MBA. etc.),85708.0,Yes,Spain,,Git,60,4,Male,"85,708.00"
7/6/18 15:17,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,France,,Copying and pasting files to network shares;Zip file back-ups,28,12,,
2/3/18 15:37,Bachelor's degree (BA. BS. B.Eng.. etc.),36000.0,Yes,UK,,Git;Subversion,47,7,Male,"£36,000.00"
9/14/18 18:33,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git;Subversion;Zip file back-ups,28,10,,
7/24/18 8:20,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,France,,Git,62,16,Male,
4/9/18 17:04,Master's degree (MA. MS. M.Eng.. MBA. etc.),64116.0,No,Spain,10.0,Git;Subversion,18,7,,"64,116.00"
4/18/18 10:01,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Russia,,Git,48,3,Male,
10/24/18 1:55,Bachelor's degree (BA. BS. B.Eng.. etc.),45144.0,Yes,Ireland,5.0,Git;Subversion;Team Foundation Version Control;Copying and pasting files to network shares;Zip file back-ups,19,6,Male,"45,144.00"
2/19/18 0:12,Bachelor's degree (BA. BS. B.Eng.. etc.),32412.0,Yes,France,7.0,Git,18,14,,"32,412.00"
1/23/18 6:05,Master's degree (MA. MS. M.Eng.. MBA. etc.),52627.0,Yes,UK,1.0,Git,18,6,Male,"£52,627.00"
6/21/18 16:18,Master's degree (MA. MS. M.Eng.. MBA. etc.),82648.0,Yes,Spain,10.0,Git;Team Foundation Version Control,18,22,Male,"82,648.00"
7/9/18 17:43,Some college/university study without earning a degree,,Yes,USA,,Git;Team Foundation Version Control,18,11,Male,
2/24/18 16:20,Bachelor's degree (BA. BS. B.Eng.. etc.),78000.0,Yes,India,,Git,44,9,Male,"78,000.00"
7/11/18 16:18,Some college/university study without earning a degree,120000.0,Yes,India,,Git,19,13,Male,"120,000.00"
6/27/18 19:40,Master's degree (MA. MS. M.Eng.. MBA. etc.),30000.0,No,USA,2.0,Git,32,5,Male,"$30,000.00"
6/12/18 23:47,Master's degree (MA. MS. M.Eng.. MBA. etc.),26436.0,Yes,USA,,Git,53,11,,"$26,436.00"
2/22/18 6:03,Master's degree (MA. MS. M.Eng.. MBA. etc.),34440.0,Yes,France,10.0,Git,36,2,,"34,440.00"
4/7/18 13:38,Bachelor's degree (BA. BS. B.Eng.. etc.),4128.0,Yes,South Africa,,Git,27,10,,"4,128.00"
1/16/18 13:45,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Russia,,Subversion,46,18,Male,
1/30/18 11:37,Primary/elementary school,,Yes,Russia,,Zip file back-ups,49,10,Male,
3/17/18 17:02,Bachelor's degree (BA. BS. B.Eng.. etc.),141625.0,Yes,South Africa,,Git,25,12,,"141,625.00"
5/23/18 9:18,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,USA,,Copying and pasting files to network shares,44,4,Male,
8/11/18 13:43,Master's degree (MA. MS. M.Eng.. MBA. etc.),71095.0,Yes,Ireland,,Git,30,0,Male,"71,095.00"
3/27/18 7:41,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,South Africa,,Git,45,12,,
6/7/18 3:23,Some college/university study without earning a degree,35244.0,No,Spain,,Git,44,5,,"35,244.00"
4/20/18 16:09,Master's degree (MA. MS. M.Eng.. MBA. etc.),4696.0,No,South Africa,,Zip file back-ups,34,7,Male,"4,696.00"
9/29/18 3:34,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git;Team Foundation Version Control,25,6,,
4/10/18 18:58,Bachelor's degree (BA. BS. B.Eng.. etc.),120000.0,Yes,Russia,10.0,Git,52,3,Male,"120,000.00"
7/26/18 14:02,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Russia,,Copying and pasting files to network shares;Zip file back-ups,22,2,Male,
9/24/18 14:14,Some college/university study without earning a degree,69452.0,Yes,UK,8.0,Git,46,11,Male,"£69,452.00"
3/12/18 10:45,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),63896.0,Yes,Ukraine,,Git,24,11,Male,"63,896.00"
8/3/18 16:04,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,France,0.0,Git;Mercurial,25,14,Male,
3/15/18 20:00,Bachelor's degree (BA. BS. B.Eng.. etc.),63628.0,Yes,Ukraine,8.0,Git,38,5,Male,"63,628.00"
9/27/18 5:22,Bachelor's degree (BA. BS. B.Eng.. etc.),110000.0,Yes,France,10.0,Git,50,1,Male,"110,000.00"
7/6/18 23:57,Master's degree (MA. MS. M.Eng.. MBA. etc.),,No,South Africa,,Team Foundation Version Control;Copying and pasting files to network shares,46,3,,
2/19/18 2:40,Master's degree (MA. MS. M.Eng.. MBA. etc.),,No,Russia,,Git,51,18,Male,
6/23/18 16:59,Bachelor's degree (BA. BS. B.Eng.. etc.),28680.0,Yes,Spain,,Git,46,7,,"28,680.00"
6/6/18 0:59,Master's degree (MA. MS. M.Eng.. MBA. etc.),9768.0,Yes,Sweeden,,Git;Subversion,30,15,,"9,768.00"
1/15/18 3:37,Master's degree (MA. MS. M.Eng.. MBA. etc.),21418.0,Yes,Sweeden,,Git,40,8,,"21,418.00"
7/12/18 8:01,Some college/university study without earning a degree,916764.0,Yes,France,2.0,Git,51,8,Male,"916,764.00"
5/5/18 20:24,Bachelor's degree (BA. BS. B.Eng.. etc.),30597.0,Yes,South Africa,0.0,Git,19,3,Male,"30,597.00"
2/14/18 15:10,Bachelor's degree (BA. BS. B.Eng.. etc.),59980.0,No,India,,Git,29,13,,"59,980.00"
10/11/18 17:09,Bachelor's degree (BA. BS. B.Eng.. etc.),228888.0,No,Russia,10.0,Git,33,6,Male,"228,888.00"
2/23/18 0:33,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,France,,Git,21,11,,
4/29/18 12:10,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Spain,,Git,44,10,Male,
2/12/18 23:20,Master's degree (MA. MS. M.Eng.. MBA. etc.),42348.0,Yes,USA,,Git,41,8,Male,"$42,348.00"
9/22/18 15:17,Master's degree (MA. MS. M.Eng.. MBA. etc.),48955.0,Yes,India,,Git;Subversion,20,11,Male,"48,955.00"
6/20/18 23:19,Bachelor's degree (BA. BS. B.Eng.. etc.),37572.0,Yes,UK,7.0,Git,43,9,,"£37,572.00"
9/15/18 0:46,Some college/university study without earning a degree,34726.0,Yes,France,7.0,Git,35,1,Male,"34,726.00"
9/24/18 19:09,Master's degree (MA. MS. M.Eng.. MBA. etc.),55392.0,Yes,USA,10.0,Git,25,18,Male,"$55,392.00"
7/29/18 18:35,Bachelor's degree (BA. BS. B.Eng.. etc.),27708.0,Yes,Sweeden,9.0,Git;Subversion,44,10,Male,"27,708.00"
7/12/18 11:55,Bachelor's degree (BA. BS. B.Eng.. etc.),70000.0,Yes,France,,I don't use version control,36,12,,"70,000.00"
6/3/18 14:53,Master's degree (MA. MS. M.Eng.. MBA. etc.),59172.0,Yes,Spain,,Git;Subversion,38,12,Male,"59,172.00"
9/29/18 13:45,Master's degree (MA. MS. M.Eng.. MBA. etc.),59980.0,Yes,South Africa,5.0,Git,36,9,,"59,980.00"
5/31/18 13:02,Bachelor's degree (BA. BS. B.Eng.. etc.),91969.0,Yes,Spain,7.0,Git;Mercurial,25,14,Male,"91,969.00"
3/6/18 1:22,Master's degree (MA. MS. M.Eng.. MBA. etc.),9984.0,Yes,USA,10.0,Git;Team Foundation Version Control,24,6,Male,"$9,984.00"
1/10/18 0:46,Bachelor's degree (BA. BS. B.Eng.. etc.),55075.0,Yes,South Africa,7.0,Git,60,12,,"55,075.00"
8/14/18 11:59,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,USA,3.0,Git,41,8,,
3/13/18 13:14,Some college/university study without earning a degree,87971.0,Yes,Spain,,Copying and pasting files to network shares,51,12,,"87,971.00"
2/1/18 0:50,Master's degree (MA. MS. M.Eng.. MBA. etc.),7512.0,Yes,UK,10.0,Git,48,14,Male,"£7,512.00"
8/15/18 9:44,Bachelor's degree (BA. BS. B.Eng.. etc.),105000.0,No,Spain,8.0,Git,18,10,Male,"105,000.00"
6/17/18 10:34,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Spain,,Team Foundation Version Control,41,13,Male,
8/16/18 16:26,Bachelor's degree (BA. BS. B.Eng.. etc.),,No,UK,,Git,24,9,Male,
8/10/18 17:53,Associate degree,105000.0,Yes,USA,,Git,33,6,Male,"$105,000.00"
9/11/18 15:40,Some college/university study without earning a degree,,Yes,USA,,Git,26,11,,
9/16/18 3:24,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Ukraine,,Subversion,32,7,Male,
8/9/18 5:06,Bachelor's degree (BA. BS. B.Eng.. etc.),36000.0,Yes,Russia,8.0,Git;Team Foundation Version Control,21,12,Male,"36,000.00"
2/15/18 4:19,Bachelor's degree (BA. BS. B.Eng.. etc.),120000.0,Yes,Spain,,Git;Subversion,24,9,Male,"120,000.00"
4/19/18 1:36,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),61680.0,Yes,South Africa,8.0,Git,36,7,,"61,680.00"
7/26/18 20:14,Professional degree (JD. MD. etc.),42836.0,Yes,Ireland,5.0,Git,43,10,Male,"42,836.00"
7/26/18 11:08,Some college/university study without earning a degree,29532.0,Yes,South Africa,5.0,Git,46,0,,"29,532.00"
8/29/18 15:58,Master's degree (MA. MS. M.Eng.. MBA. etc.),64866.0,No,Sweeden,7.0,Team Foundation Version Control,60,9,,"64,866.00"
8/6/18 12:09,Associate degree,77000.0,Yes,South Africa,8.0,Git,58,6,Male,"77,000.00"
5/19/18 0:12,Master's degree (MA. MS. M.Eng.. MBA. etc.),36000.0,Yes,UK,,Git;Subversion;Team Foundation Version Control,39,12,Male,"£36,000.00"
6/9/18 20:20,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Russia,,Git,24,0,Male,
9/14/18 5:46,Some college/university study without earning a degree,97000.0,Yes,France,4.0,Git;Team Foundation Version Control,39,13,Male,"97,000.00"
10/16/18 15:07,Some college/university study without earning a degree,,No,India,,Git;Subversion,32,7,Male,
9/23/18 19:08,Bachelor's degree (BA. BS. B.Eng.. etc.),45838.0,Yes,USA,,Git;Subversion;Team Foundation Version Control,31,10,Male,"$45,838.00"
3/18/18 4:28,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),59880.0,Yes,Spain,9.0,Git;Subversion,43,5,Male,"59,880.00"
10/12/18 0:50,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),48955.0,No,UK,,Git,26,4,,"£48,955.00"
8/2/18 19:55,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),6732.0,Yes,India,,Git,54,16,Male,"6,732.00"
5/31/18 4:41,Master's degree (MA. MS. M.Eng.. MBA. etc.),125000.0,Yes,UK,,Git,32,13,Male,"£125,000.00"
7/30/18 2:56,Bachelor's degree (BA. BS. B.Eng.. etc.),72469.0,Yes,Spain,10.0,Git;Mercurial;Subversion,40,10,Male,"72,469.00"
1/4/18 14:22,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,India,7.0,Git;Subversion,29,7,,
9/3/18 18:07,Bachelor's degree (BA. BS. B.Eng.. etc.),11808.0,Yes,Sweeden,,Git,38,4,,"11,808.00"
1/4/18 8:26,Some college/university study without earning a degree,,Yes,UK,,Git;Team Foundation Version Control,39,11,Male,
3/21/18 20:41,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),39648.0,No,Sweeden,5.0,Git,34,11,,"39,648.00"
3/28/18 7:29,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git,20,5,,
5/25/18 14:20,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Spain,8.0,Subversion,18,5,Male,
10/22/18 19:56,Bachelor's degree (BA. BS. B.Eng.. etc.),62507.0,Yes,Sweeden,5.0,Git,63,7,Male,"62,507.00"
1/3/18 23:54,Some college/university study without earning a degree,29373.0,Yes,Spain,7.0,Git,51,4,Male,"29,373.00"
8/26/18 5:48,Bachelor's degree (BA. BS. B.Eng.. etc.),74482.0,No,South Africa,7.0,Subversion,45,9,Male,"74,482.00"
7/31/18 12:42,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,USA,,Git,27,8,Male,
4/10/18 17:11,Some college/university study without earning a degree,12960.0,Yes,UK,10.0,Git,34,14,Male,"£12,960.00"
7/24/18 23:12,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,South Africa,10.0,Git;Mercurial;Subversion,29,9,Male,
8/6/18 20:05,Bachelor's degree (BA. BS. B.Eng.. etc.),73433.0,Yes,South Africa,10.0,Git,32,12,Male,"73,433.00"
7/7/18 15:17,Bachelor's degree (BA. BS. B.Eng.. etc.),1080000.0,Yes,India,8.0,Git,24,12,Male,"1,080,000.00"
7/17/18 9:42,Bachelor's degree (BA. BS. B.Eng.. etc.),90288.0,Yes,India,1.0,Git,18,2,,"90,288.00"
3/16/18 20:51,Bachelor's degree (BA. BS. B.Eng.. etc.),122388.0,Yes,Russia,8.0,Git,34,15,Male,"122,388.00"
8/23/18 13:55,Some college/university study without earning a degree,37084.0,Yes,Sweeden,10.0,Subversion,44,10,Male,"37,084.00"
2/14/18 13:19,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),11748.0,Yes,USA,7.0,Git;Subversion,40,8,,"$11,748.00"
2/10/18 3:20,Associate degree,100000.0,No,India,,I don't use version control,28,8,,"100,000.00"
6/18/18 13:34,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,Spain,,Git;Subversion,35,16,Male,
1/17/18 4:57,Master's degree (MA. MS. M.Eng.. MBA. etc.),60000.0,Yes,Sweeden,10.0,Git,25,5,Male,"60,000.00"
9/22/18 12:42,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Spain,,Git;Team Foundation Version Control,33,8,Male,
6/8/18 22:51,Master's degree (MA. MS. M.Eng.. MBA. etc.),10440.0,Yes,USA,,Git;Team Foundation Version Control,19,6,,"$10,440.00"
8/13/18 23:02,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,India,,Git,34,0,Male,
6/19/18 18:26,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,,Git;Zip file back-ups,44,17,Male,
5/17/18 12:46,Master's degree (MA. MS. M.Eng.. MBA. etc.),46992.0,No,India,,Git,44,19,Male,"46,992.00"
2/26/18 4:05,Bachelor's degree (BA. BS. B.Eng.. etc.),61580.0,No,Sweeden,5.0,Git;Subversion;Team Foundation Version Control,23,1,Male,"61,580.00"
6/7/18 18:33,Bachelor's degree (BA. BS. B.Eng.. etc.),26612.0,Yes,UK,,Git,39,10,Male,"£26,612.00"
2/5/18 4:26,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,UK,10.0,Git;Subversion,21,17,Male,
5/22/18 13:48,Bachelor's degree (BA. BS. B.Eng.. etc.),18780.0,Yes,Spain,7.0,Git,20,11,,"18,780.00"
9/26/18 11:15,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,,Team Foundation Version Control,21,13,Male,
1/20/18 17:57,Some college/university study without earning a degree,23440.0,Yes,USA,,Git;Team Foundation Version Control;Copying and pasting files to network shares;Zip file back-ups,63,9,,"$23,440.00"
1/4/18 2:56,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),42836.0,Yes,UK,,Git,48,11,Male,"£42,836.00"
4/30/18 17:30,Master's degree (MA. MS. M.Eng.. MBA. etc.),3569.0,Yes,India,10.0,Git;Copying and pasting files to network shares,38,1,,"3,569.00"
4/21/18 6:43,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,South Africa,,Git;Mercurial;Copying and pasting files to network shares;Zip file back-ups,29,14,,
2/9/18 1:40,Bachelor's degree (BA. BS. B.Eng.. etc.),1140000.0,Yes,Sweeden,,Subversion,38,13,Male,"1,140,000.00"
3/6/18 18:22,Bachelor's degree (BA. BS. B.Eng.. etc.),1879.0,Yes,Spain,5.0,Git;Mercurial,60,14,Male,"1,879.00"
8/9/18 8:21,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,USA,,Git,37,15,Male,
5/8/18 13:59,Some college/university study without earning a degree,79552.0,Yes,USA,,Git,23,11,,"$79,552.00"
5/22/18 8:44,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Sweeden,6.0,Git,55,13,Male,
9/15/18 7:24,Bachelor's degree (BA. BS. B.Eng.. etc.),46963.0,No,Russia,,Git,44,18,,"46,963.00"
5/7/18 4:25,Master's degree (MA. MS. M.Eng.. MBA. etc.),8140.0,Yes,USA,10.0,Team Foundation Version Control,18,7,Male,"$8,140.00"
8/13/18 9:00,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,India,,Git;Subversion,21,7,,
3/5/18 19:11,Bachelor's degree (BA. BS. B.Eng.. etc.),81000.0,Yes,USA,8.0,Git,35,15,Male,"$81,000.00"
10/14/18 22:41,Other doctoral degree (Ph.D. Ed.D.. etc.),440592.0,Yes,USA,7.0,Git;Team Foundation Version Control,26,15,Male,"$440,592.00"
6/6/18 13:00,Associate degree,20244.0,Yes,France,,Git,30,11,Male,"20,244.00"
9/21/18 4:14,Some college/university study without earning a degree,,Yes,France,10.0,Git;Copying and pasting files to network shares;Zip file back-ups,35,10,,
7/24/18 10:00,Master's degree (MA. MS. M.Eng.. MBA. etc.),33528.0,Yes,South Africa,2.0,Git;Subversion,36,15,Male,"33,528.00"
2/13/18 23:20,Bachelor's degree (BA. BS. B.Eng.. etc.),65000.0,Yes,USA,,Git;Copying and pasting files to network shares,32,14,Male,"$65,000.00"
4/14/18 14:04,Bachelor's degree (BA. BS. B.Eng.. etc.),21708.0,Yes,USA,8.0,Git,63,7,,"$21,708.00"
9/8/18 17:23,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),58746.0,Yes,Spain,8.0,Git,35,18,Male,"58,746.00"
4/30/18 3:12,Bachelor's degree (BA. BS. B.Eng.. etc.),52783.0,No,India,,Git,18,11,,"52,783.00"
6/4/18 1:14,Master's degree (MA. MS. M.Eng.. MBA. etc.),32316.0,No,USA,0.0,Git,39,13,Male,"$32,316.00"
8/8/18 22:33,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),,Yes,Spain,,Git,33,5,Male,
10/23/18 19:01,Bachelor's degree (BA. BS. B.Eng.. etc.),,Yes,Spain,,Git,34,5,Male,
4/26/18 0:21,Some college/university study without earning a degree,8496.0,No,UK,,Git,29,5,,"£8,496.00"
9/14/18 11:12,Master's degree (MA. MS. M.Eng.. MBA. etc.),45895.0,Yes,USA,10.0,Git;Subversion,18,11,Male,"$45,895.00"
4/2/18 3:49,Some college/university study without earning a degree,9552.0,Yes,India,,Subversion,18,17,Female,"9,552.00"
9/13/18 20:48,Bachelor's degree (BA. BS. B.Eng.. etc.),4512.0,Yes,France,,Git,31,6,,"4,512.00"
2/8/18 10:18,Bachelor's degree (BA. BS. B.Eng.. etc.),38510.0,Yes,UK,6.0,Git,34,10,Male,"£38,510.00"
6/5/18 12:15,Bachelor's degree (BA. BS. B.Eng.. etc.),105000.0,Yes,France,5.0,Git,42,23,Male,"105,000.00"
5/22/18 19:31,Bachelor's degree (BA. BS. B.Eng.. etc.),47227.0,Yes,USA,5.0,Git;Mercurial,59,3,Male,"$47,227.00"
1/5/18 19:09,Associate degree,20808.0,Yes,UK,6.0,Git,45,0,,"£20,808.00"
1/9/18 7:01,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Spain,,I don't use version control,83,14,Male,
4/6/18 23:31,Master's degree (MA. MS. M.Eng.. MBA. etc.),100000.0,No,Sweeden,,Team Foundation Version Control,26,11,Male,"100,000.00"
2/22/18 9:18,Some college/university study without earning a degree,,Yes,Russia,4.0,Git,45,3,Male,
8/26/18 19:43,Master's degree (MA. MS. M.Eng.. MBA. etc.),33972.0,No,USA,8.0,Git,36,8,Male,"$33,972.00"
2/23/18 5:57,Master's degree (MA. MS. M.Eng.. MBA. etc.),,Yes,Russia,10.0,Git;Subversion,24,7,Male,
3/24/18 0:36,Some college/university study without earning a degree,2000000.0,Yes,Russia,10.0,Git,31,15,Male,"2,000,000.00"
7/17/18 9:04,Bachelor's degree (BA. BS. B.Eng.. etc.),74856.0,Yes,France,10.0,Git,73,13,Male,"74,856.00"
1/14/18 19:13,Master's degree (MA. MS. M.Eng.. MBA. etc.),44060.0,Yes,France,6.0,Git,21,9,Male,"44,060.00"
7/24/18 11:40,Master's degree (MA. MS. M.Eng.. MBA. etc.),140000.0,Yes,USA,,Git,48,13,,"$140,000.00"
