School ID,School Name,Street Address,City,State,ZIP Code,Phone Number,School State ID,School Level,Lowest Grade,Highest Grade,Latitude,Longitude,School Website,Cluster,Mapped Location
252,Dodson Elementary,4401 Chandler Rd.,Hermitage,TN,37076,(615)885-8806,165,Elementary School,Grade P4,Grade 4,36.19090848,-86.60331793,http://schools.mnps.org/dodson-elementary-school,McGavock,"(36.19090848, -86.60331793)"
260,Donelson Middle,110 Stewarts Ferry Pike,Nashville,TN,37214,(615)884-4080,175,Middle School,Grade 5,Grade 8,36.16672257,-86.65633623,http://schools.mnps.org/donelson-middle-prep,McGavock,"(36.16672257, -86.65633623)"
265,Dupont Elementary,1311 Ninth St.,Old Hickory,TN,37138,(615)847-7305,180,Elementary School,Grade P4,Grade 4,36.2613821,-86.65262579,http://schools.mnps.org/dupont-elementary-school,McGavock,"(36.2613821, -86.65262579)"
270,Dupont-Hadley Middle,1901 Old Hickory Blvd.,Old Hickory,TN,37138,(615)847-7300,190,Middle School,Grade 5,Grade 8,36.24977849,-86.64278911,http://schools.mnps.org/dupont-hadley-middle-prep,McGavock,"(36.24977849, -86.64278911)"
275,Dupont-Tyler Middle,431 Tyler Dr.,Hermitage,TN,37076,(615)885-8827,185,Middle School,Grade 5,Grade 8,36.19962251,-86.61259576,http://schools.mnps.org/dupont-tyler-middle-prep,McGavock,"(36.19962251, -86.61259576)"
280,Eakin Elementary,2500 Fairfax Avenue,Nashville,TN,37212,(615)298-8076,195,Elementary School,Grade P3,Grade 4,36.13514319,-86.80760668,http://schools.mnps.org/eakin-elementary-school,Hillsboro,"(36.13514319, -86.80760668)"
286,East End Preparatory School,1460 McGavock Pike,Nashville,TN,37216,(615)630-7470,8009,Charter,Grade K,Grade 5,36.20699504,-86.71827177,http://www.eastendprep.org/,,"(36.20699504, -86.71827177)"
296,East Nashville Middle,2000 Greenwood Ave,Nashville,TN,37206,(615)262-6670,296,Middle School,Grade 5,Grade 8,36.18886165,-86.73324272,http://schools.mnps.org/east-nashville-magnet-middle-prep,,"(36.18886165, -86.73324272)"
290,East Nashville School,110 Gallatin Road,Nashville,TN,37206,(615)262-6947,203,High School,Grade 9,Grade 12,36.18062644,-86.75047137,http://schools.mnps.org/east-nashville-magnet-high-school,,"(36.18062644, -86.75047137)"
305,Explore Community School,217 South 10th Street,Nashville,TN,37206,(615)784-8222,8060,Charter,Grade K,Grade 2,36.17436415,-86.75164889,http://www.explorecommunityschool.com/,,"(36.17436415, -86.75164889)"
308,Fall-Hamilton Elementary,510 Wedgewood Ave,Nashville,TN,37203,(615)291-6380,220,Elementary School,Grade P3,Grade 4,36.13347184,-86.76620628,http://schools.mnps.org/fallhamilton-enhanced-option-school,Glencliff,"(36.13347184, -86.76620628)"
315,Gateway Elementary,1524 Monticello Avenue,Madison,TN,37115,(615)860-1465,235,Elementary School,Grade K,Grade 4,36.29220888,-86.71066018,http://schools.mnps.org/gateway-elementary-school,Hunters Lane,"(36.29220888, -86.71066018)"
320,Glencliff Elementary,120 Antioch Pike,Nashville,TN,37211,(615)333-5105,240,Elementary School,Grade K,Grade 4,36.10162585,-86.72309983,http://schools.mnps.org/glencliff-elementary-school,Glencliff,"(36.10162585, -86.72309983)"
325,Glencliff High School,160 Antioch Pike,Nashville,TN,37211,(615)333-5070,245,High School,Grade 9,Grade 12,36.10140068,-86.72746929,http://schools.mnps.org/glencliff-high-school,Glencliff,"(36.10140068, -86.72746929)"
330,Glendale Elementary,800 Thompson Ave,Nashville,TN,37204,(615)279-7970,250,Elementary School,Grade P3,Grade 4,36.09593592,-86.78390656,http://schools.mnps.org/glendale-elementary-school,,"(36.09593592, -86.78390656)"
335,Glengarry Elementary,200 Finley Dr.,Nashville,TN,37217,(615)360-2900,255,Elementary School,Grade P3,Grade 4,36.11038989,-86.70642502,http://schools.mnps.org/glengarry-elementary-school,Glencliff,"(36.11038989, -86.70642502)"
340,Glenn Elementary,322 Cleveland Street,Nashville,TN,37207,(615)262-6682,260,Elementary School,Grade P3,Grade 4,36.18669242,-86.7663288,http://schools.mnps.org/glenn-enhanced-option-elementary-school,Maplewood,"(36.18669242, -86.7663288)"
345,Glenview Elementary,1020 Patricia Dr.,Nashville,TN,37217,(615)360-2906,265,Elementary School,Grade P3,Grade 4,36.12757047,-86.70636796,http://schools.mnps.org/glenview-elementary-school,Glencliff,"(36.12757047, -86.70636796)"
350,Goodlettsville Elementary,514 Donald Ave.,Goodlettsville,TN,37072,(615)859-8950,270,Elementary School,Grade P4,Grade 4,36.31293934,-86.71048708,http://schools.mnps.org/goodlettsville-elementary-school,Hunters Lane,"(36.31293934, -86.71048708)"
355,Goodlettsville Middle,300 South Main Street,Goodlettsville,TN,37072,(615)859-8956,275,Middle School,Grade 5,Grade 8,36.31815052,-86.71246409,http://schools.mnps.org/goodlettsville-middle-prep,Hunters Lane,"(36.31815052, -86.71246409)"
360,Gower Elementary,650 Old Hickory Blvd.,Nashville,TN,37209,(615)353-2012,280,Elementary School,Grade P3,Grade 4,36.11534205,-86.92228685,http://schools.mnps.org/gower-elementary-school,Hillwood,"(36.11534205, -86.92228685)"
365,Gra-Mar Middle,575 Joyce lane,Nashville,TN,37216,(615)262-6685,285,Middle School,Grade 5,Grade 8,36.2328428,-86.74516052,http://schools.mnps.org/gramar-middle-prep,Maplewood,"(36.2328428, -86.74516052)"
370,Granbery Elementary,5501 Hill Road,Brentwood,TN,37027,(615)333-5112,290,Elementary School,Grade K,Grade 4,36.0467903,-86.753046,http://schools.mnps.org/granbery-elementary-school,John Overton,"(36.0467903, -86.753046)"
434,H.G. Hill Middle School,150 Davidson Road,Nashville,TN,37205,(615)353-2020,295,Middle School,Grade 5,Grade 8,36.11637568,-86.86673001,http://schools.mnps.org/hg-hill-middle-prep,Hillwood,"(36.11637568, -86.86673001)"
395,Harpeth Valley Elementary,7840 Learning Lane,Nashville,TN,37221,(615)662-3015,300,Elementary School,Grade P3,Grade 4,36.04552596,-86.95804996,http://schools.mnps.org/harpeth-valley-elementary-school,Hillwood,"(36.04552596, -86.95804996)"
397,Harris-Hillman Special Education,1706 26th Avenue South,Nashville,TN,37212,(615)298-8085,302,Special Education,Grade P3,Grade 12,36.13759485,-86.80760421,http://schools.mnps.org/harrishillman-school,,"(36.13759485, -86.80760421)"
230,Hattie Cotton Elementary,1033 West Greenwood Avenue,Nashville,TN,37206,(615)262-6981,140,Elementary School,Grade P4,Grade 4,36.19107041,-86.74772151,http://schools.mnps.org/hattie-cotton-stem-magnet-elementary-school,Maplewood,"(36.19107041, -86.74772151)"
400,Haynes Middle,510 West Trinity Lane,Nashville,TN,37207,(615)262-6688,305,Middle School,Grade 5,Grade 8,36.20764018,-86.78911404,http://schools.mnps.org/haynes-middle-healthmedical-science-design-center,,"(36.20764018, -86.78911404)"
405,Haywood Elementary,3790 Turley Drive,Nashville,TN,37211,(615)333-5118,310,Elementary School,Grade P3,Grade 4,36.07416907,-86.70806917,http://schools.mnps.org/haywood-elementary-school,John Overton,"(36.07416907, -86.70806917)"
410,Head Middle,1830 Jo Johnston Ave,Nashville,TN,37203,(615)329-8160,315,Middle School,Grade 5,Grade 8,36.15860499,-86.80440551,http://schools.mnps.org/head-middle-magnet-prep,,"(36.15860499, -86.80440551)"
552,Henry C Maxwell Elementary,5535 Blue Hole Road,Antioch,TN,37013,(615)333-7180,318,Elementary School,Grade K,Grade 4,36.03083402,-86.67395212,http://schools.mnps.org/henry-c-maxwell-elementary-school,Cane Ridge,"(36.03083402, -86.67395212)"
415,Hermitage Elementary,3800 Plantation Dr.,Hermitage,TN,37076,(615)885-8838,320,Elementary School,Grade P4,Grade 4,36.19799021,-86.63537014,http://schools.mnps.org/hermitage-elementary-school,McGavock,"(36.19799021, -86.63537014)"
420,Hickman Elementary,112 Stewarts Ferry Pk,Nashville,TN,37214,(615)884-4020,327,Elementary School,Grade P4,Grade 4,36.16497987,-86.65747884,http://schools.mnps.org/hickman-elementary-school,McGavock,"(36.16497987, -86.65747884)"
435,Hillsboro High,3812 Hillsboro Road,Nashville,TN,37215,(615)298-8400,335,High School,Grade 9,Grade 12,36.10706561,-86.81222916,http://schools.mnps.org/hillsboro-high-school,Hillsboro,"(36.10706561, -86.81222916)"
440,Hillwood High,400 Davidson Road,Nashville,TN,37205,(615)353-2025,340,High School,Grade 9,Grade 12,36.11880669,-86.8739002,http://schools.mnps.org/hillwood-high-school,Hillwood,"(36.11880669, -86.8739002)"
451,Hull-Jackson Elementary,1015 Kellow St,Nashville,TN,37208,(615)291-6601,350,Elementary School,Grade P3,Grade 4,36.19031869,-86.80717823,http://schools.mnps.org/hull-jackson-montessori-school,,"(36.19031869, -86.80717823)"
450,Hume-Fogg High,700 Broadway,Nashville,TN,37203,(615)291-6300,355,High School,Grade 9,Grade 12,36.15952461,-86.78153602,http://schools.mnps.org/humefogg-academic-magnet-high-school,,"(36.15952461, -86.78153602)"
452,Hunters Lane High,1150 Hunters Lane,Nashville,TN,37207,(615)860-1401,358,High School,Grade 9,Grade 12,36.27882755,-86.7538435,http://schools.mnps.org/hunters-lane-high-school,Hunters Lane,"(36.27882755, -86.7538435)"
455,Inglewood Elementary,1700 Riverside Drive,Nashville,TN,37216,(615)262-6697,360,Elementary School,Grade P4,Grade 4,36.19783128,-86.72384064,http://schools.mnps.org/inglewood-elementary-school,Stratford,"(36.19783128, -86.72384064)"
457,Intrepid College Prep Charter,5234 Bell Forge Lane East,Antioch,TN,37013,(615)810-8443,8048,Charter,Grade 5,Grade 9,36.0501591,-86.64572008,http://intrepidcollegeprep.org/,,"(36.0501591, -86.64572008)"
510,Isaac Litton Middle,4601 Hedgewood Drive,Nashville,TN,37216,(615)262-6700,365,Middle School,Grade 5,Grade 8,36.22821545,-86.72215874,http://schools.mnps.org/isaac-litton-middle-prep,Stratford,"(36.22821545, -86.72215874)"
152,Ivanetta H. Davis Learning Center at Bordeaux,1910 South Hamilton Road,Nashville,TN,37218,(615)291-6355,7010,Elementary School,Grade P3,Grade P4,36.19158751,-86.83263571,http://schools.mnps.org/ivanetta-h-davis-early-learning-center,,"(36.19158751, -86.83263571)"
310,J.E. Moss Elementary,4701 Bowfield Drive,Antioch,TN,37013,(615)333-5200,370,Elementary School,Grade P3,Grade 4,36.06735338,-86.66974658,http://schools.mnps.org/je-moss-elementary-school,Antioch,"(36.06735338, -86.66974658)"
120,Jere Baxter Middle,350 Hart Lane,Nashville,TN,37207,(615)262-6710,375,Middle School,Grade 5,Grade 8,36.21902803,-86.75088304,http://schools.mnps.org/jere-baxter-middle-prep,Maplewood,"(36.21902803, -86.75088304)"
465,Joelton Elementary,7141  Whites Creek Pk,Joelton,TN,37080,(615)876-5110,380,Elementary School,Grade P4,Grade 4,36.31567955,-86.86803981,http://schools.mnps.org/joelton-elementary-school,Whites Creek,"(36.31567955, -86.86803981)"
470,Joelton Middle,3500 Old Clarksville Pk.,Joelton,TN,37080,(615)876-5100,385,Middle School,Grade 5,Grade 8,36.31384607,-86.86577624,http://schools.mnps.org/joelton-middle-prep,Whites Creek,"(36.31384607, -86.86577624)"
790,John B. Whitsitt Elementary,110 Whitsett Rd,Nashville,TN,37210,(615)333-5600,390,Elementary School,Grade P3,Grade 4,36.11504485,-86.73568455,http://schools.mnps.org/whitsitt-elementary-school,Glencliff,"(36.11504485, -86.73568455)"
285,John Early Middle,1000 Cass Street,Nashville,TN,37208,(615)291-6369,386,Middle School,Grade 5,Grade 8,36.18715342,-86.80471307,http://schools.mnps.org/john-early-museum-magnet-middle-prep,Pearl-Cohn,"(36.18715342, -86.80471307)"
498,John F. Kennedy Middle,2087 Hobson Pike,Antioch,TN,37013,(615)501-7900,393,Middle School,Grade 5,Grade 8,36.05546679,-86.6006047,http://schools.mnps.org/john-f-kennedy-middle-prep,Antioch,"(36.05546679, -86.6006047)"
615,John Overton High,4820 Franklin Road,Nashville,TN,37220,(615)333-5135,395,High School,Grade 9,Grade 12,36.07979927,-86.76899451,http://schools.mnps.org/john-overton-high-school,John Overton,"(36.07979927, -86.76899451)"
563,John Trotwood Moore Middle,4425 Granny White Pike,Nashville,TN,37204,(615)298-8095,490,Middle School,Grade 5,Grade 8,36.09577221,-86.80199502,http://schools.mnps.org/jt-moore-middle-prep,Hillsboro,"(36.09577221, -86.80199502)"
480,Johnson Alternative Learning Center,1200 2nd Ave S,Nashville,TN,37210,(615)749-3067,740,Non-Traditional - Hybrid,Grade 8,Grade 12,36.14539088,-86.76401446,http://schools.mnps.org/johnson-alternative-learning-center-mnps-middle,,"(36.14539088, -86.76401446)"
485,Jones Elementary,1800 9th Avenue North,Nashville,TN,37208,(615)291-6382,387,Elementary School,Grade K,Grade 4,36.18115373,-86.80139789,http://schools.mnps.org/jones-paideia-elementary-magnet-school,,"(36.18115373, -86.80139789)"
380,Julia Green Elementary,3500 Hobbs Rd,Nashville,TN,37215,(615)298-8082,415,Elementary School,Grade K,Grade 4,36.10272398,-86.83311931,http://schools.mnps.org/julia-green-elementary-school,Hillsboro,"(36.10272398, -86.83311931)"
512,KA @ The Crossings MS,5380 Hickory Hollow Parkway,Antioch,TN,37013,(615)810-8370,8105,Charter,Grade 5,Grade 8,36.04506646,-86.65158341,http://www.knowledgeacademies.org/,,"(36.04506646, -86.65158341)"
502,KIPP Academy Nashville,123 Douglas Ave,Nashville,TN,37207,(615)226-4484x1,8002,Charter,Grade 5,Grade 8,36.19453591,-86.76943925,http://kippnashville.org/,,"(36.19453591, -86.76943925)"
499,KIPP Academy Nashville Elementary,1000 Sevier Street,Nashville,TN,37206,(615)226-4484x5,8095,Charter,Grade K,Grade 3,36.16747626,-86.75191017,http://kippnashville.org/,Stratford,"(36.16747626, -86.75191017)"
503,KIPP Nashville College Prep,3410 Knight Road,Nashville,TN,37207,(615)226-4484x2,8042,Charter,Grade 5,Grade 8,36.23750746,-86.80370654,http://kippnashville.org/,,"(36.23750746, -86.80370654)"
501,KIPP Nashville College Prep Elementary,3410 Knight Rd.,Nashville,TN,37207,(615)226-4484x6,8085,Charter,Grade K,Grade 2,36.23825258,-86.80366466,http://kippnashville.org/,,"(36.23825258, -86.80366466)"
504,KIPP Nashville Collegiate High School,123 Douglas Avenue,Nashville,TN,37207,(615)226-4484x3,8011,Charter,Grade 9,Grade 12,36.19479841,-86.76918578,http://kippnashville.org/,,"(36.19479841, -86.76918578)"
511,Knowledge Academies High School,5320 Hickory Hollow Parkway,Antioch,TN,37013,(615)800-6814,8065,Charter,Grade 9,Grade 11,36.04521202,-86.65187296,http://www.knowledgeacademies.org/,,"(36.04521202, -86.65187296)"
506,Knowledge Academy,5380 Hickory Hollow Parkway,Antioch,TN,37013,(615)810-8370,8012,Charter,Grade 5,Grade 8,36.04540154,-86.65199372,http://www.knowledgeacademies.org/,,"(36.04540154, -86.65199372)"
122,Lakeview Elementary,455 Rural Hill Road,Nashville,TN,37217,(615)360-2912,430,Elementary School,Grade K,Grade 4,36.07881496,-86.63007231,http://schools.mnps.org/lakeview-elementary-design-center,Antioch,"(36.07881496, -86.63007231)"
508,Lead Academy,1704 Heiman Street,Nashville,TN,37208,(615)327-5422,8003,Charter,Grade 9,Grade 12,36.14788548,-86.7639513,http://high.leadacademy.org/,,"(36.14788548, -86.7639513)"
507,LEAD Prep Southeast,531 Metroplex Dr.,Nashville,TN,37211,(615)678-0543,8013,Charter,Grade 5,Grade 9,36.09233578,-86.70367086,http://www.leadprepsoutheast.org/,,"(36.09233578, -86.70367086)"
517,Liberty Collegiate Academy,3515 Gallatin Rd.,Nashville,TN,37216,(615)564-1965,8005,Charter,Grade 5,Grade 8,36.2120627,-86.73292493,http://www.republiccharterschools.org/,,"(36.2120627, -86.73292493)"
520,Lockeland Elementary,105 South 17th Street,Nashville,TN,37206,(615)258-1330,435,Elementary School,Grade K,Grade 4,36.17622508,-86.73952049,http://schools.mnps.org/lockeland-elementary-design-center,,"(36.17622508, -86.73952049)"
545,Madison Middle,300 Old Hickory Blvd West,Madison,TN,37115,(615)687-4018,622,Middle School,Grade 5,Grade 8,36.26389402,-86.71620849,http://schools.mnps.org/madison-middle-prep,Hunters Lane,"(36.26389402, -86.71620849)"
550,Maplewood High,401 Walton Lane,Nashville,TN,37216,(615)262-6770,445,High School,Grade 9,Grade 12,36.23275198,-86.75033937,http://schools.mnps.org/maplewood-high-school,Maplewood,"(36.23275198, -86.75033937)"
100,Margaret Allen Middle,500 Spence Lane,Nashville,TN,37210,(615)291-6385,450,Middle School,Grade 5,Grade 8,36.14606234,-86.72164617,http://schools.mnps.org/margaret-allen-middle-prep,Antioch,"(36.14606234, -86.72164617)"
497,Martin Luther King Jr School,613 17th Avenue North,Nashville,TN,37203,(615)329-8400,456,High School,Grade 7,Grade 12,36.16167564,-86.80047381,http://schools.mnps.org/martin-luther-king-jr-academic-magnet-high-school,,"(36.16167564, -86.80047381)"
682,May Werthan Shayne Elementary School,6217 Nolensville Road,Nashville,TN,37211,(615)332-3020,608,Elementary School,Grade P4,Grade 4,36.02103117,-86.71463119,http://schools.mnps.org/shayne-elementary-school,John Overton,"(36.02103117, -86.71463119)"
530,McGavock Elementary,275 McGavock Pike,Nashville,TN,37214,(615)885-8912,465,Elementary School,Grade K,Grade 4,36.160559,-86.68103494,http://schools.mnps.org/mcgavock-elementary-school,McGavock,"(36.160559, -86.68103494)"
532,McGavock High,3150 McGavock Pike,Nashville,TN,37214,(615)885-8850,470,High School,Grade 9,Grade 12,36.18544319,-86.67784935,http://schools.mnps.org/mcgavock-high-school,McGavock,"(36.18544319, -86.67784935)"
540,McMurray Middle,520 McMurray Drive,Nashville,TN,37211,(615)333-5126,480,Middle School,Grade 5,Grade 8,36.05637961,-86.7236925,http://schools.mnps.org/mcmurray-middle-prep,John Overton,"(36.05637961, -86.7236925)"
555,Meigs Middle,713 Ramsey Street,Nashville,TN,37206,(615)271-3222,330,Middle School,Grade 5,Grade 8,36.17636399,-86.76088019,http://schools.mnps.org/meigs-academic-magnet-school,,"(36.17636399, -86.76088019)"
748,Metro Nashville Virtual School,4805 Park Avenue Suite 300,Nashville,TN,37209,(615)463-0188,3,Non-Traditional,Grade K,Grade 12,36.15012141,-86.84538306,https://www.vlearn.mnps.org/,,"(36.15012141, -86.84538306)"
562,Middle College High,120 White Bridge Road,Nashville,TN,37209,(615)353-3742,437,High School,Grade 10,Grade 12,36.13469914,-86.85711693,http://schools.mnps.org/middle-college-high-school,,"(36.13469914, -86.85711693)"
535,Moses McKissack Middle,"915 38th Avenue, North",Nashville,TN,37209,(615)329-8170,35,Middle School,Grade 5,Grade 8,36.15989894,-86.83194158,http://schools.mnps.org/mckissack-middle-prep,Pearl-Cohn,"(36.15989894, -86.83194158)"
576,Mt. View Elementary,3820 Murfreesboro Road,Antioch,TN,37013,(615)641-9393,493,Elementary School,Grade K,Grade 4,36.04185906,-86.60459768,http://schools.mnps.org/mt-view-elementary-school,Antioch,"(36.04185906, -86.60459768)"
585,Murrell School,"1450 14th Avenue, South",Nashville,TN,37210,(615)298-8070,505,Special Education,Grade K,Grade 7,36.13754885,-86.79002142,http://schools.mnps.org/murrell-school,,"(36.13754885, -86.79002142)"
590,Napier Elementary,60 Fairfield Avenue,Nashville,TN,37210,(615)291-6400,510,Elementary School,Grade P3,Grade 4,36.15002117,-86.75639911,http://schools.mnps.org/napier-enhanced-option-elementary-school,McGavock,"(36.15002117, -86.75639911)"
589,Nashville Academy of Computer Science,3230 Brick Church Pike,Nashville,TN,37207,(615)921-5000,8055,Charter,Grade 5,Grade 8,36.23496427,-86.78246535,http://www.republiccharterschools.org/,,"(36.23496427, -86.78246535)"
142,Nashville Big Picture High School,160 Rural Avenue,Nashville,TN,37209,(615)353-2081,53,Non-Traditional,Grade 9,Grade 12,36.14308831,-86.85571486,http://schools.mnps.org/nashville-big-picture-high-school,,"(36.14308831, -86.85571486)"
592,Nashville Classical,1310 Ordway Place,Nashville,TN,37206,(615)538-5841,8044,Charter,Grade K,Grade 4,36.17997265,-86.74607311,http://www.nashvilleclassical.org/home-1,,"(36.17997265, -86.74607311)"
594,Nashville Prep,1300 - 56th Avenue N,Nashville,TN,37209,(615)921-8440,8008,Charter,Grade 5,Grade 8,36.16230587,-86.85533179,http://www.republiccharterschools.org/,,"(36.16230587, -86.85533179)"
242,Nashville School Of The Arts,1250 Foster Avenue,Nashville,TN,37210,(615)291-6600,512,High School,Grade 9,Grade 12,36.13291332,-86.74050019,http://schools.mnps.org/nashville-school-of-the-arts-high-school,,"(36.13291332, -86.74050019)"
601,Neelys Bend College Prep,1251 Neelys Bend Road,Madison,TN,37115,(615)645-6461,6000,Charter,Grade 5,Grade 8,36.24190792,-86.67423071,http://www.neelysbendcollegeprep.org/,Hunters Lane,"(36.24190792, -86.67423071)"
