,wait_times_hrs,nurse_count
2019-03-07 13:00:00,1.4019696054769444,7.0
2019-03-07 14:00:00,1.0511848641825188,7.0
2019-03-07 15:00:00,0.6748908446329396,7.0
2019-03-07 16:00:00,0.5004422668410021,7.0
2019-03-07 17:00:00,1.1267812627622569,7.0
2019-03-07 18:00:00,1.7413096813802666,7.0
2019-03-07 19:00:00,2.6905571682395664,3.0
2019-03-07 20:00:00,2.2900918618070447,3.0
2019-03-07 21:00:00,2.2773158177972985,3.0
2019-03-07 22:00:00,2.5194189995200107,3.0
2019-03-07 23:00:00,1.9194190667958009,5.0
2019-03-08 00:00:00,1.9133672273003484,3.0
2019-03-08 01:00:00,1.6632992633339831,3.0
2019-03-08 02:00:00,1.982375542202768,3.0
2019-03-08 03:00:00,1.896861312886128,3.0
2019-03-08 04:00:00,1.4025965672883165,3.0
2019-03-08 05:00:00,1.008395787686021,5.0
2019-03-08 06:00:00,1.2053824016505863,5.0
2019-03-08 07:00:00,1.4552105016606032,5.0
2019-03-08 08:00:00,1.7980654467101371,7.0
2019-03-08 09:00:00,1.2958262208014408,7.0
2019-03-08 10:00:00,1.0152775807291303,7.0
2019-03-08 11:00:00,1.4626638163855141,7.0
2019-03-08 12:00:00,1.5972527256603517,7.0
2019-03-08 13:00:00,1.6302964592002949,7.0
2019-03-08 14:00:00,1.4726650601416242,7.0
2019-03-08 15:00:00,1.3715478537605224,7.0
2019-03-08 16:00:00,1.2199023381525436,7.0
2019-03-08 17:00:00,1.3756811505797448,7.0
2019-03-08 18:00:00,1.6024392135541223,7.0
2019-03-08 19:00:00,2.443666001492963,3.0
2019-03-08 20:00:00,2.4481552127489983,3.0
2019-03-08 21:00:00,2.0207195275174223,3.0
2019-03-08 22:00:00,1.7212681006973871,3.0
2019-03-08 23:00:00,1.4899873922102873,3.0
2019-03-09 00:00:00,1.3950932915835537,1.0
2019-03-09 01:00:00,1.3150799032039386,1.0
2019-03-09 02:00:00,1.6912969297321734,1.0
2019-03-09 03:00:00,2.0127009074429587,1.0
2019-03-09 04:00:00,2.2369118620449604,1.0
2019-03-09 05:00:00,1.8603979812486924,1.0
2019-03-09 06:00:00,1.3976060342277072,1.0
2019-03-09 07:00:00,1.6680984097601967,1.0
2019-03-09 08:00:00,2.1445910427013226,1.0
2019-03-09 09:00:00,1.5109476218276543,5.0
2019-03-09 10:00:00,1.0858184134614206,5.0
2019-03-09 11:00:00,1.2383008673810671,5.0
2019-03-09 12:00:00,1.660296168239458,5.0
2019-03-09 13:00:00,1.276555456903245,5.0
2019-03-09 14:00:00,0.9874438906535378,5.0
2019-03-09 15:00:00,1.1478646119134357,5.0
2019-03-09 16:00:00,1.277081230083097,5.0
2019-03-09 17:00:00,0.957546297969064,5.0
2019-03-09 18:00:00,1.3018922491202451,5.0
2019-03-09 19:00:00,1.28003343540912,5.0
2019-03-09 20:00:00,1.7118187317301947,3.0
2019-03-09 21:00:00,1.5610044752145948,3.0
2019-03-09 22:00:00,1.1695051789768125,5.0
2019-03-09 23:00:00,1.3637582870464806,3.0
2019-03-10 00:00:00,1.7786811221490133,3.0
2019-03-10 01:00:00,2.0789883842682157,3.0
2019-03-10 02:00:00,1.972132811798179,3.0
2019-03-10 03:00:00,2.0022671049574363,3.0
2019-03-10 04:00:00,1.9706234915384973,3.0
2019-03-10 05:00:00,2.0151404226023857,3.0
2019-03-10 06:00:00,1.5894353933734853,3.0
2019-03-10 07:00:00,1.2110379922991672,3.0
2019-03-10 08:00:00,0.8615199277580669,3.0
2019-03-10 09:00:00,0.1905571682395664,7.0
2019-03-10 10:00:00,0.7568464293987587,7.0
2019-03-10 11:00:00,1.0816318861468954,7.0
2019-03-10 12:00:00,0.8028307145371512,7.0
2019-03-10 13:00:00,0.5727794134144623,7.0
2019-03-10 14:00:00,0.9429501668118844,7.0
2019-03-10 15:00:00,1.3698687229151616,7.0
2019-03-10 16:00:00,1.609254246666234,7.0
2019-03-10 17:00:00,1.960101331031583,7.0
2019-03-10 18:00:00,1.5635620096798708,7.0
2019-03-10 19:00:00,1.1015258740391958,7.0
2019-03-10 20:00:00,1.6006065824590272,5.0
2019-03-10 21:00:00,1.7091391001800873,5.0
2019-03-10 22:00:00,1.293119759798161,5.0
2019-03-10 23:00:00,1.5525219092549103,3.0
