user_offset,artist_offset,playcount
96,2,477
96,33,311
96,34,331
96,5,324
96,36,396
96,46,128
96,47,633
96,54,257
96,0,93
96,12,226
96,15,177
97,66,59
97,76,59
97,13,52
98,57,168
98,58,509
98,69,165
98,106,220
98,23,382
98,26,141
98,16,493
99,95,82
99,2,697
99,33,59
99,5,115
99,54,170
100,58,146
100,69,253
100,73,152
100,23,62
100,43,103
100,47,61
101,57,168
101,68,61
101,23,93
101,3,69
101,41,60
101,42,68
101,48,170
101,1,51
101,14,743
102,62,137
102,86,115
102,90,109
102,23,83
102,37,91
102,39,72
102,41,63
102,1,67
103,66,201
103,94,55
103,103,61
103,52,103
103,12,64
103,16,55
104,68,199
104,109,59
104,24,88
104,32,140
105,57,205
105,68,230
105,16,81
106,58,125
106,59,61
106,80,60
106,103,269
106,105,72
106,26,76
106,48,62
106,1,89
106,16,282
107,88,204
107,100,11269
107,107,2856
108,60,65
108,88,62
108,96,62
108,107,87
108,38,138
109,84,53
109,2,101
109,24,84
109,0,98
110,58,374
110,76,97
110,98,151
110,103,108
110,23,129
110,28,80
110,53,126
111,59,176
111,62,52
111,78,93
111,20,92
111,23,224
111,47,170
112,57,157
112,2,222
112,42,2516
113,72,188
113,105,74
113,23,409
113,46,55
113,47,91
113,52,426
113,0,63
113,12,170
114,58,84
114,4,187
114,9,255
115,71,109
115,75,62
115,109,68
116,64,141
116,66,62
116,23,93
116,47,228
117,58,100
117,69,79
117,81,125
117,24,95
117,14,59
118,69,95
118,3,53
118,14,106
119,82,56
119,85,75
119,89,208
119,110,156
120,56,276
120,69,70
120,103,74
120,104,63
120,23,181
120,25,191
120,35,74
120,16,57
121,58,107
121,60,85
121,91,216
121,92,229
121,107,80
121,109,53
122,66,247
122,109,146
122,12,89
123,55,71
123,57,57
123,62,79
123,67,60
123,49,85
123,51,107
123,53,151
123,12,309
124,70,54
124,82,274
124,92,113
124,31,104
124,11,120
125,56,172
125,60,66
125,66,114
125,69,71
125,77,60
125,82,59
125,92,52
125,2,182
125,107,66
125,108,69
125,109,183
125,52,131
125,12,63
125,16,71
126,73,85
126,91,98
126,104,86
126,2,461
126,0,63
127,36,155
127,0,429
127,11,290
127,12,564
128,82,258
128,83,81
128,91,54
128,106,250
128,107,57
128,108,1014
128,109,110
128,32,119
128,33,387
128,35,325
128,7,106
128,9,85
129,69,91
129,82,84
129,90,65
129,37,80
129,49,79
130,82,75
130,5,58
130,0,151
131,96,63
131,107,87
131,50,84
131,14,133
132,82,60
132,84,85
132,85,61
132,95,232
132,22,546
132,31,67
132,0,103
133,58,93
133,60,142
133,106,104
133,27,75
133,31,146
133,5,204
134,56,84
134,58,72
134,73,131
135,59,233
135,23,62
135,52,73
136,58,60
136,76,62
136,88,381
136,109,83
136,26,78
136,13,87
137,57,401
137,81,135
137,82,2175
137,99,210
137,106,358
137,109,467
138,56,312
138,58,405
138,72,57
138,106,53
138,23,149
138,39,296
138,12,124
139,55,60
139,63,464
139,64,119
139,106,83
139,28,93
139,44,700
140,84,114
140,97,163
140,32,454
140,7,897
140,8,87
140,14,142
141,57,243
141,60,65
141,72,59
141,75,77
141,80,53
141,84,95
141,23,56
141,31,52
142,57,97
142,58,448
142,81,822
142,92,600
142,23,54
142,25,62
143,57,130
143,18,82
143,47,169
143,1,90
144,106,56
144,108,98
144,109,60
144,37,68
144,52,69
145,55,56
145,56,64
145,73,184
145,17,82
145,25,198
145,26,127
145,43,73
145,16,102
146,55,73
146,49,161
146,52,526
147,56,104
147,58,55
147,72,86
147,74,51
147,98,98
147,101,100
147,105,92
147,21,54
147,106,94
147,107,51
147,109,53
147,53,151
147,1,120
147,16,91
148,31,83
148,10,208
148,16,148
149,62,99
149,64,109
149,69,119
149,21,109
149,25,53
149,44,105
149,110,87
149,1,71
150,59,63
150,72,161
150,78,105
150,101,242
150,109,130
150,36,70
150,52,177
151,2,71
151,32,111
151,5,88
152,70,59
152,104,57
152,22,86
152,26,74
152,0,83
152,9,114
152,11,109
152,1,71
153,73,94
153,104,117
153,19,112
153,24,174
153,0,65
154,80,136
154,107,134
154,37,86
154,15,51
154,16,68
155,107,77
155,37,57
155,46,81
156,57,493
156,63,115
156,71,53
156,92,70
156,104,95
156,17,349
156,19,166
156,21,73
156,22,200
156,23,90
156,28,1046
156,3,676
156,29,94
156,40,79
156,41,143
156,42,115
156,48,92
156,8,93
156,14,77
157,56,191
157,58,237
157,71,153
157,72,102
157,75,396
157,20,205
157,106,98
157,35,192
157,39,292
158,86,58
158,23,207
158,33,78
159,57,190
159,63,85
159,91,115
159,97,57
159,104,124
159,21,130
159,106,315
159,109,202
159,23,123
159,26,76
159,31,78
159,39,74
159,48,60
159,14,58
159,16,58
160,61,297
160,66,252
160,78,180
160,103,73
160,21,88
160,47,163
160,52,118
160,12,259
161,73,58
161,43,63
161,16,137
162,18,61
162,23,92
162,8,54
162,0,54
162,14,91
163,60,270
163,88,68
163,92,70
163,107,368
164,59,73
164,74,224
164,92,623
164,103,61
164,104,123
164,109,67
164,23,277
164,47,203
164,52,51
164,12,92
165,57,145
165,62,91
165,70,60
165,23,53
165,3,64
165,110,112
165,1,63
166,56,59
166,57,979
166,61,68
166,64,72
166,69,101
166,70,118
166,74,142
166,18,57
166,108,156
166,25,74
166,26,316
166,33,67
166,34,58
166,36,97
166,44,446
166,47,200
166,48,62
166,52,54
166,54,57
166,14,56
166,16,227
167,57,521
167,84,676
167,6,59
168,69,102
168,83,111
168,17,149
168,106,54
168,23,126
168,52,125
168,16,119
169,35,89
169,36,106
169,44,137
169,47,109
170,57,227
170,60,1230
170,67,247
170,75,115
170,93,65
170,96,224
170,102,112
170,104,88
170,18,125
170,109,145
170,31,104
170,35,104
170,48,517
170,9,140
170,14,79
171,70,148
171,85,125
171,87,55
171,106,60
171,27,138
171,3,120
171,32,333
171,34,81
171,15,97
171,16,59
172,101,239
172,45,68
172,47,119
173,57,131
173,82,53
173,31,53
174,57,271
174,81,60
174,82,167
174,92,329
174,26,77
174,3,205
175,57,718
175,58,88
175,74,69
175,97,76
175,20,78
176,82,105
176,106,88
176,54,66
177,57,71
177,58,347
177,66,144
177,69,155
177,81,201
177,92,168
177,106,71
177,107,141
177,23,443
177,36,115
177,43,56
177,47,139
177,12,280
177,16,190
178,57,7417
178,62,316
178,104,136
178,17,1386
178,21,668
178,23,3149
178,40,1461
178,41,1603
178,44,113
178,14,204
179,57,1517
179,86,128
179,4,59
179,44,64
179,14,128
180,56,197
180,58,59
180,72,72
180,73,113
180,81,72
180,91,91
180,105,66
180,25,81
180,35,96
180,39,57
180,40,169
180,43,90
180,53,72
181,60,87
181,69,152
181,70,195
181,82,221
181,83,167
181,106,361
181,109,91
181,33,540
181,46,55
181,50,144
181,0,456
182,57,76
182,68,52
182,2,53
183,69,62
183,82,58
183,85,101
183,86,185
183,91,258
183,104,352
183,105,86
183,19,853
183,106,167
183,109,226
183,26,71
183,38,281
183,48,337
183,50,115
183,0,592
184,80,73
184,104,107
184,37,108
184,15,86
185,57,84
185,106,293
185,5,73
186,58,67
186,77,66
186,103,69
186,18,55
186,106,119
186,7,55
186,0,111
186,11,215
186,16,64
187,36,508
187,52,206
187,12,290
187,16,99
188,57,245
188,60,177
188,18,390
188,107,70
188,108,136
189,79,113
189,26,63
189,47,114
190,90,94
190,109,93
190,37,89
191,56,55
191,58,69
191,62,79
191,66,61
191,78,261
191,94,150
191,47,194
191,52,76
192,58,175
192,90,109
192,92,227
192,37,131
192,47,52
192,49,54
192,12,51
192,15,97
193,57,249
193,85,63
193,92,55
193,106,87
193,23,571
193,29,134
193,0,158
194,103,116
194,34,103
194,0,53
194,12,540
195,70,149
195,91,76
195,109,144
195,23,53
195,33,131
195,54,59
195,0,216
196,57,966
196,82,184
196,92,94
196,105,104
196,106,169
196,107,209
196,109,181
196,31,198
196,53,208
197,56,53
197,80,127
197,16,271
198,57,83
198,65,53
198,92,60
198,44,53
199,90,316
199,30,88
199,37,178
199,15,282
200,66,175
200,76,60
200,78,64
200,47,55
200,9,93
200,12,77
201,107,205
201,31,112
201,6,87
201,0,89
201,9,101
202,57,52
202,77,136
202,2,136
202,27,123
202,28,71
203,75,56
203,84,60
203,96,58
203,107,96
203,24,54
204,74,112
204,39,53
204,15,51
205,57,61
205,65,54
205,2,51
205,16,92
206,57,570
206,69,101
206,79,244
206,19,52
206,26,92
206,3,52
206,4,79
206,30,108
206,32,176
206,49,80
207,57,79
207,19,249
207,35,140
207,6,76
208,66,353
208,83,54
208,49,146
208,52,669
208,12,97
208,15,65
209,55,73
209,64,65
209,87,124
210,75,71
210,95,90
210,106,429
210,15,69
211,77,75
211,79,58
211,7,69
212,80,58
212,91,271
212,30,162
212,37,97
212,49,52
212,15,238
213,52,60
213,12,106
213,15,173
214,82,74
214,91,236
214,104,158
214,106,139
214,109,101
215,60,100
215,73,110
215,77,98
215,82,160
215,44,174
215,14,102
216,107,172
216,48,52
216,51,287
217,105,73
217,106,51
217,26,63
218,57,82
218,88,162
218,37,154
218,15,66
219,60,447
219,74,59
219,95,68
219,96,250
219,106,88
219,107,82
220,57,96
220,2,147
220,13,56
221,57,92
221,18,91
221,106,365
221,26,58
221,52,64
221,15,59
222,77,83
222,85,180
222,22,276
222,32,120
222,54,105
223,95,99
223,50,175
223,15,129
224,79,60
224,98,171
224,51,555
224,1,197
224,15,225
225,60,932
225,67,1376
225,88,1631
225,96,88
225,97,164
225,106,107
225,107,447
226,57,72
226,106,54
226,47,124
226,51,355
226,9,548
226,15,58
227,56,853
227,57,270
227,59,193
227,64,213
227,65,515
227,66,229
227,67,91
227,69,244
227,71,63
227,73,168
227,93,139
227,103,526
227,105,129
227,23,620
227,35,436
227,47,57
227,53,121
227,9,2366
227,10,75
227,12,313
227,13,267
227,15,228
227,16,1076
228,29,193
228,52,101
228,13,110
228,16,75
229,67,132
229,86,83
229,51,113
229,10,90
230,60,77
230,80,79
230,90,71
230,52,95
230,15,83
231,69,64
231,93,55
231,9,55
232,55,55
232,58,88
232,66,84
232,94,66
232,17,56
232,36,76
232,52,79
232,12,105
233,60,214
233,82,174
233,88,73
233,89,62
233,107,86
233,109,57
234,90,1015
234,105,780
234,2,75
234,26,72
234,30,895
234,34,1503
234,47,957
234,54,232
234,15,12330
235,65,143
235,77,149
235,82,62
235,93,59
235,109,62
236,82,245
236,3,107
236,14,164
237,56,93
237,67,126
237,98,52
237,23,63
237,51,252
237,53,162
237,9,505
237,10,109
237,13,100
238,57,83
238,60,179
238,82,169
238,93,56
239,82,52
239,96,121
239,106,69
239,109,82
240,57,188
240,69,55
240,92,56
240,103,99
240,23,59
240,44,79
240,47,106
241,57,166
241,107,426
241,43,135
241,0,82
242,56,406
242,58,253
242,23,113
242,35,57
242,43,320
242,9,195
242,10,235
242,1,79
243,82,443
243,91,218
243,109,280
243,5,226
244,57,59
244,77,86
244,82,61
244,26,51
244,31,95
245,57,106
245,74,172
245,80,53
245,106,51
245,23,197
245,26,161
245,29,75
245,30,55
245,33,59
245,15,190
245,16,222
246,56,89
246,57,219
246,91,127
246,104,108
246,109,80
246,27,82
246,46,64
247,57,165
247,68,133
247,82,81
247,96,127
247,7,88
247,14,59
248,55,103
248,66,117
248,70,93
248,25,53
248,33,120
248,47,204
248,52,195
248,11,202
248,12,74
248,15,66
249,65,81
249,40,123
249,48,81
249,15,126
250,63,73
250,23,168
250,33,55
250,54,75
250,0,65
250,16,73
251,73,129
251,103,75
251,2,64
251,16,60
252,59,227
252,103,411
252,23,194
253,55,555
253,57,397
253,60,298
253,62,138
253,65,321
253,67,131
253,75,514
253,76,285
253,79,219
253,88,355
253,91,67
253,92,67
253,93,184
253,98,163
253,99,431
253,101,108
253,102,98
253,104,101
253,19,214
253,106,102
253,107,111
253,26,213
253,44,128
253,47,133
253,51,238
253,9,179
253,10,73
253,13,150
254,57,99
254,77,102
254,40,62
254,7,239
255,66,91
255,70,88
255,2,193
255,23,67
255,47,88
256,76,51
256,83,140
256,90,84
256,92,92
256,103,170
256,37,60
256,47,58
256,51,144
256,53,89
256,12,67
256,15,491
256,16,141
257,57,327
257,58,67
257,69,124
257,96,227
257,107,678
257,38,77
257,8,140
258,75,2358
258,39,1201
258,45,51
258,49,148
258,15,90
259,57,56
259,74,62
259,84,223
259,23,110
260,57,500
260,71,86
260,87,186
260,45,204
260,46,138
261,57,82
261,9,95
261,1,153
262,58,51
262,73,86
262,103,54
262,5,81
262,47,138
262,12,110
263,70,82
263,33,201
263,54,201
264,67,65
264,91,73
264,107,59
264,109,182
264,53,220
264,13,86
265,58,76
265,60,242
265,92,458
265,98,92
266,55,90
266,20,76
266,25,69
267,57,101
267,60,53
267,107,52
267,0,51
268,57,54
268,62,95
268,23,56
268,46,91
269,92,65
269,9,148
269,10,60
270,57,170
270,74,163
270,23,57
270,31,51
271,66,133
271,26,137
271,47,358
271,12,54
272,66,85
272,36,97
272,54,99
272,12,410
273,104,74
273,18,101
273,23,106
273,0,74
274,96,321
274,107,163
274,22,88
275,69,480
275,104,84
275,0,108
276,56,55
276,57,98
276,58,80
276,23,87
276,0,68
276,12,70
277,70,164
277,91,94
277,2,208
277,109,60
277,23,375
277,26,70
277,52,407
277,0,135
277,15,160
277,16,80
278,25,83
278,3,82
278,38,164
278,1,97
279,73,56
279,78,170
279,34,54
279,54,57
279,1,80
280,69,147
280,70,72
280,82,100
280,85,65
280,92,112
280,22,89
280,47,83
280,0,175
280,11,108
280,16,293
281,57,101
281,82,100
281,91,87
281,102,80
281,103,59
281,16,229
282,62,59
282,73,62
282,92,208
282,103,53
282,21,72
282,48,60
282,49,74
283,100,67
283,104,97
283,109,51
284,85,60
284,20,58
284,2,124
285,57,163
285,60,92
285,99,51
286,60,316
286,82,246
286,109,61
286,23,64
286,26,192
286,32,56
287,63,188
287,65,110
287,75,105
287,13,477
287,14,209
288,71,70
288,94,83
288,23,64
288,47,72
289,57,100
289,62,144
289,65,646
289,82,123
289,106,195
289,24,58
289,44,66
289,47,71
289,16,66
290,103,60
290,47,203
290,12,70
291,60,327
291,82,128
291,92,129
291,99,195
291,107,87
291,24,68
291,9,69
291,110,104
292,60,59
292,79,52
292,82,200
292,108,99
292,32,77
292,35,60
292,47,224
293,66,137
293,72,1884
293,91,349
293,103,598
293,106,68
293,109,437
293,35,161
293,47,302
293,54,126
293,12,990
293,16,228
294,57,129
294,60,166
294,68,72
294,86,64
294,19,62
294,32,134
294,42,187
294,8,101
295,70,92
295,83,102
295,52,620
295,0,77
296,65,54
296,104,78
296,17,53
296,107,125
296,109,257
296,53,330
296,10,121
296,13,81
297,60,109
297,82,67
297,99,65
297,106,60
297,109,56
298,61,53
298,92,55
298,108,86
299,57,162
299,106,91
299,107,153
299,23,192
299,31,261
299,41,121
299,8,89
300,66,68
300,83,76
300,108,62
300,35,207
300,52,81
300,12,118
300,15,115
301,58,79
301,88,180
301,92,94
302,57,249
302,58,100
302,60,92
302,61,86
302,66,93
302,69,137
302,70,62
302,88,107
302,92,74
302,2,122
302,21,98
302,106,76
302,32,55
302,36,89
302,47,116
302,52,71
302,0,58
302,12,104
302,15,74
302,16,403
303,60,391
303,88,186
303,96,140
303,99,61
304,66,51
304,2,52
304,54,53
305,69,236
305,70,69
305,94,68
305,2,146
305,52,128
306,56,88
306,59,103
306,60,74
306,70,195
306,81,88
306,82,224
306,96,203
306,97,205
306,102,407
306,103,59
306,2,60
306,21,75
306,106,83
306,107,63
306,109,95
306,27,155
306,35,612
306,45,230
306,49,54
306,52,57
306,15,140
306,16,100
307,57,576
307,60,185
307,78,53
307,18,64
307,109,86
307,47,221
307,9,232
307,10,57
308,56,276
308,60,59
308,72,217
308,74,179
308,29,368
308,39,145
308,51,136
309,92,139
309,45,57
309,54,105
310,57,149
310,82,83
310,86,70
311,55,131
311,64,68
311,66,120
311,69,224
311,23,336
311,47,400
311,52,142
311,16,371
312,72,63
312,96,469
312,107,299
312,4,210
312,9,298
312,10,63
313,18,74
313,24,415
313,42,84
313,48,51
314,85,91
314,22,330
314,0,65
314,11,297
315,91,62
315,32,126
315,14,68
316,109,712
316,35,113
316,49,59
317,56,79
317,58,259
317,72,386
317,91,172
317,101,176
317,23,283
317,33,56
317,39,265
317,41,88
317,1,74
318,34,236
318,37,61
318,44,58
319,57,99
319,70,58
319,3,144
319,48,55
319,14,268
319,16,75
320,70,55
320,83,54
320,103,51
321,56,52
321,73,102
321,94,109
321,25,62
321,44,92
321,47,104
321,52,89
322,58,117
322,80,62
322,23,128
322,5,85
322,53,52
322,0,56
322,9,209
322,10,125
323,57,772
323,84,714
323,92,77
323,31,145
324,72,220
324,39,509
324,47,63
324,13,132
325,79,149
325,82,78
325,84,51
325,87,68
325,98,73
325,107,88
325,0,59
325,110,183
325,12,137
326,57,307
326,58,623
326,92,488
326,107,407
326,23,195
326,31,69
326,42,1446
327,63,248
327,40,54
327,41,59
328,56,57
328,62,414
328,65,116
328,26,63
328,10,59
328,16,65
329,3,108
329,33,70
329,41,96
329,47,165
330,57,55
330,66,54
330,23,182
330,25,59
330,47,196
330,52,228
331,59,132
331,62,69
331,52,939
332,62,114
332,106,329
332,45,95
332,47,179
332,52,136
332,9,80
332,16,80
333,55,149
333,66,58
333,47,66
333,1,219
334,57,57
334,58,345
334,82,201
334,92,259
334,103,115
334,107,158
334,23,156
334,16,61
335,56,91
335,73,55
335,86,279
335,29,509
336,56,100
336,69,74
336,77,60
336,26,61
336,36,52
336,47,61
336,54,59
337,56,88
337,58,2595
337,80,247
337,86,216
337,23,377
337,37,1293
337,47,199
337,49,625
337,54,76
337,15,1008
337,16,82
338,57,103
338,82,66
338,99,59
339,60,86
339,88,110
339,92,69
340,57,68
340,108,156
340,47,71
341,60,72
341,92,58
341,50,252
342,82,69
342,52,66
342,0,63
343,70,109
343,107,150
343,5,193
343,46,81
343,8,61
343,54,166
343,0,99
344,60,258
344,79,182
344,82,62
345,82,81
345,91,56
345,107,93
345,108,74
345,110,106
346,58,802
346,60,74
346,88,67
347,109,73
347,47,104
347,12,97
348,58,70
348,60,663
348,80,132
348,92,545
348,96,507
348,102,154
348,21,64
348,107,141
348,22,65
348,53,93
348,14,122
348,15,63
349,57,80
349,42,68
349,14,51
350,56,90
350,82,549
350,91,218
350,92,85
350,93,60
350,11,121
350,16,66
351,57,54
351,58,131
351,73,54
351,98,71
351,103,51
351,23,126
351,29,59
351,40,87
351,51,120
351,53,63
351,0,51
351,1,86
351,15,114
352,56,57
352,64,100
352,65,175
352,66,106
352,69,52
352,73,102
352,76,95
352,98,214
352,21,62
352,25,74
352,29,52
352,43,95
352,44,107
352,47,128
352,10,172
352,13,132
352,16,436
353,65,337
353,76,252
353,51,225
353,9,225
353,10,86
354,57,310
354,82,107
354,21,81
354,107,65
354,14,98
355,91,494
355,96,150
355,104,122
355,105,56
355,18,127
355,109,116
355,33,120
356,60,188
356,18,111
356,26,56
356,15,83
357,57,648
357,60,372
357,84,383
357,89,1049
357,91,110
357,96,604
357,19,93
357,107,61
357,24,251
357,29,173
357,48,172
357,14,728
358,57,237
358,65,73
358,82,142
358,84,69
358,26,62
358,110,80
359,64,226
359,76,146
359,79,872
359,9,726
360,86,52
360,87,64
360,110,111
360,14,51
361,92,171
361,18,124
361,42,529
361,110,57
362,80,193
362,84,159
362,86,346
362,90,437
362,29,210
362,37,330
362,45,525
362,49,448
362,15,150
363,47,186
363,12,241
363,16,336
364,93,111
364,27,60
364,33,63
365,60,301
365,88,63
365,96,124
366,57,100
366,84,76
366,103,91
366,7,148
366,44,81
366,47,384
366,48,188
366,52,989
366,54,75
367,66,128
367,21,78
367,47,177
368,105,51
368,107,124
368,109,156
369,62,52
