avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_inc_price,inc_pct,weekday_pct,fancy_car_user,city_Carthag,city_Harko,phone_iPhone,first_month_cat_more_1_trip,first_month_cat_no_trips,month_5_still_here
2.21,4.8,4.8,1.03,5.4,54.1,False,1,0,1,1,0,1
6.12,5.0,,1.17,33.3,66.7,False,1,0,0,0,0,0
10.37,5.0,5.0,1.0,0.0,75.0,False,0,0,1,0,0,0
2.42,5.0,5.0,1.0,0.0,100.0,True,0,0,1,0,0,0
1.89,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,1,1
4.44,5.0,5.0,1.0,0.0,0.0,True,0,1,1,0,1,1
2.61,4.8,3.9,1.09,10.5,63.2,True,1,0,1,1,0,1
4.46,5.0,5.0,1.0,0.0,100.0,False,1,0,1,0,1,0
1.02,5.0,5.0,1.0,0.0,100.0,False,1,0,0,0,0,0
0.0,3.0,5.0,1.0,0.0,100.0,False,1,0,1,0,0,0
37.11,5.0,5.0,1.0,0.0,0.0,False,1,0,1,1,0,0
2.3,4.9,5.0,1.35,36.0,84.0,False,0,1,1,1,0,1
1.45,4.0,5.0,1.0,0.0,0.0,False,0,0,0,0,1,0
2.47,5.0,4.8,1.0,0.0,100.0,False,1,0,1,1,0,0
19.8,5.0,,1.0,0.0,100.0,False,1,0,1,0,1,0
1.82,4.0,5.0,1.0,0.0,0.0,False,0,0,1,0,0,0
10.49,5.0,5.0,1.0,0.0,66.7,True,1,0,0,0,1,1
3.99,5.0,4.0,1.5,25.0,50.0,False,1,0,1,0,1,0
17.89,4.0,4.0,3.5,100.0,100.0,True,0,0,0,0,0,0
4.61,4.8,4.0,1.11,18.2,81.8,True,0,0,1,0,0,1
2.6,4.7,4.8,1.03,5.3,63.2,False,0,1,1,1,0,1
5.01,5.0,4.0,1.0,0.0,100.0,True,1,0,1,0,1,1
2.42,4.8,5.0,1.0,0.0,100.0,False,0,0,1,1,0,0
3.55,4.9,4.7,1.17,25.0,66.7,True,0,1,1,1,0,1
3.06,4.7,5.0,1.0,0.0,67.6,True,0,0,1,1,0,1
3.3,4.8,5.0,1.0,0.0,42.9,False,0,1,1,1,0,1
4.67,5.0,5.0,1.0,0.0,0.0,True,1,0,1,0,1,0
6.28,,5.0,1.0,0.0,0.0,False,0,0,1,0,0,0
10.83,5.0,5.0,1.0,0.0,50.0,True,1,0,0,1,0,1
1.55,4.5,3.7,1.0,0.0,55.2,False,0,0,1,1,0,1
1.13,4.4,4.0,1.0,0.0,80.0,False,0,0,0,1,0,1
23.34,4.0,1.0,1.0,0.0,0.0,True,1,0,1,0,0,0
1.35,4.0,,1.0,0.0,100.0,True,1,0,1,0,0,0
4.89,4.6,4.1,1.0,1.9,76.9,True,0,0,1,1,0,1
5.36,5.0,5.0,1.0,0.0,75.0,True,1,0,0,1,0,0
4.2,5.0,4.3,1.02,10.0,90.0,False,0,1,1,0,0,1
2.86,4.9,4.9,1.0,0.0,89.7,True,1,0,0,1,0,0
8.3,5.0,,1.0,0.0,100.0,False,1,0,1,0,1,1
6.08,5.0,5.0,1.17,16.7,33.3,False,1,0,0,0,0,1
2.15,4.9,4.2,1.0,0.0,50.0,True,0,1,1,1,0,1
6.86,4.9,4.4,1.0,0.0,50.0,True,0,0,1,1,0,1
4.08,4.9,3.0,1.0,0.0,63.6,True,0,0,1,1,0,1
4.99,5.0,5.0,1.0,0.0,0.0,False,0,0,0,0,1,1
1.63,5.0,,1.0,0.0,0.0,False,1,0,0,0,1,0
10.79,4.9,4.9,1.09,15.9,50.0,False,0,1,1,1,0,1
9.14,5.0,3.0,1.0,0.0,100.0,False,1,0,1,0,0,0
3.07,5.0,,1.0,0.0,66.7,False,1,0,0,0,0,0
5.25,5.0,5.0,1.0,0.0,50.0,True,1,0,1,1,0,1
3.81,5.0,4.7,1.0,0.0,100.0,True,0,1,1,0,0,1
2.65,5.0,4.8,1.0,0.0,36.4,True,1,0,1,0,0,1
10.29,3.7,5.0,1.0,0.0,33.3,False,0,0,0,0,0,0
12.32,4.7,4.4,1.05,9.1,63.6,False,0,0,0,0,0,1
1.16,4.3,4.0,1.0,0.0,100.0,False,1,0,1,0,1,0
0.0,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,0,0
2.64,5.0,2.5,1.63,50.0,100.0,False,1,0,1,0,0,0
16.85,5.0,5.0,1.0,0.0,85.7,True,0,0,1,0,1,1
4.14,5.0,,2.5,100.0,0.0,False,1,0,0,0,0,0
2.67,4.9,4.3,1.06,11.1,88.9,True,1,0,0,1,0,1
5.55,4.8,4.9,1.0,0.0,41.2,True,0,0,1,1,0,1
1.58,5.0,5.0,1.0,0.0,0.0,False,0,1,1,0,1,1
1.78,5.0,5.0,1.0,0.0,33.3,True,1,0,0,0,1,0
6.1,4.8,5.0,1.0,0.0,100.0,True,0,0,1,0,1,1
8.14,4.6,4.4,1.32,20.0,90.0,True,0,0,1,0,1,0
6.04,4.5,5.0,1.0,0.0,100.0,False,1,0,0,1,0,0
2.92,5.0,4.0,1.38,50.0,0.0,True,0,0,0,1,0,1
2.81,4.3,4.8,1.3,20.0,20.0,False,1,0,1,0,1,0
2.0,5.0,5.0,1.0,0.0,0.0,False,0,0,1,1,0,0
7.4,5.0,4.5,1.0,0.0,0.0,True,1,0,0,0,1,0
1.2,4.0,5.0,1.0,0.0,100.0,False,1,0,0,0,1,0
2.64,5.0,5.0,1.0,0.0,100.0,True,0,1,1,0,1,1
3.33,4.8,3.8,1.06,25.0,37.5,True,0,0,1,1,0,1
2.88,5.0,5.0,1.0,0.0,100.0,False,0,1,0,0,1,1
1.99,5.0,,1.75,100.0,100.0,False,0,0,1,0,0,0
3.22,4.5,4.9,1.0,0.0,43.8,False,0,0,1,1,0,1
13.78,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,0,0
8.2,5.0,,1.0,0.0,0.0,True,1,0,1,0,1,1
10.47,4.6,4.4,1.0,0.0,45.5,True,0,1,1,1,0,1
2.27,5.0,5.0,1.0,0.0,16.7,True,0,1,1,1,0,1
1.68,4.7,3.8,1.06,8.3,41.7,False,0,0,0,1,0,1
3.57,4.8,4.5,1.1,10.0,10.0,True,0,1,1,0,0,1
11.63,4.8,5.0,1.0,0.0,40.0,False,0,1,1,1,0,1
0.95,5.0,5.0,1.0,0.0,100.0,True,0,0,1,0,1,1
4.86,4.7,5.0,1.03,2.3,57.5,True,0,1,1,1,0,1
4.97,5.0,5.0,1.0,0.0,100.0,True,0,0,1,0,1,0
5.44,4.6,3.7,1.09,3.8,57.7,False,0,0,1,1,0,1
2.64,5.0,,1.0,0.0,100.0,False,0,0,1,0,1,1
3.42,5.0,4.8,1.21,21.4,28.6,True,1,0,1,0,1,1
1.64,4.8,4.5,1.14,22.9,62.9,False,0,1,1,1,0,1
4.43,4.7,5.0,1.17,33.3,66.7,False,0,0,1,0,1,1
4.01,5.0,5.0,1.0,0.0,0.0,True,0,0,1,0,1,0
2.1,4.4,4.0,1.0,0.0,50.0,True,0,0,1,1,0,0
7.63,5.0,5.0,1.0,0.0,50.0,True,0,0,1,1,0,0
1.89,4.5,4.5,1.0,0.0,0.0,False,0,0,1,1,0,0
3.18,5.0,4.0,1.0,0.0,100.0,False,0,0,0,0,0,0
3.72,5.0,5.0,1.0,0.0,20.0,False,0,0,0,0,0,0
3.8,4.7,5.0,1.0,0.0,100.0,False,1,0,1,0,1,0
18.03,5.0,5.0,1.0,0.0,0.0,False,1,0,0,0,0,0
2.92,4.7,5.0,1.0,0.0,30.0,True,1,0,1,0,0,1
2.03,4.7,4.9,1.0,0.0,42.9,True,0,1,1,0,1,1
12.6,5.0,5.0,1.0,0.0,0.0,False,1,0,1,0,0,0
2.86,5.0,5.0,1.0,0.0,42.9,True,0,1,1,1,0,1
18.57,5.0,5.0,1.0,0.0,100.0,True,0,1,0,1,0,1
1.5,3.5,5.0,1.63,100.0,0.0,False,1,0,1,1,0,0
2.36,5.0,,1.0,0.0,100.0,False,0,0,0,0,0,0
1.73,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,1,0
3.37,3.5,5.0,1.0,0.0,100.0,False,1,0,0,1,0,0
2.11,5.0,1.0,1.0,0.0,100.0,True,0,0,1,0,1,0
5.45,5.0,,1.0,0.0,100.0,False,1,0,1,0,1,1
2.2,5.0,4.0,1.0,0.0,100.0,False,0,0,1,0,0,0
3.88,5.0,5.0,1.0,0.0,50.0,False,0,0,0,0,0,0
9.77,5.0,2.0,1.0,0.0,100.0,False,1,0,0,0,0,0
1.75,5.0,4.5,1.0,0.0,0.0,True,1,0,0,1,0,0
3.56,5.0,4.0,1.25,100.0,100.0,False,0,1,1,0,0,0
20.32,5.0,5.0,1.0,0.0,100.0,False,1,0,0,0,1,0
14.37,5.0,5.0,1.0,0.0,75.0,False,0,1,1,0,1,0
4.46,2.0,4.0,1.0,0.0,100.0,False,1,0,1,0,0,0
12.52,5.0,4.0,1.0,0.0,100.0,False,1,0,1,0,0,0
4.2,4.6,3.9,1.02,3.5,69.0,False,1,0,1,1,0,1
2.74,4.0,3.0,1.0,0.0,0.0,True,0,0,0,0,0,0
18.15,5.0,,1.0,0.0,100.0,True,0,0,1,0,1,1
7.54,5.0,5.0,1.0,0.0,0.0,False,0,1,1,0,0,0
10.16,5.0,5.0,1.0,0.0,75.0,True,0,0,1,0,1,1
26.9,5.0,,1.0,0.0,0.0,True,0,0,0,0,0,0
3.15,3.8,5.0,1.05,20.0,20.0,False,0,1,1,0,0,1
4.54,5.0,5.0,1.0,0.0,0.0,False,0,0,1,0,0,0
0.0,5.0,,1.0,0.0,100.0,False,0,0,0,0,0,0
8.91,5.0,5.0,1.0,0.0,33.3,True,0,0,1,1,0,1
10.37,4.0,4.0,1.25,50.0,75.0,False,0,0,0,0,1,0
1.34,5.0,,1.0,0.0,100.0,False,0,0,0,0,0,0
4.42,4.5,4.5,1.0,0.0,20.0,True,0,0,1,1,0,1
5.99,3.0,5.0,1.0,0.0,100.0,False,0,0,1,1,0,0
1.78,5.0,5.0,1.04,14.3,42.9,True,0,1,1,0,1,1
1.27,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,0,0
8.0,4.8,4.0,1.0,0.0,62.5,True,0,0,1,1,0,1
3.75,5.0,3.7,2.25,66.7,33.3,False,0,0,1,0,1,0
1.38,4.0,5.0,2.0,50.0,0.0,False,0,0,1,0,0,0
4.58,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,1,0
2.34,4.6,4.6,1.02,2.7,83.8,True,0,0,1,1,0,1
27.32,5.0,5.0,1.0,0.0,100.0,False,0,1,1,0,0,1
2.5,4.5,4.6,1.0,0.0,57.1,False,0,0,1,1,0,0
6.87,5.0,4.5,1.2,26.1,52.2,True,0,1,1,1,0,1
5.28,5.0,5.0,1.0,0.0,66.7,False,0,0,1,0,1,1
2.09,5.0,5.0,1.0,0.0,100.0,True,1,0,1,0,1,1
3.69,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,1,1
2.52,5.0,5.0,1.0,0.0,0.0,False,1,0,0,1,0,0
14.93,5.0,,1.0,0.0,0.0,False,0,0,1,0,0,0
11.78,5.0,5.0,1.0,0.0,100.0,False,1,0,0,0,1,1
16.88,3.0,5.0,1.0,0.0,100.0,False,0,0,1,0,1,0
2.34,5.0,5.0,1.0,0.0,0.0,False,0,1,1,0,1,1
0.89,3.0,5.0,1.0,0.0,100.0,False,0,0,1,0,1,0
3.07,5.0,5.0,1.0,0.0,0.0,False,0,0,0,0,0,0
3.81,4.9,4.3,1.04,7.1,57.1,False,1,0,1,1,0,1
19.77,4.0,,1.0,0.0,100.0,True,0,0,1,0,0,0
2.7,4.5,4.5,1.5,50.0,50.0,False,0,1,0,0,1,1
2.66,4.3,4.7,1.0,0.0,72.2,True,0,0,1,1,0,1
2.6,5.0,5.0,1.75,100.0,0.0,False,0,0,0,0,0,0
12.21,5.0,,1.0,0.0,100.0,True,0,1,0,0,1,1
2.34,4.8,4.9,1.04,7.7,0.0,False,0,0,1,1,0,1
10.61,5.0,4.3,1.13,25.0,25.0,True,0,0,0,0,0,0
7.89,5.0,,1.0,0.0,0.0,False,0,1,1,0,1,0
5.31,5.0,,1.0,0.0,100.0,False,1,0,1,1,0,0
1.69,5.0,4.6,1.0,0.0,40.0,False,0,0,0,0,1,1
5.04,4.9,4.8,1.0,0.0,39.1,True,1,0,1,1,0,1
6.8,5.0,5.0,1.0,0.0,100.0,False,0,1,1,0,1,1
17.87,5.0,5.0,1.0,0.0,100.0,True,0,0,1,0,1,1
24.43,5.0,5.0,1.0,0.0,0.0,True,1,0,0,0,0,0
2.69,4.7,5.0,1.04,4.9,46.3,False,0,1,1,1,0,1
18.61,2.0,1.0,1.0,0.0,100.0,True,0,0,1,0,0,0
9.31,4.0,,1.0,0.0,100.0,True,0,0,1,0,0,1
7.17,4.3,5.0,1.0,0.0,45.5,True,0,0,1,1,0,1
12.96,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,1,0
10.68,5.0,,1.0,0.0,100.0,False,0,0,1,0,1,0
1.62,5.0,4.0,1.0,0.0,42.9,True,0,0,0,0,1,1
7.6,5.0,4.5,1.0,0.0,100.0,False,1,0,1,0,0,0
1.53,4.8,5.0,1.09,18.2,45.5,False,0,1,1,1,0,1
5.72,5.0,,1.0,0.0,0.0,False,1,0,0,0,0,0
16.19,4.3,5.0,1.0,0.0,33.3,False,1,0,1,1,0,1
3.28,5.0,5.0,1.0,0.0,100.0,False,1,0,1,0,1,1
12.45,4.8,,1.0,0.0,100.0,False,0,1,0,1,0,1
6.46,4.9,4.4,1.0,0.0,87.5,True,1,0,1,1,0,1
5.05,4.3,5.0,1.13,25.0,25.0,False,0,0,1,0,1,1
13.83,4.8,4.5,1.08,16.7,83.3,True,1,0,1,1,0,0
3.42,5.0,4.0,1.0,0.0,100.0,False,1,0,0,0,0,0
3.04,5.0,5.0,1.38,50.0,50.0,False,0,0,1,0,1,0
17.04,5.0,,1.0,0.0,100.0,True,0,0,1,0,1,0
19.07,5.0,4.5,1.0,0.0,50.0,False,0,0,1,0,0,1
1.13,5.0,5.0,1.0,0.0,100.0,False,0,1,0,1,0,0
2.82,4.0,,1.13,50.0,50.0,True,1,0,0,0,0,0
8.09,5.0,5.0,1.0,0.0,100.0,False,0,0,1,1,0,0
3.34,5.0,,1.15,20.0,100.0,True,0,1,1,0,0,1
20.03,5.0,,1.0,0.0,0.0,False,0,1,0,0,1,1
5.38,5.0,,1.0,0.0,100.0,False,1,0,1,0,0,0
10.73,5.0,5.0,1.0,0.0,0.0,False,1,0,1,0,0,0
17.63,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,1,0
6.2,3.0,3.0,1.0,0.0,100.0,True,0,0,0,0,0,0
4.56,4.9,2.7,1.0,0.0,45.5,True,1,0,1,0,1,0
2.99,4.3,4.2,1.0,0.0,45.5,True,0,0,1,1,0,1
3.56,5.0,5.0,1.0,0.0,87.5,False,0,0,1,1,0,1
1.59,5.0,5.0,1.0,0.0,100.0,True,0,0,1,0,1,1
0.68,5.0,4.0,1.0,0.0,100.0,False,0,0,1,1,0,0
9.15,5.0,4.3,1.0,0.0,66.7,True,0,1,0,1,0,0
5.76,5.0,4.5,1.0,0.0,44.4,False,1,0,1,1,0,0
3.19,4.7,4.6,1.0,0.0,55.6,True,0,0,1,1,0,1
0.7,4.7,4.0,1.0,0.0,100.0,True,0,0,0,1,0,0
7.69,5.0,5.0,1.25,25.0,0.0,False,0,0,1,0,1,0
1.86,4.5,5.0,1.0,0.0,37.5,True,0,0,1,0,1,1
5.82,5.0,5.0,1.0,0.0,100.0,True,1,0,1,0,1,0
3.84,5.0,5.0,1.09,12.5,50.0,False,0,1,1,1,0,1
2.32,5.0,,1.0,0.0,100.0,True,1,0,0,0,0,0
2.37,5.0,,1.0,0.0,0.0,True,0,1,1,0,1,1
1.17,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,0,0
6.0,,2.0,4.0,100.0,0.0,False,1,0,1,0,0,0
4.14,5.0,4.6,1.1,15.4,69.2,True,0,0,0,1,0,0
3.23,5.0,5.0,1.0,0.0,100.0,True,1,0,0,0,1,0
1.82,,,1.0,0.0,0.0,False,0,0,1,0,0,0
3.29,4.8,5.0,1.0,0.0,0.0,False,1,0,1,0,1,1
13.12,5.0,,1.0,0.0,0.0,False,0,0,1,0,0,0
2.51,4.3,4.5,1.21,42.9,14.3,True,0,1,1,1,0,1
0.63,5.0,,1.0,0.0,100.0,True,1,0,1,0,1,0
1.83,5.0,3.8,1.19,17.6,76.5,False,0,1,1,1,0,0
1.88,5.0,4.8,1.08,16.7,33.3,False,1,0,1,1,0,0
3.34,4.5,4.0,1.13,25.0,25.0,False,1,0,1,1,0,0
7.81,4.8,4.9,1.12,14.8,44.4,True,1,0,1,0,0,1
3.57,5.0,,1.0,0.0,0.0,False,1,0,1,0,1,0
1.34,5.0,,1.0,0.0,100.0,True,0,0,0,0,1,0
3.3,4.7,3.7,1.0,0.0,78.6,True,1,0,1,1,0,1
6.71,5.0,,1.0,0.0,0.0,False,1,0,0,0,1,0
2.41,4.9,4.9,1.22,27.3,63.6,False,1,0,1,1,0,1
8.08,5.0,5.0,1.0,0.0,100.0,False,1,0,1,0,0,0
2.43,5.0,4.2,1.29,14.3,71.4,False,0,1,1,0,1,1
0.59,5.0,5.0,1.0,0.0,100.0,True,1,0,1,0,1,0
14.51,5.0,,1.0,0.0,0.0,True,0,0,1,0,0,0
5.21,5.0,5.0,1.0,0.0,0.0,True,0,1,0,0,0,0
2.96,5.0,5.0,1.0,0.0,33.3,False,0,0,1,1,0,1
5.93,5.0,5.0,1.0,0.0,100.0,False,0,1,1,0,0,1
10.43,5.0,5.0,1.25,100.0,100.0,False,1,0,0,0,0,0
1.85,4.6,5.0,1.0,0.0,88.3,False,0,0,0,1,0,1
3.03,4.6,5.0,1.23,20.9,56.7,True,0,0,1,1,0,1
4.65,5.0,5.0,1.0,0.0,33.3,False,0,0,1,0,1,1
2.82,4.8,4.3,1.0,0.0,66.7,False,0,0,0,1,0,0
2.05,4.7,5.0,1.0,0.0,33.3,False,0,0,1,0,1,0
19.81,5.0,5.0,2.0,50.0,100.0,True,0,0,0,0,1,0
7.5,4.8,4.0,1.01,1.7,70.9,True,0,1,1,1,0,1
1.64,5.0,5.0,1.0,0.0,0.0,True,0,1,0,0,0,0
3.18,4.9,4.6,1.0,0.0,57.1,True,0,0,1,1,0,1
4.56,4.5,2.0,1.0,0.0,50.0,False,0,0,1,0,0,1
8.07,3.0,,1.0,0.0,100.0,False,0,1,1,0,1,1
1.84,5.0,4.0,1.0,0.0,0.0,True,0,0,1,1,0,0
4.07,2.5,5.0,1.0,0.0,100.0,False,0,0,0,0,0,0
2.48,4.9,4.8,1.06,11.7,60.0,True,0,1,0,1,0,1
2.34,4.9,4.9,1.0,0.0,23.1,True,0,1,0,0,1,1
1.89,4.6,4.8,1.0,0.0,100.0,True,0,0,1,1,0,0
11.86,4.0,,1.0,0.0,0.0,False,0,0,1,0,1,1
3.83,5.0,5.0,1.04,16.7,66.7,False,1,0,0,1,0,0
14.59,5.0,5.0,1.0,0.0,0.0,False,1,0,1,0,0,0
1.43,5.0,5.0,1.0,0.0,100.0,False,0,1,0,0,1,1
6.46,5.0,5.0,1.0,0.0,33.3,False,0,1,1,0,0,1
31.01,5.0,5.0,1.0,0.0,100.0,False,1,0,0,0,0,0
5.21,5.0,5.0,1.0,0.0,100.0,False,1,0,1,1,0,0
14.79,5.0,5.0,1.0,0.0,100.0,False,1,0,0,0,1,0
3.84,4.9,4.5,1.0,0.0,50.0,False,1,0,0,1,0,1
7.34,5.0,3.3,1.0,0.0,25.0,False,1,0,1,0,1,0
3.13,5.0,4.3,1.0,0.0,100.0,True,0,0,1,0,1,0
1.58,5.0,,1.0,0.0,50.0,False,0,0,1,0,0,0
4.42,5.0,5.0,1.0,0.0,0.0,False,0,0,1,0,0,0
5.73,5.0,4.8,1.0,0.0,60.0,False,0,1,1,0,0,1
7.85,5.0,,1.0,0.0,100.0,False,1,0,0,0,1,0
2.88,4.9,4.9,1.03,13.0,65.2,False,0,1,1,1,0,1
6.75,5.0,5.0,1.0,0.0,0.0,True,1,0,1,0,0,0
6.25,5.0,5.0,1.0,0.0,0.0,True,1,0,1,0,0,0
2.51,4.9,4.5,1.05,8.6,93.1,True,0,1,1,1,0,1
5.54,5.0,,1.0,0.0,0.0,True,1,0,1,0,0,0
10.1,5.0,5.0,1.0,0.0,50.0,True,1,0,0,1,0,0
7.04,5.0,4.0,1.13,25.0,100.0,False,0,0,1,0,0,1
3.23,5.0,5.0,1.0,0.0,40.0,True,0,1,0,0,1,1
3.95,5.0,5.0,1.0,0.0,100.0,False,1,0,1,0,0,1
2.48,4.8,4.9,1.1,8.6,62.9,True,0,1,1,1,0,1
1.76,4.8,3.7,1.1,8.3,66.7,True,0,0,1,1,0,1
2.41,5.0,5.0,1.0,0.0,50.0,True,1,0,1,0,0,0
1.37,5.0,5.0,1.0,0.0,100.0,False,0,0,0,0,0,0
1.55,5.0,3.0,1.0,0.0,25.0,True,1,0,1,0,0,1
2.56,5.0,,1.0,0.0,0.0,False,0,0,1,0,0,0
1.64,4.9,5.0,1.02,9.1,81.8,True,0,1,1,1,0,1
4.95,4.7,5.0,1.0,0.0,100.0,False,1,0,1,0,1,0
4.63,5.0,3.5,1.0,0.0,0.0,False,0,0,0,1,0,0
18.86,5.0,5.0,1.0,0.0,100.0,False,0,0,1,0,1,0
6.03,5.0,3.3,1.0,0.0,33.3,True,0,0,0,0,0,1
2.0,4.8,5.0,1.0,0.0,64.0,False,0,1,1,1,0,1
0.84,5.0,4.7,1.0,0.0,50.0,False,1,0,0,1,0,0
7.09,5.0,4.0,1.0,0.0,0.0,True,1,0,1,1,0,0
1.73,5.0,,1.0,0.0,0.0,False,0,0,0,0,0,0
2.85,5.0,5.0,2.0,100.0,0.0,False,0,0,0,0,1,1
1.22,5.0,,1.25,50.0,0.0,False,0,1,0,0,1,1
0.0,5.0,4.0,1.0,0.0,100.0,False,0,0,0,0,0,0
3.96,4.7,4.6,1.0,0.0,85.7,True,1,0,1,0,0,1
1.71,4.8,5.0,1.03,12.5,62.5,True,1,0,1,0,1,1
8.17,4.8,3.8,1.0,0.0,80.0,False,0,0,0,0,0,1
5.55,5.0,5.0,1.33,33.3,33.3,True,0,1,1,0,1,0
3.29,4.8,5.0,1.0,0.0,50.0,False,1,0,0,0,0,1
8.11,5.0,,1.0,0.0,0.0,True,1,0,1,0,0,0
5.96,4.8,4.9,1.0,0.0,75.0,False,0,0,1,0,1,1
6.79,5.0,5.0,1.0,0.0,0.0,False,0,1,1,0,0,0
2.05,5.0,4.9,1.0,0.0,28.6,False,0,0,1,0,1,1
4.11,4.9,4.9,1.02,10.0,50.0,False,1,0,1,1,0,1
