Date,Price
2016-05-12,10.1
2016-05-13,10.48
2016-05-14,10.14
2016-05-15,9.94
2016-05-16,11.04
2016-05-17,12.26
2016-05-18,13.29
2016-05-19,14.49
2016-05-20,13.73
2016-05-21,13.95
2016-05-22,14.21
2016-05-23,13.45
2016-05-24,12.62
2016-05-25,12.53
2016-05-26,12.37
2016-05-27,11.11
2016-05-28,11.56
2016-05-29,12.28
2016-05-30,12.48
2016-05-31,13.85
2016-06-01,13.83
2016-06-02,13.78
2016-06-03,13.78
2016-06-04,13.66
2016-06-05,13.85
2016-06-06,13.96
2016-06-07,14.41
2016-06-08,14.44
2016-06-09,14.49
2016-06-10,13.97
2016-06-11,14.01
2016-06-12,15.57
2016-06-13,17.55
2016-06-14,18.7
2016-06-15,18.3
2016-06-16,20.61
2016-06-17,15.49
2016-06-18,11.36
2016-06-19,12.33
2016-06-20,11.7
2016-06-21,12.71
2016-06-22,13.21
2016-06-23,13.58
2016-06-24,14.25
2016-06-25,14.28
2016-06-26,13.82
2016-06-27,14.04
2016-06-28,12.15
2016-06-29,12.76
2016-06-30,12.4
2016-07-01,12.23
2016-07-02,12.04
2016-07-03,11.85
2016-07-04,11.34
2016-07-05,10.45
2016-07-06,10.51
2016-07-07,10.07
2016-07-08,11.3
2016-07-09,10.92
2016-07-10,10.97
2016-07-11,10.58
2016-07-12,10.54
2016-07-13,10.44
2016-07-14,11.55
2016-07-15,11.88
2016-07-16,11.59
2016-07-17,11.19
2016-07-18,11.03
2016-07-19,11.63
2016-07-20,12.54
2016-07-21,12.66
2016-07-22,14.82
2016-07-23,14.4
2016-07-24,12.63
2016-07-25,13.84
2016-07-26,12.08
2016-07-27,13.05
2016-07-28,12.87
2016-07-29,12.87
2016-07-30,12.57
2016-07-31,11.86
2016-08-01,11.04
2016-08-02,8.3
2016-08-03,10.42
2016-08-04,11.21
2016-08-05,11.05
2016-08-06,10.95
2016-08-07,10.98
2016-08-08,11.29
2016-08-09,12.22
2016-08-10,12.22
2016-08-11,11.68
2016-08-12,11.78
2016-08-13,11.56
2016-08-14,11.21
2016-08-15,11.21
2016-08-16,11.17
2016-08-17,10.77
2016-08-18,10.77
2016-08-19,10.71
2016-08-20,11.28
2016-08-21,11.14
2016-08-22,11.07
2016-08-23,11.01
2016-08-24,11.01
2016-08-25,11.35
2016-08-26,11.26
2016-08-27,11.19
2016-08-28,10.99
2016-08-29,10.95
2016-08-30,11.21
2016-08-31,11.55
2016-09-01,12.21
2016-09-02,12.08
2016-09-03,11.85
2016-09-04,11.71
2016-09-05,11.75
2016-09-06,11.7
2016-09-07,11.59
2016-09-08,11.39
2016-09-09,11.72
2016-09-10,12.05
2016-09-11,11.64
2016-09-12,11.89
2016-09-13,11.92
2016-09-14,11.97
2016-09-15,11.96
2016-09-16,12.61
2016-09-17,12.83
2016-09-18,12.39
2016-09-19,12.93
2016-09-20,14.72
2016-09-21,13.72
2016-09-22,13.11
2016-09-23,13.36
2016-09-24,12.91
2016-09-25,13.05
2016-09-26,12.89
2016-09-27,13.09
2016-09-28,13.3
2016-09-29,13.17
2016-09-30,13.24
2016-10-01,13.21
2016-10-02,13.23
2016-10-03,13.45
2016-10-04,13.32
2016-10-05,13.09
2016-10-06,12.87
2016-10-07,12.68
2016-10-08,12.24
2016-10-09,12.06
2016-10-10,11.74
2016-10-11,11.75
2016-10-12,11.77
2016-10-13,12.02
2016-10-14,11.9
2016-10-15,11.96
2016-10-16,11.93
2016-10-17,11.98
2016-10-18,12.5
2016-10-19,11.98
2016-10-20,12.05
2016-10-21,12.07
2016-10-22,12.06
2016-10-23,11.95
2016-10-24,11.93
2016-10-25,11.38
2016-10-26,11.5
2016-10-27,11.43
2016-10-28,11.08
2016-10-29,10.39
2016-10-30,11.22
2016-10-31,10.91
2016-11-01,10.75
2016-11-02,10.82
2016-11-03,10.86
2016-11-04,11.13
2016-11-05,11.11
2016-11-06,10.97
2016-11-07,10.9
2016-11-08,10.86
2016-11-09,10.64
2016-11-10,10.52
2016-11-11,10.29
2016-11-12,9.96
2016-11-13,10.13
2016-11-14,10.0
2016-11-15,10.22
2016-11-16,10.01
2016-11-17,9.95
2016-11-18,9.53
2016-11-19,9.7
2016-11-20,9.57
2016-11-21,9.56
2016-11-22,9.84
2016-11-23,9.78
2016-11-24,9.22
2016-11-25,9.39
2016-11-26,9.34
2016-11-27,8.91
2016-11-28,8.66
2016-11-29,8.18
2016-11-30,8.59
2016-12-01,8.44
2016-12-02,7.65
2016-12-03,7.9
2016-12-04,7.54
2016-12-05,6.69
2016-12-06,7.61
2016-12-07,8.35
2016-12-08,8.3
2016-12-09,8.52
2016-12-10,8.09
2016-12-11,8.2
2016-12-12,8.45
2016-12-13,8.4
2016-12-14,8.23
2016-12-15,7.76
2016-12-16,7.85
2016-12-17,7.66
2016-12-18,7.89
2016-12-19,7.61
2016-12-20,7.59
2016-12-21,7.87
2016-12-22,7.64
2016-12-23,7.16
2016-12-24,7.23
2016-12-25,7.19
2016-12-26,7.21
2016-12-27,7.15
2016-12-28,7.57
2016-12-29,8.21
2016-12-30,8.16
2016-12-31,8.05
2017-01-01,8.14
2017-01-02,8.33
2017-01-03,9.59
2017-01-04,10.88
2017-01-05,10.2
2017-01-06,10.07
2017-01-07,9.78
2017-01-08,10.27
2017-01-09,10.2
2017-01-10,10.55
2017-01-11,9.83
2017-01-12,9.81
2017-01-13,9.78
2017-01-14,9.78
2017-01-15,9.88
2017-01-16,9.59
2017-01-17,10.14
2017-01-18,10.19
2017-01-19,10.43
2017-01-20,10.6
2017-01-21,10.91
2017-01-22,10.71
2017-01-23,10.78
2017-01-24,10.51
2017-01-25,10.51
2017-01-26,10.65
2017-01-27,10.51
2017-01-28,10.54
2017-01-29,10.47
2017-01-30,10.62
2017-01-31,10.71
2017-02-01,10.71
2017-02-02,10.78
2017-02-03,10.95
2017-02-04,11.32
2017-02-05,11.22
2017-02-06,11.32
2017-02-07,11.45
2017-02-08,11.39
2017-02-09,10.94
2017-02-10,11.34
2017-02-11,11.43
2017-02-12,11.42
2017-02-13,11.39
2017-02-14,13.0
2017-02-15,12.97
2017-02-16,12.95
2017-02-17,12.72
2017-02-18,12.83
2017-02-19,12.82
2017-02-20,12.52
2017-02-21,12.77
2017-02-22,12.69
2017-02-23,13.13
2017-02-24,13.11
2017-02-25,13.57
2017-02-26,14.59
2017-02-27,15.55
2017-02-28,16.07
2017-03-01,17.55
2017-03-02,19.08
2017-03-03,19.48
2017-03-04,18.61
2017-03-05,19.22
2017-03-06,19.75
2017-03-07,18.91
2017-03-08,16.54
2017-03-09,17.71
2017-03-10,19.13
2017-03-11,21.45
2017-03-12,23.31
2017-03-13,28.45
2017-03-14,28.58
2017-03-15,35.18
2017-03-16,45.51
2017-03-17,44.48
2017-03-18,34.0
2017-03-19,43.12
2017-03-20,42.51
2017-03-21,42.67
2017-03-22,41.65
2017-03-23,43.2
2017-03-24,53.19
2017-03-25,50.62
2017-03-26,50.63
2017-03-27,49.06
2017-03-28,50.25
2017-03-29,53.07
2017-03-30,51.91
2017-03-31,49.91
2017-04-01,50.6
2017-04-02,48.55
2017-04-03,44.13
2017-04-04,44.43
2017-04-05,44.9
2017-04-06,43.23
2017-04-07,42.31
2017-04-08,44.37
2017-04-09,43.72
2017-04-10,43.74
2017-04-11,43.74
2017-04-12,46.38
2017-04-13,49.97
2017-04-14,47.32
2017-04-15,48.89
2017-04-16,48.22
2017-04-17,47.94
2017-04-18,49.88
2017-04-19,47.88
2017-04-20,49.36
2017-04-21,48.27
2017-04-22,48.41
2017-04-23,48.75
2017-04-24,49.94
2017-04-25,50.09
2017-04-26,53.28
2017-04-27,63.14
2017-04-28,72.42
2017-04-29,69.83
2017-04-30,79.83
2017-05-01,77.53
2017-05-02,77.25
2017-05-03,80.37
2017-05-04,94.55
2017-05-05,90.79
2017-05-06,94.82
2017-05-07,90.46
2017-05-08,88.39
2017-05-09,86.27
2017-05-10,87.83
2017-05-11,88.2
2017-05-12,85.15
2017-05-13,87.96
2017-05-14,88.72
2017-05-15,90.32
2017-05-16,87.8
2017-05-17,86.98
2017-05-18,95.88
2017-05-19,124.38
2017-05-20,123.06
2017-05-21,148.0
2017-05-22,160.39
2017-05-23,169.5
2017-05-24,193.03
2017-05-25,180.87
2017-05-26,163.81
2017-05-27,159.77
2017-05-28,175.53
2017-05-29,194.91
2017-05-30,228.59
2017-05-31,228.47
2017-06-01,222.03
2017-06-02,221.91
2017-06-03,224.95
2017-06-04,245.45
2017-06-05,247.98
2017-06-06,264.69
2017-06-07,255.99
2017-06-08,258.64
2017-06-09,279.39
2017-06-10,341.61
2017-06-11,343.03
2017-06-12,397.18
2017-06-13,387.99
2017-06-14,341.7
2017-06-15,343.73
2017-06-16,354.26
2017-06-17,368.99
2017-06-18,351.38
2017-06-19,358.71
2017-06-20,350.89
2017-06-21,326.73
2017-06-22,320.02
2017-06-23,326.96
2017-06-24,304.92
2017-06-25,278.4
2017-06-26,251.64
2017-06-27,287.24
2017-06-28,315.32
2017-06-29,292.98
2017-06-30,280.73
2017-07-01,262.52
2017-07-02,284.46
2017-07-03,276.37
2017-07-04,269.0
2017-07-05,265.98
2017-07-06,266.01
2017-07-07,241.19
2017-07-08,246.68
2017-07-09,237.67
2017-07-10,204.56
2017-07-11,190.61
2017-07-12,224.81
2017-07-13,204.99
2017-07-14,197.23
2017-07-15,168.42
2017-07-16,155.47
2017-07-17,190.73
2017-07-18,227.0
2017-07-19,194.14
2017-07-20,226.35
2017-07-21,217.0
2017-07-22,230.69
2017-07-23,228.34
2017-07-24,225.76
2017-07-25,203.79
2017-07-26,203.01
2017-07-27,199.62
2017-07-28,193.51
2017-07-29,179.34
2017-07-30,194.16
2017-07-31,200.82
2017-08-01,225.73
2017-08-02,217.92
2017-08-03,224.0
2017-08-04,220.72
2017-08-05,251.85
2017-08-06,264.16
2017-08-07,269.9
2017-08-08,295.95
2017-08-09,295.26
2017-08-10,300.52
2017-08-11,309.65
2017-08-12,308.35
2017-08-13,296.67
2017-08-14,299.16
2017-08-15,286.71
2017-08-16,300.45
2017-08-17,300.66
2017-08-18,292.87
2017-08-19,293.58
2017-08-20,297.79
2017-08-21,321.99
2017-08-22,314.19
2017-08-23,317.5
2017-08-24,324.56
2017-08-25,330.14
2017-08-26,332.99
2017-08-27,348.2
2017-08-28,347.54
2017-08-29,372.48
2017-08-30,384.1
2017-08-31,389.2
2017-09-01,392.87
2017-09-02,354.85
2017-09-03,353.06
2017-09-04,316.87
2017-09-05,320.08
2017-09-06,339.38
2017-09-07,335.56
2017-09-08,308.0
2017-09-09,304.99
2017-09-10,300.33
2017-09-11,298.47
2017-09-12,294.5
2017-09-13,275.71
2017-09-14,223.84
2017-09-15,260.88
2017-09-16,255.85
2017-09-17,259.66
2017-09-18,298.0
2017-09-19,282.55
2017-09-20,283.34
2017-09-21,258.11
2017-09-22,263.88
2017-09-23,286.03
2017-09-24,283.21
2017-09-25,294.41
2017-09-26,288.77
2017-09-27,309.85
2017-09-28,302.33
2017-09-29,291.99
