max_depth,min_samples_leaf,learn_rate,accuracy
32,5,0.904832215,38
46,3,0.9181879190000001,38
38,5,0.878120805,38
32,5,0.624362416,38
22,11,1.77295302,37
23,12,0.517516779,37
38,12,0.8246979870000001,37
32,6,0.784630872,37
56,7,0.69114094,37
50,5,0.7312080540000001,37
56,5,0.477449664,36
60,8,0.263758389,36
44,15,1.786308725,36
59,5,0.21033557,36
28,4,0.8647651009999999,36
45,12,1.2253691279999999,35
24,6,0.8380536909999999,35
27,5,0.076778523,35
29,9,0.878120805,35
58,15,1.0784563759999999,35
29,5,0.797986577,35
51,9,0.8246979870000001,34
51,3,0.370604027,34
51,14,1.238724832,34
51,8,0.66442953,34
61,6,0.170268456,33
27,9,0.9181879190000001,33
51,5,0.156912752,33
55,8,0.677785235,33
33,11,1.11852349,33
46,5,0.931543624,33
36,13,1.706174497,32
30,13,1.131879195,32
22,6,0.624362416,32
21,13,1.906510067,31
61,6,0.584295302,31
51,10,1.265436242,31
64,14,1.906510067,30
54,13,1.719530201,30
21,13,1.252080537,30
23,14,1.973288591,30
25,4,0.904832215,30
54,3,0.156912752,29
48,10,1.025033557,29
52,7,0.397315436,29
60,6,0.757919463,29
34,7,0.69114094,29
61,8,0.971610738,28
22,12,1.959932886,28
49,3,0.530872483,28
51,3,0.290469799,28
53,9,0.01,28
29,8,0.076778523,28
36,14,1.8397315440000002,28
43,13,1.425704698,28
59,16,1.639395973,27
22,9,0.156912752,27
56,5,0.744563758,27
34,8,0.517516779,27
51,9,0.984966443,27
45,8,0.7178523490000001,27
35,10,1.038389262,27
45,4,0.7312080540000001,27
43,12,1.7462416109999999,27
61,5,0.357248322,27
63,15,1.959932886,26
24,14,1.398993289,26
22,5,0.277114094,26
61,4,0.23704698,26
49,5,0.9448993290000001,26
34,3,0.878120805,26
47,5,0.410671141,26
48,5,0.343892617,26
44,11,1.79966443,26
50,12,1.959932886,26
24,5,0.677785235,26
41,12,1.3856375840000001,25
42,10,1.3856375840000001,25
39,3,0.317181208,25
53,12,1.439060403,24
38,8,0.9181879190000001,24
40,11,1.4924832209999999,24
50,9,0.784630872,24
27,9,0.504161074,24
35,7,0.410671141,24
43,10,1.559261745,24
44,9,0.343892617,23
27,7,0.09013422800000001,23
25,7,0.130201342,23
21,4,1.532550336,23
40,15,1.131879195,23
29,10,1.6527516780000002,23
60,8,1.9332214769999998,22
54,6,1.265436242,22
63,8,1.79966443,22
29,9,1.6527516780000002,22
59,15,1.4657718119999998,22
64,16,1.439060403,22
36,10,1.171946309,22
50,8,1.8797986580000001,22
54,8,1.0784563759999999,22
38,5,1.54590604,22
41,8,0.317181208,22
40,6,1.813020134,22
59,6,0.036711409,22
57,13,2.0,21
64,9,1.185302013,21
24,9,1.358926174,21
57,11,1.0784563759999999,21
40,6,1.57261745,21
63,11,2.0,21
46,9,1.893154362,21
47,15,1.452416107,21
55,10,1.706174497,21
25,16,1.452416107,21
35,3,1.532550336,21
33,14,1.252080537,21
53,12,1.212013423,21
52,16,1.906510067,21
62,15,1.612684564,20
31,9,1.238724832,20
64,12,1.4924832209999999,20
43,4,1.31885906,19
53,9,1.305503356,19
52,5,1.252080537,19
38,10,1.6260402680000001,19
40,11,1.011677852,19
55,16,1.786308725,19
31,5,1.252080537,19
36,9,1.79966443,19
59,14,1.278791946,19
23,6,0.984966443,19
52,15,1.305503356,18
31,16,1.505838926,18
50,12,1.826375839,18
62,6,1.826375839,18
48,12,1.332214765,18
64,8,1.986644295,18
59,9,1.826375839,18
60,3,1.105167785,18
31,8,1.278791946,18
31,11,1.826375839,18
42,4,1.252080537,17
29,15,1.372281879,17
61,16,1.198657718,17
23,14,1.278791946,17
23,3,1.719530201,17
24,7,1.6794630869999998,17
59,16,1.7462416109999999,17
25,4,1.8397315440000002,17
32,7,1.9465771809999999,17
28,7,1.786308725,17
62,3,1.11852349,16
49,3,1.8797986580000001,16
51,8,1.9332214769999998,16
22,8,1.011677852,16
29,6,1.158590604,16
34,11,1.332214765,16
35,11,1.6527516780000002,16
23,3,1.6794630869999998,16
56,7,1.131879195,16
55,11,1.906510067,16
33,8,1.0784563759999999,16
53,4,1.9332214769999998,16
43,5,1.639395973,16
35,8,1.171946309,16
44,5,1.439060403,16
58,11,1.906510067,16
30,10,1.252080537,16
64,12,1.011677852,15
31,5,1.759597315,15
32,13,1.6794630869999998,15
45,7,1.185302013,15
52,9,1.4657718119999998,15
60,16,1.853087248,15
42,10,1.452416107,15
39,6,1.813020134,15
54,15,1.8397315440000002,15
61,16,1.051744966,15
29,13,1.9332214769999998,14
45,4,1.826375839,14
50,7,1.025033557,14
23,10,2.0,14
64,15,1.639395973,14
51,9,1.011677852,13
44,9,1.452416107,13
33,7,1.9465771809999999,13
52,16,1.9465771809999999,13
41,5,1.332214765,13
42,5,1.011677852,12
45,12,1.8797986580000001,12
34,4,1.986644295,12
34,15,1.732885906,12
25,8,1.57261745,11
41,9,1.79966443,11
45,7,1.54590604,11
53,3,1.79966443,11
53,6,1.332214765,11
52,16,1.5859731540000002,10
54,5,1.0784563759999999,10
56,10,1.9198657719999999,10
31,3,1.959932886,10
22,3,1.398993289,10
40,4,1.6260402680000001,10
26,6,1.8397315440000002,10
58,4,1.786308725,10
44,8,1.599328859,10
27,6,1.372281879,10
