"","country","social_support","freedom","corruption","generosity","gdp_per_cap","life_exp","happiness_score"
"119","Chad",141,142,80,106,1740,60.6,24
"120","Ukraine",56,141,143,66,8480,70.8,23
"121","Ethiopia",119,106,53,99,1900,69.1,22
"122","Swaziland",103,113,41,145,9560,61.8,21
"123","Uganda",114,99,95,74,1870,66.6,20
"124","Egypt",118,129,89,132,11400,71,19
"125","Zambia",115,73,69,53,3700,64,18
"126","Togo",149,120,72,131,1610,65,17
"127","India",142,41,73,65,7230,69.5,16
"128","Liberia",127,94,126,110,1140,65.2,15
"129","Comoros",143,148,81,62,2480,69.1,14
"130","Madagascar",128,146,116,136,1490,64.2,13
"131","Lesotho",98,97,59,151,2920,56.1,12
"132","Burundi",152,135,23,149,644,62.3,11
"133","Zimbabwe",110,96,63,141,2390,62,10
"134","Haiti",146,152,48,20,1640,65.7,9
"135","Botswana",105,60,54,150,16800,69.8,8
"136","Syria",154,153,38,69,2900,71.5,7
"137","Malawi",150,65,64,109,1180,64.2,6
"138","Yemen",100,147,83,155,2340,68.1,5
"139","Rwanda",144,21,2,90,2110,69.1,4
"140","Tanzania",131,78,34,49,2980,67.7,3
"141","Afghanistan",151,155,136,137,1760,64.1,2
"142","Central African Republic",155,133,122,113,794,52.9,1
"143","South Sudan",148,154,61,85,1860,59.7,0
