id,date,store,item,sales
100094,2017-12-02,4,1,29
100095,2017-12-03,4,1,19
100096,2017-12-04,4,1,11
100097,2017-12-05,4,1,12
100098,2017-12-06,4,1,17
100099,2017-12-07,4,1,25
100100,2017-12-08,4,1,22
100101,2017-12-09,4,1,24
100102,2017-12-10,4,1,27
100103,2017-12-11,4,1,18
100104,2017-12-12,4,1,22
100105,2017-12-13,4,1,12
100106,2017-12-14,4,1,29
100107,2017-12-15,4,1,25
100108,2017-12-16,4,1,21
100109,2017-12-17,4,1,18
100110,2017-12-18,4,1,18
100111,2017-12-19,4,1,19
100112,2017-12-20,4,1,17
100113,2017-12-21,4,1,17
100114,2017-12-22,4,1,22
100115,2017-12-23,4,1,23
100116,2017-12-24,4,1,25
100117,2017-12-25,4,1,16
100118,2017-12-26,4,1,18
100119,2017-12-27,4,1,15
100120,2017-12-28,4,1,26
100121,2017-12-29,4,1,28
100122,2017-12-30,4,1,21
100123,2017-12-31,4,1,23
100124,2017-12-01,5,1,9
100125,2017-12-02,5,1,20
100126,2017-12-03,5,1,14
100127,2017-12-04,5,1,9
100128,2017-12-05,5,1,9
100129,2017-12-06,5,1,18
100130,2017-12-07,5,1,13
100131,2017-12-08,5,1,15
100132,2017-12-09,5,1,24
100133,2017-12-10,5,1,12
100134,2017-12-11,5,1,10
100135,2017-12-12,5,1,16
100136,2017-12-13,5,1,17
100137,2017-12-14,5,1,17
100138,2017-12-15,5,1,18
100139,2017-12-16,5,1,18
100140,2017-12-17,5,1,11
100141,2017-12-18,5,1,4
100142,2017-12-19,5,1,16
100143,2017-12-20,5,1,13
100144,2017-12-21,5,1,10
100145,2017-12-22,5,1,14
100146,2017-12-23,5,1,22
100147,2017-12-24,5,1,14
100148,2017-12-25,5,1,17
100149,2017-12-26,5,1,12
100150,2017-12-27,5,1,15
100151,2017-12-28,5,1,13
100152,2017-12-29,5,1,18
100153,2017-12-30,5,1,19
100154,2017-12-31,5,1,24
100155,2017-12-01,6,1,11
100156,2017-12-02,6,1,18
100157,2017-12-03,6,1,15
100158,2017-12-04,6,1,14
100159,2017-12-05,6,1,16
100160,2017-12-06,6,1,10
100161,2017-12-07,6,1,6
100162,2017-12-08,6,1,11
100163,2017-12-09,6,1,14
100164,2017-12-10,6,1,24
100165,2017-12-11,6,1,9
100166,2017-12-12,6,1,13
100167,2017-12-13,6,1,11
100168,2017-12-14,6,1,10
100169,2017-12-15,6,1,15
100170,2017-12-16,6,1,23
100171,2017-12-17,6,1,14
100172,2017-12-18,6,1,15
100173,2017-12-19,6,1,16
100174,2017-12-20,6,1,7
100175,2017-12-21,6,1,13
100176,2017-12-22,6,1,13
100177,2017-12-23,6,1,13
100178,2017-12-24,6,1,21
100179,2017-12-25,6,1,10
100180,2017-12-26,6,1,14
100181,2017-12-27,6,1,14
100182,2017-12-28,6,1,8
100183,2017-12-29,6,1,16
100184,2017-12-30,6,1,10
100185,2017-12-31,6,1,19
100186,2017-12-01,7,1,15
100187,2017-12-02,7,1,17
100188,2017-12-03,7,1,9
100189,2017-12-04,7,1,9
100190,2017-12-05,7,1,13
100191,2017-12-06,7,1,15
100192,2017-12-07,7,1,12
100193,2017-12-08,7,1,21
100194,2017-12-09,7,1,15
100195,2017-12-10,7,1,17
100196,2017-12-11,7,1,7
100197,2017-12-12,7,1,10
100198,2017-12-13,7,1,12
100199,2017-12-14,7,1,14
100200,2017-12-15,7,1,15
100201,2017-12-16,7,1,12
100202,2017-12-17,7,1,10
100203,2017-12-18,7,1,10
100204,2017-12-19,7,1,13
100205,2017-12-20,7,1,10
100206,2017-12-21,7,1,10
100207,2017-12-22,7,1,12
100208,2017-12-23,7,1,14
100209,2017-12-24,7,1,13
100210,2017-12-25,7,1,8
100211,2017-12-26,7,1,9
100212,2017-12-27,7,1,13
100213,2017-12-28,7,1,18
100214,2017-12-29,7,1,18
100215,2017-12-30,7,1,17
100216,2017-12-31,7,1,16
100217,2017-12-01,8,1,28
100218,2017-12-02,8,1,29
100219,2017-12-03,8,1,35
100220,2017-12-04,8,1,18
100221,2017-12-05,8,1,26
100222,2017-12-06,8,1,21
100223,2017-12-07,8,1,21
100224,2017-12-08,8,1,20
100225,2017-12-09,8,1,28
100226,2017-12-10,8,1,27
100227,2017-12-11,8,1,24
100228,2017-12-12,8,1,18
100229,2017-12-13,8,1,14
100230,2017-12-14,8,1,17
100231,2017-12-15,8,1,26
100232,2017-12-16,8,1,22
100233,2017-12-17,8,1,23
100234,2017-12-18,8,1,17
100235,2017-12-19,8,1,19
100236,2017-12-20,8,1,18
100237,2017-12-21,8,1,33
100238,2017-12-22,8,1,36
100239,2017-12-23,8,1,17
100240,2017-12-24,8,1,22
100241,2017-12-25,8,1,17
100242,2017-12-26,8,1,22
100243,2017-12-27,8,1,13
100244,2017-12-28,8,1,25
100245,2017-12-29,8,1,34
100246,2017-12-30,8,1,30
100247,2017-12-31,8,1,26
100248,2017-12-01,9,1,19
100249,2017-12-02,9,1,15
100250,2017-12-03,9,1,30
100251,2017-12-04,9,1,16
100252,2017-12-05,9,1,19
100253,2017-12-06,9,1,22
100254,2017-12-07,9,1,12
100255,2017-12-08,9,1,17
100256,2017-12-09,9,1,22
100257,2017-12-10,9,1,20
100258,2017-12-11,9,1,14
100259,2017-12-12,9,1,17
100260,2017-12-13,9,1,11
100261,2017-12-14,9,1,23
100262,2017-12-15,9,1,13
100263,2017-12-16,9,1,18
100264,2017-12-17,9,1,30
100265,2017-12-18,9,1,14
100266,2017-12-19,9,1,19
100267,2017-12-20,9,1,18
100268,2017-12-21,9,1,21
100269,2017-12-22,9,1,20
100270,2017-12-23,9,1,19
100271,2017-12-24,9,1,33
100272,2017-12-25,9,1,14
100273,2017-12-26,9,1,17
100274,2017-12-27,9,1,16
100275,2017-12-28,9,1,19
100276,2017-12-29,9,1,16
100277,2017-12-30,9,1,31
100278,2017-12-31,9,1,19
100279,2017-12-01,10,1,22
100280,2017-12-02,10,1,19
100281,2017-12-03,10,1,27
100282,2017-12-04,10,1,16
100283,2017-12-05,10,1,23
100284,2017-12-06,10,1,17
100285,2017-12-07,10,1,17
100286,2017-12-08,10,1,15
100287,2017-12-09,10,1,22
100288,2017-12-10,10,1,20
100289,2017-12-11,10,1,13
100290,2017-12-12,10,1,26
100291,2017-12-13,10,1,19
100292,2017-12-14,10,1,16
100293,2017-12-15,10,1,25
100294,2017-12-16,10,1,22
100295,2017-12-17,10,1,23
100296,2017-12-18,10,1,20
100297,2017-12-19,10,1,18
100298,2017-12-20,10,1,23
100299,2017-12-21,10,1,12
100300,2017-12-22,10,1,24
100301,2017-12-23,10,1,19
100302,2017-12-24,10,1,32
100303,2017-12-25,10,1,10
100304,2017-12-26,10,1,16
100305,2017-12-27,10,1,19
100306,2017-12-28,10,1,12
100307,2017-12-29,10,1,23
100308,2017-12-30,10,1,26
100309,2017-12-31,10,1,27
100310,2017-12-01,1,2,56
100311,2017-12-02,1,2,64
100312,2017-12-03,1,2,59
100313,2017-12-04,1,2,33
100314,2017-12-05,1,2,45
100315,2017-12-06,1,2,50
100316,2017-12-07,1,2,47
100317,2017-12-08,1,2,44
100318,2017-12-09,1,2,50
100319,2017-12-10,1,2,50
100320,2017-12-11,1,2,43
100321,2017-12-12,1,2,37
100322,2017-12-13,1,2,50
100323,2017-12-14,1,2,42
100324,2017-12-15,1,2,52
100325,2017-12-16,1,2,48
100326,2017-12-17,1,2,55
100327,2017-12-18,1,2,37
100328,2017-12-19,1,2,41
100329,2017-12-20,1,2,35
100330,2017-12-21,1,2,39
100331,2017-12-22,1,2,41
100332,2017-12-23,1,2,52
100333,2017-12-24,1,2,47
100334,2017-12-25,1,2,37
100335,2017-12-26,1,2,43
100336,2017-12-27,1,2,55
100337,2017-12-28,1,2,50
100338,2017-12-29,1,2,50
100339,2017-12-30,1,2,56
100340,2017-12-31,1,2,67
100341,2017-12-01,2,2,83
100342,2017-12-02,2,2,65
100343,2017-12-03,2,2,60
100344,2017-12-04,2,2,50
100345,2017-12-05,2,2,65
100346,2017-12-06,2,2,55
100347,2017-12-07,2,2,63
100348,2017-12-08,2,2,79
100349,2017-12-09,2,2,73
100350,2017-12-10,2,2,79
100351,2017-12-11,2,2,56
100352,2017-12-12,2,2,45
100353,2017-12-13,2,2,60
100354,2017-12-14,2,2,77
100355,2017-12-15,2,2,72
100356,2017-12-16,2,2,68
100357,2017-12-17,2,2,56
100358,2017-12-18,2,2,41
100359,2017-12-19,2,2,52
100360,2017-12-20,2,2,45
100361,2017-12-21,2,2,60
100362,2017-12-22,2,2,73
100363,2017-12-23,2,2,64
100364,2017-12-24,2,2,71
100365,2017-12-25,2,2,57
100366,2017-12-26,2,2,65
100367,2017-12-27,2,2,74
100368,2017-12-28,2,2,69
100369,2017-12-29,2,2,56
100370,2017-12-30,2,2,74
100371,2017-12-31,2,2,79
100372,2017-12-01,3,2,67
100373,2017-12-02,3,2,54
100374,2017-12-03,3,2,70
100375,2017-12-04,3,2,38
100376,2017-12-05,3,2,66
100377,2017-12-06,3,2,48
100378,2017-12-07,3,2,55
100379,2017-12-08,3,2,58
100380,2017-12-09,3,2,58
100381,2017-12-10,3,2,68
100382,2017-12-11,3,2,43
100383,2017-12-12,3,2,46
100384,2017-12-13,3,2,56
100385,2017-12-14,3,2,57
100386,2017-12-15,3,2,57
100387,2017-12-16,3,2,69
100388,2017-12-17,3,2,66
100389,2017-12-18,3,2,45
100390,2017-12-19,3,2,52
100391,2017-12-20,3,2,50
100392,2017-12-21,3,2,58
100393,2017-12-22,3,2,63
100394,2017-12-23,3,2,65
100395,2017-12-24,3,2,60
100396,2017-12-25,3,2,53
100397,2017-12-26,3,2,56
100398,2017-12-27,3,2,61
100399,2017-12-28,3,2,59
100400,2017-12-29,3,2,55
100401,2017-12-30,3,2,68
100402,2017-12-31,3,2,68
100403,2017-12-01,4,2,46
100404,2017-12-02,4,2,52
100405,2017-12-03,4,2,57
100406,2017-12-04,4,2,31
100407,2017-12-05,4,2,44
100408,2017-12-06,4,2,56
100409,2017-12-07,4,2,51
100410,2017-12-08,4,2,59
100411,2017-12-09,4,2,59
100412,2017-12-10,4,2,53
100413,2017-12-11,4,2,46
100414,2017-12-12,4,2,46
100415,2017-12-13,4,2,59
100416,2017-12-14,4,2,49
100417,2017-12-15,4,2,57
100418,2017-12-16,4,2,71
100419,2017-12-17,4,2,74
100420,2017-12-18,4,2,50
100421,2017-12-19,4,2,42
100422,2017-12-20,4,2,47
100423,2017-12-21,4,2,46
100424,2017-12-22,4,2,66
100425,2017-12-23,4,2,65
100426,2017-12-24,4,2,71
100427,2017-12-25,4,2,41
100428,2017-12-26,4,2,48
100429,2017-12-27,4,2,57
100430,2017-12-28,4,2,49
100431,2017-12-29,4,2,46
100432,2017-12-30,4,2,52
100433,2017-12-31,4,2,58
100434,2017-12-01,5,2,30
100435,2017-12-02,5,2,53
100436,2017-12-03,5,2,43
100437,2017-12-04,5,2,21
100438,2017-12-05,5,2,27
100439,2017-12-06,5,2,36
100440,2017-12-07,5,2,42
100441,2017-12-08,5,2,38
100442,2017-12-09,5,2,57
100443,2017-12-10,5,2,49
100444,2017-12-11,5,2,34
100445,2017-12-12,5,2,36
100446,2017-12-13,5,2,43
100447,2017-12-14,5,2,40
100448,2017-12-15,5,2,55
100449,2017-12-16,5,2,36
100450,2017-12-17,5,2,64
100451,2017-12-18,5,2,31
100452,2017-12-19,5,2,42
100453,2017-12-20,5,2,35
100454,2017-12-21,5,2,29
100455,2017-12-22,5,2,37
100456,2017-12-23,5,2,46
100457,2017-12-24,5,2,37
100458,2017-12-25,5,2,30
100459,2017-12-26,5,2,38
100460,2017-12-27,5,2,31
100461,2017-12-28,5,2,33
100462,2017-12-29,5,2,42
100463,2017-12-30,5,2,28
100464,2017-12-31,5,2,53
100465,2017-12-01,6,2,52
100466,2017-12-02,6,2,42
100467,2017-12-03,6,2,44
100468,2017-12-04,6,2,30
100469,2017-12-05,6,2,33
100470,2017-12-06,6,2,46
100471,2017-12-07,6,2,33
100472,2017-12-08,6,2,42
100473,2017-12-09,6,2,31
100474,2017-12-10,6,2,48
100475,2017-12-11,6,2,20
100476,2017-12-12,6,2,27
100477,2017-12-13,6,2,33
100478,2017-12-14,6,2,37
100479,2017-12-15,6,2,43
100480,2017-12-16,6,2,34
100481,2017-12-17,6,2,40
100482,2017-12-18,6,2,28
100483,2017-12-19,6,2,24
100484,2017-12-20,6,2,40
100485,2017-12-21,6,2,35
100486,2017-12-22,6,2,44
100487,2017-12-23,6,2,40
100488,2017-12-24,6,2,47
100489,2017-12-25,6,2,31
100490,2017-12-26,6,2,38
100491,2017-12-27,6,2,41
100492,2017-12-28,6,2,43
100493,2017-12-29,6,2,36
100494,2017-12-30,6,2,47
100495,2017-12-31,6,2,51
100496,2017-12-01,7,2,38
100497,2017-12-02,7,2,45
100498,2017-12-03,7,2,29
100499,2017-12-04,7,2,22
100500,2017-12-05,7,2,27
100501,2017-12-06,7,2,35
100502,2017-12-07,7,2,29
100503,2017-12-08,7,2,34
100504,2017-12-09,7,2,42
100505,2017-12-10,7,2,27
100506,2017-12-11,7,2,21
100507,2017-12-12,7,2,23
100508,2017-12-13,7,2,43
100509,2017-12-14,7,2,45
100510,2017-12-15,7,2,38
100511,2017-12-16,7,2,52
100512,2017-12-17,7,2,43
100513,2017-12-18,7,2,28
100514,2017-12-19,7,2,30
100515,2017-12-20,7,2,32
100516,2017-12-21,7,2,45
100517,2017-12-22,7,2,45
100518,2017-12-23,7,2,42
100519,2017-12-24,7,2,30
100520,2017-12-25,7,2,33
100521,2017-12-26,7,2,30
100522,2017-12-27,7,2,31
100523,2017-12-28,7,2,23
100524,2017-12-29,7,2,35
100525,2017-12-30,7,2,32
100526,2017-12-31,7,2,39
100527,2017-12-01,8,2,67
100528,2017-12-02,8,2,55
100529,2017-12-03,8,2,75
100530,2017-12-04,8,2,48
100531,2017-12-05,8,2,54
100532,2017-12-06,8,2,60
100533,2017-12-07,8,2,50
100534,2017-12-08,8,2,71
100535,2017-12-09,8,2,77
100536,2017-12-10,8,2,72
100537,2017-12-11,8,2,55
100538,2017-12-12,8,2,52
100539,2017-12-13,8,2,45
100540,2017-12-14,8,2,49
100541,2017-12-15,8,2,66
100542,2017-12-16,8,2,57
100543,2017-12-17,8,2,82
100544,2017-12-18,8,2,45
100545,2017-12-19,8,2,57
100546,2017-12-20,8,2,58
100547,2017-12-21,8,2,53
100548,2017-12-22,8,2,65
100549,2017-12-23,8,2,72
100550,2017-12-24,8,2,71
100551,2017-12-25,8,2,56
100552,2017-12-26,8,2,64
100553,2017-12-27,8,2,61
100554,2017-12-28,8,2,67
100555,2017-12-29,8,2,80
100556,2017-12-30,8,2,68
100557,2017-12-31,8,2,96
100558,2017-12-01,9,2,63
100559,2017-12-02,9,2,50
100560,2017-12-03,9,2,61
100561,2017-12-04,9,2,43
100562,2017-12-05,9,2,55
100563,2017-12-06,9,2,55
100564,2017-12-07,9,2,49
100565,2017-12-08,9,2,58
100566,2017-12-09,9,2,66
100567,2017-12-10,9,2,71
100568,2017-12-11,9,2,43
100569,2017-12-12,9,2,48
100570,2017-12-13,9,2,45
100571,2017-12-14,9,2,47
100572,2017-12-15,9,2,49
100573,2017-12-16,9,2,63
100574,2017-12-17,9,2,52
100575,2017-12-18,9,2,30
100576,2017-12-19,9,2,38
100577,2017-12-20,9,2,55
100578,2017-12-21,9,2,56
100579,2017-12-22,9,2,51
100580,2017-12-23,9,2,69
100581,2017-12-24,9,2,60
100582,2017-12-25,9,2,36
100583,2017-12-26,9,2,55
100584,2017-12-27,9,2,46
100585,2017-12-28,9,2,67
100586,2017-12-29,9,2,62
100587,2017-12-30,9,2,57
100588,2017-12-31,9,2,63
100589,2017-12-01,10,2,47
100590,2017-12-02,10,2,68
100591,2017-12-03,10,2,73
100592,2017-12-04,10,2,40
100593,2017-12-05,10,2,42
100594,2017-12-06,10,2,53
100595,2017-12-07,10,2,58
100596,2017-12-08,10,2,71
100597,2017-12-09,10,2,68
100598,2017-12-10,10,2,57
100599,2017-12-11,10,2,52
100600,2017-12-12,10,2,54
100601,2017-12-13,10,2,52
100602,2017-12-14,10,2,47
100603,2017-12-15,10,2,75
100604,2017-12-16,10,2,71
100605,2017-12-17,10,2,68
100606,2017-12-18,10,2,40
100607,2017-12-19,10,2,44
100608,2017-12-20,10,2,43
100609,2017-12-21,10,2,67
100610,2017-12-22,10,2,62
100611,2017-12-23,10,2,55
100612,2017-12-24,10,2,61
100613,2017-12-25,10,2,54
100614,2017-12-26,10,2,61
100615,2017-12-27,10,2,43
100616,2017-12-28,10,2,35
100617,2017-12-29,10,2,53
100618,2017-12-30,10,2,56
100619,2017-12-31,10,2,60
100620,2017-12-01,1,3,30
100621,2017-12-02,1,3,31
100622,2017-12-03,1,3,34
100623,2017-12-04,1,3,21
100624,2017-12-05,1,3,15
100625,2017-12-06,1,3,32
100626,2017-12-07,1,3,34
100627,2017-12-08,1,3,27
100628,2017-12-09,1,3,36
100629,2017-12-10,1,3,44
100630,2017-12-11,1,3,21
100631,2017-12-12,1,3,28
100632,2017-12-13,1,3,30
100633,2017-12-14,1,3,27
100634,2017-12-15,1,3,30
100635,2017-12-16,1,3,32
100636,2017-12-17,1,3,39
100637,2017-12-18,1,3,21
100638,2017-12-19,1,3,20
100639,2017-12-20,1,3,21
100640,2017-12-21,1,3,23
100641,2017-12-22,1,3,22
100642,2017-12-23,1,3,37
100643,2017-12-24,1,3,33
100644,2017-12-25,1,3,26
100645,2017-12-26,1,3,18
100646,2017-12-27,1,3,26
100647,2017-12-28,1,3,21
100648,2017-12-29,1,3,38
100649,2017-12-30,1,3,27
100650,2017-12-31,1,3,29
100651,2017-12-01,2,3,40
100652,2017-12-02,2,3,52
100653,2017-12-03,2,3,52
100654,2017-12-04,2,3,35
100655,2017-12-05,2,3,34
100656,2017-12-06,2,3,30
100657,2017-12-07,2,3,25
100658,2017-12-08,2,3,44
100659,2017-12-09,2,3,51
100660,2017-12-10,2,3,56
100661,2017-12-11,2,3,43
100662,2017-12-12,2,3,38
100663,2017-12-13,2,3,42
100664,2017-12-14,2,3,50
100665,2017-12-15,2,3,44
100666,2017-12-16,2,3,66
100667,2017-12-17,2,3,53
100668,2017-12-18,2,3,39
100669,2017-12-19,2,3,37
100670,2017-12-20,2,3,39
100671,2017-12-21,2,3,52
100672,2017-12-22,2,3,39
100673,2017-12-23,2,3,49
100674,2017-12-24,2,3,42
100675,2017-12-25,2,3,27
100676,2017-12-26,2,3,48
100677,2017-12-27,2,3,36
100678,2017-12-28,2,3,40
100679,2017-12-29,2,3,33
100680,2017-12-30,2,3,35
100681,2017-12-31,2,3,54
100682,2017-12-01,3,3,45
100683,2017-12-02,3,3,32
100684,2017-12-03,3,3,30
100685,2017-12-04,3,3,26
100686,2017-12-05,3,3,33
100687,2017-12-06,3,3,43
100688,2017-12-07,3,3,30
100689,2017-12-08,3,3,53
100690,2017-12-09,3,3,50
100691,2017-12-10,3,3,55
100692,2017-12-11,3,3,27
100693,2017-12-12,3,3,38
100694,2017-12-13,3,3,22
100695,2017-12-14,3,3,30
100696,2017-12-15,3,3,42
100697,2017-12-16,3,3,46
100698,2017-12-17,3,3,35
100699,2017-12-18,3,3,30
100700,2017-12-19,3,3,54
100701,2017-12-20,3,3,22
100702,2017-12-21,3,3,41
100703,2017-12-22,3,3,49
100704,2017-12-23,3,3,37
100705,2017-12-24,3,3,36
100706,2017-12-25,3,3,33
100707,2017-12-26,3,3,35
100708,2017-12-27,3,3,40
100709,2017-12-28,3,3,30
100710,2017-12-29,3,3,32
100711,2017-12-30,3,3,30
100712,2017-12-31,3,3,35
100713,2017-12-01,4,3,25
100714,2017-12-02,4,3,36
100715,2017-12-03,4,3,33
100716,2017-12-04,4,3,37
100717,2017-12-05,4,3,29
100718,2017-12-06,4,3,28
100719,2017-12-07,4,3,31
100720,2017-12-08,4,3,21
100721,2017-12-09,4,3,38
100722,2017-12-10,4,3,41
100723,2017-12-11,4,3,26
100724,2017-12-12,4,3,22
100725,2017-12-13,4,3,37
100726,2017-12-14,4,3,30
100727,2017-12-15,4,3,23
100728,2017-12-16,4,3,34
100729,2017-12-17,4,3,37
100730,2017-12-18,4,3,37
100731,2017-12-19,4,3,38
100732,2017-12-20,4,3,30
100733,2017-12-21,4,3,32
100734,2017-12-22,4,3,28
100735,2017-12-23,4,3,38
100736,2017-12-24,4,3,48
100737,2017-12-25,4,3,24
100738,2017-12-26,4,3,41
100739,2017-12-27,4,3,31
100740,2017-12-28,4,3,33
100741,2017-12-29,4,3,32
100742,2017-12-30,4,3,45
100743,2017-12-31,4,3,46
100744,2017-12-01,5,3,23
100745,2017-12-02,5,3,26
100746,2017-12-03,5,3,37
100747,2017-12-04,5,3,25
100748,2017-12-05,5,3,19
100749,2017-12-06,5,3,29
100750,2017-12-07,5,3,24
100751,2017-12-08,5,3,36
100752,2017-12-09,5,3,29
100753,2017-12-10,5,3,24
100754,2017-12-11,5,3,15
100755,2017-12-12,5,3,26
100756,2017-12-13,5,3,24
100757,2017-12-14,5,3,24
100758,2017-12-15,5,3,22
100759,2017-12-16,5,3,20
100760,2017-12-17,5,3,24
100761,2017-12-18,5,3,21
100762,2017-12-19,5,3,17
100763,2017-12-20,5,3,22
100764,2017-12-21,5,3,23
100765,2017-12-22,5,3,26
100766,2017-12-23,5,3,27
100767,2017-12-24,5,3,22
100768,2017-12-25,5,3,20
100769,2017-12-26,5,3,23
100770,2017-12-27,5,3,21
100771,2017-12-28,5,3,26
100772,2017-12-29,5,3,28
100773,2017-12-30,5,3,28
100774,2017-12-31,5,3,35
100775,2017-12-01,6,3,15
100776,2017-12-02,6,3,21
100777,2017-12-03,6,3,27
100778,2017-12-04,6,3,23
100779,2017-12-05,6,3,14
100780,2017-12-06,6,3,12
100781,2017-12-07,6,3,24
100782,2017-12-08,6,3,22
100783,2017-12-09,6,3,26
100784,2017-12-10,6,3,21
100785,2017-12-11,6,3,17
100786,2017-12-12,6,3,28
100787,2017-12-13,6,3,26
100788,2017-12-14,6,3,23
100789,2017-12-15,6,3,30
100790,2017-12-16,6,3,33
100791,2017-12-17,6,3,26
100792,2017-12-18,6,3,23
100793,2017-12-19,6,3,19
100794,2017-12-20,6,3,24
100795,2017-12-21,6,3,20
100796,2017-12-22,6,3,29
100797,2017-12-23,6,3,36
100798,2017-12-24,6,3,33
100799,2017-12-25,6,3,22
100800,2017-12-26,6,3,15
100801,2017-12-27,6,3,21
100802,2017-12-28,6,3,32
100803,2017-12-29,6,3,21
100804,2017-12-30,6,3,34
100805,2017-12-31,6,3,34
100806,2017-12-01,7,3,24
100807,2017-12-02,7,3,25
100808,2017-12-03,7,3,24
100809,2017-12-04,7,3,11
100810,2017-12-05,7,3,20
100811,2017-12-06,7,3,19
100812,2017-12-07,7,3,26
100813,2017-12-08,7,3,21
100814,2017-12-09,7,3,20
100815,2017-12-10,7,3,23
100816,2017-12-11,7,3,12
100817,2017-12-12,7,3,20
100818,2017-12-13,7,3,24
100819,2017-12-14,7,3,37
100820,2017-12-15,7,3,29
100821,2017-12-16,7,3,29
100822,2017-12-17,7,3,23
100823,2017-12-18,7,3,17
100824,2017-12-19,7,3,22
100825,2017-12-20,7,3,26
100826,2017-12-21,7,3,15
100827,2017-12-22,7,3,34
100828,2017-12-23,7,3,15
100829,2017-12-24,7,3,19
100830,2017-12-25,7,3,13
100831,2017-12-26,7,3,24
100832,2017-12-27,7,3,18
100833,2017-12-28,7,3,15
100834,2017-12-29,7,3,27
100835,2017-12-30,7,3,27
100836,2017-12-31,7,3,31
100837,2017-12-01,8,3,60
100838,2017-12-02,8,3,45
100839,2017-12-03,8,3,49
100840,2017-12-04,8,3,28
100841,2017-12-05,8,3,30
100842,2017-12-06,8,3,29
100843,2017-12-07,8,3,28
100844,2017-12-08,8,3,40
100845,2017-12-09,8,3,43
100846,2017-12-10,8,3,36
100847,2017-12-11,8,3,37
100848,2017-12-12,8,3,29
100849,2017-12-13,8,3,30
100850,2017-12-14,8,3,31
100851,2017-12-15,8,3,48
100852,2017-12-16,8,3,44
100853,2017-12-17,8,3,49
100854,2017-12-18,8,3,40
100855,2017-12-19,8,3,35
100856,2017-12-20,8,3,37
100857,2017-12-21,8,3,38
100858,2017-12-22,8,3,43
100859,2017-12-23,8,3,37
100860,2017-12-24,8,3,35
100861,2017-12-25,8,3,31
100862,2017-12-26,8,3,33
100863,2017-12-27,8,3,28
100864,2017-12-28,8,3,36
100865,2017-12-29,8,3,47
100866,2017-12-30,8,3,49
100867,2017-12-31,8,3,59
100868,2017-12-01,9,3,44
100869,2017-12-02,9,3,33
100870,2017-12-03,9,3,34
100871,2017-12-04,9,3,35
100872,2017-12-05,9,3,20
