,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,parcel_0,parcel_1,parcel_2
27,0.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,0.0,3.0,4.0,1.0,2.0,1,1,1
28,0.0,2.0,5.0,2.0,1.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,3.0,3.0,1.0,2.0,6.0,2.0,1.0,1.0,0,0,0
29,0.0,2.0,5.0,3.0,1.0,0.0,1.0,3.0,0.0,2.0,4.0,12.0,4.0,5.0,6.0,1.0,1.0,0.0,1.0,4.0,0,1,0
30,4.0,0.0,3.0,0.0,6.0,3.0,8.0,2.0,0.0,1.0,8.0,5.0,6.0,0.0,4.0,2.0,4.0,3.0,1.0,0.0,1,0,0
31,1.0,3.0,4.0,1.0,6.0,2.0,1.0,7.0,0.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,1,1,0
32,1.0,1.0,1.0,3.0,5.0,3.0,6.0,8.0,1.0,1.0,2.0,1.0,5.0,2.0,5.0,1.0,5.0,0.0,2.0,5.0,1,1,0
33,2.0,3.0,2.0,1.0,2.0,0.0,2.0,10.0,2.0,2.0,5.0,3.0,8.0,2.0,5.0,0.0,1.0,1.0,3.0,0.0,1,1,0
34,2.0,0.0,6.0,0.0,2.0,2.0,4.0,6.0,0.0,1.0,6.0,3.0,4.0,1.0,2.0,4.0,5.0,1.0,0.0,2.0,1,0,0
35,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,6.0,6.0,5.0,4.0,7.0,0.0,0.0,1.0,1.0,1.0,0,1,0
36,2.0,1.0,1.0,4.0,3.0,2.0,1.0,3.0,5.0,2.0,6.0,1.0,0.0,4.0,1.0,1.0,3.0,2.0,4.0,2.0,0,0,0
37,1.0,0.0,4.0,3.0,2.0,2.0,4.0,6.0,1.0,2.0,5.0,3.0,7.0,6.0,7.0,3.0,0.0,1.0,0.0,1.0,0,1,0
38,2.0,2.0,4.0,2.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,6.0,1.0,4.0,0.0,3.0,0.0,1.0,2.0,1,1,0
39,3.0,3.0,4.0,5.0,0.0,3.0,2.0,1.0,2.0,4.0,3.0,0.0,1.0,1.0,3.0,2.0,4.0,3.0,0.0,7.0,0,0,0
40,0.0,1.0,1.0,0.0,6.0,3.0,4.0,2.0,4.0,2.0,1.0,3.0,7.0,3.0,5.0,3.0,3.0,2.0,1.0,4.0,1,1,1
41,2.0,0.0,3.0,0.0,5.0,1.0,6.0,6.0,2.0,0.0,0.0,2.0,6.0,1.0,3.0,0.0,5.0,3.0,0.0,0.0,1,0,0
42,1.0,3.0,1.0,4.0,1.0,0.0,1.0,4.0,2.0,3.0,0.0,6.0,6.0,2.0,6.0,0.0,1.0,0.0,2.0,4.0,0,1,0
43,1.0,1.0,1.0,2.0,5.0,4.0,2.0,3.0,0.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,1,1,1
44,0.0,2.0,2.0,5.0,4.0,1.0,5.0,4.0,0.0,1.0,2.0,3.0,4.0,4.0,1.0,0.0,1.0,3.0,1.0,2.0,1,1,1
45,1.0,1.0,6.0,3.0,2.0,3.0,4.0,5.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,0.0,1.0,2.0,4.0,1,1,1
46,1.0,1.0,0.0,2.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,1,1,1
47,0.0,4.0,5.0,0.0,3.0,1.0,4.0,8.0,0.0,2.0,7.0,8.0,6.0,2.0,7.0,2.0,2.0,1.0,0.0,2.0,1,1,0
48,0.0,0.0,0.0,0.0,5.0,1.0,5.0,4.0,0.0,0.0,1.0,2.0,6.0,1.0,3.0,4.0,4.0,2.0,1.0,0.0,1,0,0
49,0.0,2.0,3.0,6.0,2.0,0.0,5.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,3.0,2.0,3.0,1,1,1
50,3.0,2.0,3.0,3.0,7.0,1.0,7.0,3.0,0.0,1.0,4.0,4.0,7.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,1,0,0
51,0.0,0.0,7.0,1.0,4.0,1.0,8.0,4.0,0.0,0.0,2.0,1.0,8.0,2.0,2.0,0.0,4.0,3.0,1.0,3.0,1,1,0
52,2.0,0.0,1.0,1.0,5.0,2.0,4.0,5.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,0.0,2.0,3.0,2.0,0.0,1,1,1
53,1.0,3.0,2.0,5.0,4.0,1.0,1.0,4.0,1.0,3.0,5.0,7.0,2.0,1.0,3.0,0.0,0.0,0.0,7.0,4.0,0,1,0
54,4.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,5.0,0,0,0
55,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,6.0,5.0,1.0,6.0,0.0,5.0,3.0,2.0,0.0,1,0,0
56,0.0,2.0,2.0,4.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,6.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0,3.0,1,1,0
57,4.0,2.0,1.0,6.0,0.0,5.0,1.0,1.0,1.0,4.0,0.0,0.0,4.0,3.0,2.0,4.0,2.0,4.0,1.0,1.0,0,0,0
58,2.0,1.0,1.0,0.0,6.0,2.0,3.0,5.0,1.0,0.0,2.0,4.0,0.0,2.0,2.0,2.0,6.0,1.0,0.0,2.0,1,0,0
59,2.0,3.0,1.0,6.0,2.0,1.0,4.0,8.0,1.0,3.0,3.0,5.0,7.0,6.0,4.0,0.0,2.0,0.0,2.0,3.0,0,1,0
60,0.0,2.0,4.0,5.0,1.0,3.0,2.0,5.0,2.0,2.0,4.0,4.0,1.0,2.0,0.0,2.0,0.0,5.0,2.0,2.0,1,1,1
61,2.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,5.0,3.0,2.0,1.0,2.0,1.0,0,0,0
62,5.0,1.0,4.0,2.0,4.0,2.0,11.0,3.0,1.0,1.0,3.0,3.0,7.0,5.0,2.0,2.0,5.0,0.0,0.0,0.0,1,0,0
63,0.0,2.0,3.0,4.0,1.0,0.0,3.0,12.0,0.0,4.0,3.0,4.0,7.0,6.0,6.0,2.0,6.0,2.0,0.0,1.0,1,1,0
64,5.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,0,0,0
65,1.0,1.0,1.0,3.0,5.0,1.0,2.0,7.0,0.0,0.0,5.0,4.0,3.0,4.0,4.0,0.0,4.0,0.0,2.0,2.0,1,1,0
66,0.0,1.0,2.0,4.0,2.0,4.0,3.0,3.0,0.0,1.0,6.0,3.0,6.0,5.0,3.0,1.0,1.0,0.0,2.0,1.0,0,1,0
67,0.0,2.0,2.0,3.0,0.0,0.0,6.0,4.0,1.0,1.0,1.0,7.0,5.0,6.0,1.0,1.0,2.0,1.0,3.0,3.0,1,1,0
68,2.0,3.0,1.0,2.0,0.0,3.0,5.0,4.0,2.0,3.0,3.0,1.0,6.0,2.0,3.0,0.0,2.0,1.0,1.0,3.0,0,0,0
69,0.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,4.0,0.0,4.0,1,1,1
70,1.0,1.0,2.0,3.0,7.0,4.0,9.0,3.0,2.0,4.0,0.0,0.0,9.0,4.0,7.0,0.0,3.0,3.0,3.0,2.0,1,1,1
71,2.0,1.0,0.0,2.0,2.0,0.0,7.0,2.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,2.0,6.0,0.0,3.0,0.0,1,0,0
72,1.0,0.0,3.0,2.0,6.0,2.0,9.0,1.0,0.0,2.0,7.0,4.0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1,0,0
73,2.0,2.0,5.0,3.0,4.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,0.0,1,1,0
74,1.0,0.0,2.0,2.0,7.0,1.0,8.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,1,0,0
75,1.0,3.0,2.0,3.0,2.0,2.0,3.0,6.0,0.0,1.0,4.0,5.0,5.0,2.0,1.0,0.0,4.0,0.0,5.0,2.0,1,1,0
76,4.0,1.0,0.0,5.0,3.0,2.0,5.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,0,0,0
77,1.0,5.0,4.0,3.0,1.0,2.0,1.0,6.0,1.0,3.0,4.0,7.0,8.0,4.0,4.0,0.0,0.0,0.0,6.0,3.0,0,1,0
78,0.0,0.0,4.0,2.0,5.0,1.0,5.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,5.0,1.0,5.0,1,1,1
79,0.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,1.0,1.0,0.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,1,0,0
80,1.0,4.0,3.0,1.0,2.0,3.0,2.0,8.0,1.0,2.0,3.0,4.0,3.0,8.0,6.0,2.0,3.0,2.0,3.0,2.0,1,1,1
81,2.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,2.0,5.0,7.0,6.0,5.0,1.0,3.0,3.0,3.0,2.0,1,1,0
82,1.0,0.0,2.0,1.0,2.0,1.0,4.0,6.0,0.0,2.0,2.0,1.0,6.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1,0,0
83,1.0,0.0,6.0,3.0,2.0,1.0,4.0,3.0,0.0,0.0,4.0,2.0,4.0,7.0,4.0,3.0,3.0,2.0,3.0,0.0,1,1,0
84,0.0,1.0,0.0,3.0,2.0,3.0,4.0,7.0,1.0,2.0,3.0,4.0,3.0,5.0,10.0,1.0,0.0,0.0,7.0,5.0,0,1,0
85,3.0,4.0,3.0,4.0,1.0,4.0,3.0,2.0,4.0,4.0,1.0,3.0,6.0,5.0,4.0,0.0,3.0,0.0,1.0,2.0,0,0,0
86,1.0,0.0,4.0,4.0,9.0,1.0,4.0,8.0,1.0,3.0,3.0,4.0,5.0,5.0,3.0,1.0,2.0,4.0,3.0,0.0,1,1,0
87,0.0,2.0,2.0,7.0,2.0,2.0,1.0,3.0,1.0,0.0,5.0,5.0,5.0,4.0,3.0,1.0,0.0,1.0,3.0,5.0,0,1,0
88,2.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,4.0,4.0,2.0,0,0,0
89,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,4.0,7.0,4.0,4.0,3.0,8.0,1.0,0.0,0.0,3.0,1.0,0,1,0
90,0.0,0.0,5.0,0.0,2.0,0.0,7.0,2.0,0.0,0.0,5.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1,0,0
91,1.0,4.0,5.0,4.0,1.0,2.0,1.0,4.0,0.0,2.0,6.0,3.0,6.0,3.0,7.0,0.0,0.0,0.0,8.0,1.0,0,1,0
92,0.0,0.0,3.0,3.0,2.0,2.0,5.0,7.0,0.0,1.0,3.0,4.0,7.0,3.0,5.0,0.0,5.0,1.0,2.0,3.0,1,1,0
93,0.0,5.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,0,0,0
94,3.0,3.0,0.0,2.0,5.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,3.0,0,0,0
95,2.0,0.0,1.0,0.0,3.0,0.0,6.0,9.0,0.0,0.0,4.0,5.0,3.0,0.0,1.0,3.0,2.0,3.0,0.0,0.0,1,0,0
96,1.0,2.0,3.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,5.0,4.0,6.0,4.0,2.0,0.0,2.0,0.0,2.0,4.0,1,1,1
97,2.0,1.0,2.0,2.0,4.0,0.0,4.0,3.0,1.0,0.0,1.0,6.0,7.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,1,1,0
98,5.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0,4.0,1.0,0,0,0
99,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5.0,5.0,6.0,3.0,0.0,0.0,0.0,4.0,2.0,1,1,0
100,1.0,4.0,0.0,2.0,3.0,1.0,2.0,5.0,1.0,4.0,6.0,6.0,8.0,4.0,3.0,1.0,0.0,0.0,3.0,4.0,0,1,0
101,2.0,2.0,2.0,4.0,4.0,1.0,4.0,2.0,1.0,3.0,4.0,5.0,5.0,5.0,2.0,0.0,2.0,3.0,0.0,1.0,1,1,0
102,1.0,1.0,0.0,2.0,5.0,0.0,4.0,5.0,0.0,1.0,2.0,4.0,5.0,2.0,3.0,0.0,6.0,3.0,1.0,0.0,1,1,0
103,1.0,1.0,2.0,5.0,7.0,1.0,4.0,9.0,2.0,2.0,1.0,3.0,4.0,0.0,7.0,1.0,2.0,3.0,1.0,0.0,1,1,0
104,0.0,1.0,1.0,2.0,5.0,0.0,5.0,6.0,0.0,1.0,3.0,8.0,2.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,1,1,0
105,3.0,1.0,5.0,4.0,4.0,6.0,2.0,1.0,3.0,4.0,1.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,6.0,3.0,0,0,0
106,3.0,5.0,2.0,1.0,0.0,2.0,3.0,4.0,8.0,1.0,1.0,3.0,2.0,3.0,4.0,0.0,1.0,2.0,2.0,3.0,0,0,0
107,1.0,2.0,3.0,3.0,2.0,1.0,3.0,6.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,6.0,4.0,2.0,2.0,0,0,0
108,3.0,1.0,6.0,3.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,3.0,1,1,1
109,1.0,0.0,2.0,0.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,1,1,1
110,1.0,0.0,4.0,2.0,5.0,4.0,7.0,1.0,6.0,1.0,4.0,1.0,4.0,0.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,1
111,0.0,3.0,2.0,5.0,1.0,1.0,4.0,3.0,0.0,1.0,4.0,4.0,7.0,6.0,6.0,1.0,0.0,0.0,3.0,2.0,0,1,0
112,0.0,1.0,3.0,3.0,3.0,1.0,5.0,3.0,0.0,0.0,4.0,0.0,6.0,4.0,3.0,0.0,4.0,5.0,1.0,1.0,1,0,0
113,2.0,3.0,8.0,0.0,3.0,2.0,8.0,3.0,0.0,0.0,4.0,5.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,0.0,1,0,0
114,2.0,1.0,2.0,1.0,5.0,1.0,6.0,3.0,0.0,1.0,4.0,2.0,7.0,2.0,2.0,1.0,4.0,6.0,2.0,0.0,1,0,0
115,1.0,1.0,3.0,1.0,2.0,1.0,6.0,4.0,1.0,3.0,2.0,6.0,3.0,5.0,2.0,1.0,2.0,4.0,4.0,2.0,1,1,1
116,1.0,1.0,2.0,1.0,4.0,0.0,1.0,3.0,0.0,1.0,1.0,5.0,7.0,0.0,3.0,1.0,4.0,0.0,1.0,1.0,1,1,0
117,1.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,5.0,0,0,0
118,0.0,2.0,3.0,3.0,3.0,1.0,6.0,7.0,3.0,1.0,4.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,1,1,1
119,1.0,3.0,1.0,1.0,5.0,2.0,2.0,5.0,4.0,3.0,0.0,4.0,2.0,3.0,2.0,0.0,4.0,2.0,5.0,6.0,1,1,1
120,0.0,2.0,2.0,5.0,4.0,0.0,3.0,6.0,1.0,1.0,3.0,12.0,5.0,3.0,1.0,0.0,1.0,0.0,6.0,2.0,0,1,0
121,5.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,2.0,0.0,5.0,3.0,2.0,2.0,5.0,0.0,3.0,3.0,3.0,0,0,0
122,2.0,2.0,2.0,1.0,4.0,3.0,3.0,7.0,2.0,0.0,3.0,2.0,1.0,2.0,7.0,1.0,0.0,4.0,2.0,4.0,1,1,1
123,3.0,2.0,3.0,2.0,3.0,3.0,1.0,0.0,2.0,0.0,6.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,0,0,0
124,1.0,2.0,5.0,0.0,2.0,4.0,3.0,3.0,5.0,1.0,4.0,2.0,3.0,4.0,4.0,0.0,3.0,1.0,3.0,1.0,1,1,1
125,0.0,1.0,2.0,1.0,2.0,2.0,7.0,7.0,0.0,1.0,2.0,0.0,5.0,3.0,2.0,0.0,5.0,3.0,1.0,1.0,1,1,0
126,0.0,1.0,2.0,5.0,1.0,1.0,0.0,4.0,1.0,6.0,4.0,3.0,5.0,3.0,3.0,0.0,2.0,0.0,5.0,2.0,0,1,0
127,0.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,2.0,3.0,3.0,2.0,1,1,1
128,1.0,1.0,0.0,3.0,4.0,0.0,5.0,3.0,2.0,2.0,5.0,2.0,4.0,3.0,4.0,2.0,0.0,2.0,7.0,1.0,1,1,1
129,2.0,2.0,4.0,2.0,3.0,1.0,3.0,8.0,2.0,2.0,5.0,2.0,4.0,4.0,5.0,0.0,4.0,3.0,3.0,2.0,1,1,0
130,0.0,0.0,2.0,7.0,4.0,1.0,2.0,4.0,4.0,2.0,0.0,4.0,5.0,2.0,4.0,0.0,1.0,4.0,3.0,5.0,1,1,0
131,1.0,1.0,5.0,5.0,2.0,2.0,4.0,4.0,0.0,1.0,1.0,6.0,2.0,6.0,5.0,2.0,5.0,1.0,2.0,2.0,1,1,0
132,1.0,1.0,2.0,4.0,2.0,0.0,5.0,2.0,1.0,1.0,4.0,4.0,5.0,1.0,1.0,0.0,2.0,1.0,3.0,4.0,1,1,1
133,4.0,2.0,1.0,1.0,3.0,0.0,5.0,4.0,0.0,3.0,2.0,2.0,6.0,0.0,3.0,0.0,2.0,4.0,2.0,4.0,1,1,1
134,0.0,0.0,3.0,3.0,4.0,1.0,1.0,4.0,0.0,1.0,6.0,2.0,5.0,0.0,9.0,0.0,3.0,3.0,4.0,2.0,1,1,1
135,1.0,1.0,3.0,3.0,3.0,2.0,4.0,8.0,0.0,2.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,3.0,1,1,1
136,2.0,3.0,1.0,1.0,5.0,4.0,2.0,3.0,0.0,2.0,3.0,3.0,4.0,2.0,3.0,0.0,2.0,4.0,5.0,1.0,1,1,1
137,1.0,3.0,1.0,3.0,3.0,0.0,4.0,4.0,1.0,2.0,7.0,4.0,4.0,3.0,8.0,1.0,6.0,2.0,0.0,1.0,1,1,0
138,1.0,1.0,4.0,2.0,4.0,5.0,2.0,0.0,2.0,4.0,4.0,3.0,3.0,0.0,4.0,1.0,1.0,5.0,3.0,4.0,1,1,1
139,0.0,2.0,6.0,0.0,5.0,0.0,4.0,5.0,0.0,0.0,1.0,4.0,5.0,1.0,2.0,1.0,5.0,4.0,1.0,2.0,1,0,0
140,1.0,1.0,2.0,3.0,3.0,0.0,1.0,5.0,0.0,1.0,6.0,2.0,7.0,2.0,3.0,2.0,1.0,0.0,4.0,4.0,0,1,0
141,0.0,4.0,2.0,4.0,3.0,2.0,0.0,1.0,1.0,4.0,1.0,4.0,1.0,6.0,3.0,0.0,0.0,0.0,2.0,2.0,0,1,0
142,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,0,0,0
143,2.0,2.0,3.0,4.0,6.0,5.0,2.0,6.0,0.0,0.0,5.0,6.0,3.0,5.0,5.0,0.0,1.0,2.0,2.0,1.0,1,1,0
144,2.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,5.0,2.0,7.0,4.0,7.0,4.0,4.0,3.0,2.0,0.0,1.0,0,0,0
145,1.0,3.0,2.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,0,0,0
146,4.0,4.0,2.0,2.0,0.0,3.0,2.0,1.0,1.0,3.0,3.0,0.0,6.0,3.0,4.0,3.0,1.0,1.0,4.0,6.0,0,0,0
147,1.0,0.0,3.0,0.0,7.0,2.0,9.0,7.0,0.0,1.0,4.0,3.0,3.0,0.0,3.0,2.0,1.0,3.0,0.0,1.0,1,0,0
148,2.0,1.0,4.0,0.0,4.0,2.0,3.0,0.0,1.0,0.0,5.0,3.0,6.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,1,0,0
149,2.0,0.0,0.0,5.0,4.0,0.0,6.0,4.0,1.0,2.0,3.0,8.0,2.0,6.0,6.0,1.0,3.0,2.0,2.0,1.0,1,1,0
150,3.0,1.0,8.0,3.0,4.0,1.0,4.0,6.0,1.0,3.0,0.0,2.0,5.0,5.0,5.0,0.0,1.0,1.0,0.0,3.0,1,1,1
151,0.0,2.0,2.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,4.0,3.0,5.0,4.0,5.0,1.0,0.0,3.0,5.0,3.0,1,1,1
152,0.0,0.0,3.0,3.0,3.0,1.0,4.0,2.0,0.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,1,1,0
153,2.0,1.0,1.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,2.0,3.0,2.0,3.0,5.0,1.0,0.0,4.0,3.0,0,0,0
154,1.0,0.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,3.0,2.0,3.0,6.0,2.0,3.0,3.0,3.0,2.0,0.0,4.0,1,1,1
