shot_id,game_id,lat,lon,minutes_remaining,playoffs,season,shot_distance,shot_type,shot_made_flag
105,20000068,34.0253,-118.1508,3,0,2000-01,12,2PT Field Goal,0.0
106,20000068,34.0023,-118.4628,0,0,2000-01,19,2PT Field Goal,0.0
107,20000068,33.9893,-118.4358,0,0,2000-01,17,2PT Field Goal,0.0
108,20000068,33.9283,-118.2458,10,0,2000-01,11,2PT Field Goal,0.0
109,20000068,33.8883,-118.3348,7,0,2000-01,16,2PT Field Goal,0.0
110,20000068,34.0183,-118.4358,6,0,2000-01,16,2PT Field Goal,1.0
111,20000068,33.9683,-118.3278,5,0,2000-01,9,2PT Field Goal,0.0
112,20000068,33.9743,-118.3068,3,0,2000-01,7,2PT Field Goal,0.0
114,20000098,33.8563,-118.3638,11,0,2000-01,21,2PT Field Goal,0.0
115,20000098,34.0443,-118.2698,10,0,2000-01,0,2PT Field Goal,0.0
116,20000098,34.0443,-118.2698,9,0,2000-01,0,2PT Field Goal,0.0
117,20000098,34.0443,-118.2698,9,0,2000-01,0,2PT Field Goal,0.0
118,20000098,34.0443,-118.2698,3,0,2000-01,0,2PT Field Goal,1.0
119,20000098,34.0443,-118.2698,0,0,2000-01,0,2PT Field Goal,1.0
120,20000098,33.9033,-118.1848,0,0,2000-01,16,2PT Field Goal,0.0
121,20000098,33.8863,-118.3578,8,0,2000-01,18,2PT Field Goal,1.0
122,20000098,34.0443,-118.2698,8,0,2000-01,0,2PT Field Goal,1.0
124,20000098,34.0443,-118.2698,0,0,2000-01,0,2PT Field Goal,1.0
125,20000098,33.7683,-118.2688,0,0,2000-01,27,3PT Field Goal,1.0
127,20000098,34.0523,-118.1148,8,0,2000-01,15,2PT Field Goal,1.0
128,20000098,34.0313,-118.4248,5,0,2000-01,15,2PT Field Goal,1.0
129,20000098,33.9113,-118.3538,4,0,2000-01,15,2PT Field Goal,0.0
130,20000098,34.0523,-118.4478,3,0,2000-01,17,2PT Field Goal,0.0
131,20000098,33.9553,-118.2538,3,0,2000-01,9,2PT Field Goal,0.0
132,20000098,33.9383,-118.3178,3,0,2000-01,11,2PT Field Goal,1.0
134,20000098,34.0313,-118.4398,2,0,2000-01,17,2PT Field Goal,0.0
135,20000098,33.9113,-118.3888,0,0,2000-01,17,2PT Field Goal,0.0
136,20000098,34.0043,-118.2608,10,0,2000-01,4,2PT Field Goal,0.0
137,20000098,33.9623,-118.3538,6,0,2000-01,11,2PT Field Goal,0.0
138,20000098,33.9853,-118.2608,4,0,2000-01,5,2PT Field Goal,0.0
139,20000098,34.0443,-118.2698,3,0,2000-01,0,2PT Field Goal,1.0
140,20000098,33.9853,-118.2608,1,0,2000-01,5,2PT Field Goal,1.0
142,20000098,34.0443,-118.2698,1,0,2000-01,0,2PT Field Goal,0.0
143,20000108,34.0443,-118.2698,7,0,2000-01,0,2PT Field Goal,0.0
145,20000108,34.0443,-118.2698,3,0,2000-01,0,2PT Field Goal,1.0
146,20000108,34.0483,-118.1408,2,0,2000-01,12,2PT Field Goal,1.0
147,20000108,33.9473,-118.3678,0,0,2000-01,13,2PT Field Goal,1.0
148,20000108,33.9663,-118.1028,11,0,2000-01,18,2PT Field Goal,0.0
149,20000108,33.7953,-118.1618,10,0,2000-01,27,3PT Field Goal,0.0
151,20000108,33.8693,-118.1698,9,0,2000-01,20,2PT Field Goal,1.0
154,20000108,34.0443,-118.2698,1,0,2000-01,0,2PT Field Goal,0.0
155,20000108,34.0443,-118.2698,0,0,2000-01,0,2PT Field Goal,0.0
157,20000108,33.8753,-118.1548,10,0,2000-01,20,2PT Field Goal,0.0
158,20000108,33.9723,-118.2688,5,0,2000-01,7,2PT Field Goal,0.0
160,20000108,34.0443,-118.2698,0,0,2000-01,0,2PT Field Goal,1.0
161,20000108,33.8143,-118.1568,11,0,2000-01,25,3PT Field Goal,1.0
162,20000108,34.0443,-118.2698,10,0,2000-01,0,2PT Field Goal,1.0
163,20000108,34.0443,-118.2698,10,0,2000-01,0,2PT Field Goal,1.0
164,20000108,34.0443,-118.2698,5,0,2000-01,0,2PT Field Goal,0.0
166,20000124,33.8503,-118.1718,11,0,2000-01,21,2PT Field Goal,1.0
167,20000124,33.8603,-118.3868,11,0,2000-01,21,2PT Field Goal,0.0
168,20000124,34.0463,-118.4378,8,0,2000-01,16,2PT Field Goal,0.0
169,20000124,34.0083,-118.1998,8,0,2000-01,7,2PT Field Goal,0.0
170,20000124,34.0443,-118.2698,7,0,2000-01,0,2PT Field Goal,0.0
171,20000124,34.0023,-118.3068,2,0,2000-01,5,2PT Field Goal,1.0
173,20000124,33.9283,-118.1068,1,0,2000-01,20,2PT Field Goal,0.0
174,20000124,33.8653,-118.1568,8,0,2000-01,21,2PT Field Goal,1.0
175,20000124,34.0463,-118.1008,6,0,2000-01,16,2PT Field Goal,1.0
176,20000124,33.8883,-118.1788,0,0,2000-01,18,2PT Field Goal,0.0
177,20000124,33.9513,-118.1358,0,0,2000-01,16,2PT Field Goal,0.0
178,20000124,33.5673,-118.2228,0,0,2000-01,47,3PT Field Goal,0.0
179,20000124,33.9073,-118.2588,8,0,2000-01,13,2PT Field Goal,0.0
180,20000124,34.0313,-118.0708,2,0,2000-01,19,2PT Field Goal,0.0
181,20000124,33.8083,-118.1928,0,0,2000-01,24,3PT Field Goal,0.0
183,20000124,33.7973,-118.2588,9,0,2000-01,24,3PT Field Goal,0.0
184,20000124,33.8143,-118.3728,5,0,2000-01,25,3PT Field Goal,0.0
185,20000124,33.7973,-118.3008,0,0,2000-01,24,3PT Field Goal,1.0
186,20000124,33.9453,-118.2798,2,0,2000-01,9,2PT Field Goal,1.0
187,20000124,33.9443,-118.2568,2,0,2000-01,10,2PT Field Goal,0.0
188,20000124,33.8443,-118.3428,0,0,2000-01,21,2PT Field Goal,1.0
189,20000140,33.8603,-118.3468,10,0,2000-01,19,2PT Field Goal,1.0
190,20000140,33.8673,-118.0818,9,0,2000-01,25,3PT Field Goal,0.0
191,20000140,34.0443,-118.2698,8,0,2000-01,0,2PT Field Goal,0.0
194,20000140,33.9073,-118.3978,4,0,2000-01,18,2PT Field Goal,0.0
195,20000140,34.0443,-118.2698,4,0,2000-01,0,2PT Field Goal,1.0
197,20000140,33.9513,-118.2688,11,0,2000-01,9,2PT Field Goal,0.0
198,20000140,33.8843,-118.1548,6,0,2000-01,19,2PT Field Goal,1.0
199,20000140,33.8443,-118.1108,6,0,2000-01,25,3PT Field Goal,1.0
200,20000140,34.0443,-118.1028,0,0,2000-01,16,2PT Field Goal,0.0
201,20000140,33.7993,-118.4318,11,0,2000-01,29,3PT Field Goal,0.0
203,20000140,34.0503,-118.1028,8,0,2000-01,16,2PT Field Goal,0.0
204,20000140,33.8943,-118.2738,6,0,2000-01,15,2PT Field Goal,1.0
205,20000140,34.0353,-118.4548,5,0,2000-01,18,2PT Field Goal,1.0
206,20000140,34.0253,-118.0328,3,0,2000-01,23,3PT Field Goal,1.0
207,20000140,34.0253,-118.4988,0,0,2000-01,22,3PT Field Goal,1.0
208,20000140,34.0443,-118.2698,11,0,2000-01,0,2PT Field Goal,0.0
209,20000140,34.0443,-118.2698,7,0,2000-01,0,2PT Field Goal,1.0
212,20000140,33.9623,-118.2328,1,0,2000-01,8,2PT Field Goal,1.0
213,20000140,33.9573,-118.3118,0,0,2000-01,9,2PT Field Goal,0.0
214,20000147,33.7973,-118.2418,9,0,2000-01,24,3PT Field Goal,0.0
215,20000147,33.9473,-118.2628,6,0,2000-01,9,2PT Field Goal,0.0
216,20000147,34.0443,-118.2698,3,0,2000-01,0,2PT Field Goal,1.0
217,20000147,34.0443,-118.2698,0,0,2000-01,0,2PT Field Goal,0.0
218,20000147,34.0443,-118.2698,7,0,2000-01,0,2PT Field Goal,1.0
219,20000147,33.9093,-118.1548,6,0,2000-01,17,2PT Field Goal,0.0
220,20000147,33.8603,-118.1278,0,0,2000-01,23,2PT Field Goal,0.0
221,20000147,34.0443,-118.2698,11,0,2000-01,0,2PT Field Goal,1.0
222,20000147,34.0443,-118.2698,10,0,2000-01,0,2PT Field Goal,1.0
223,20000147,33.8813,-118.1908,9,0,2000-01,18,2PT Field Goal,0.0
224,20000147,33.9033,-118.1278,7,0,2000-01,20,2PT Field Goal,1.0
225,20000147,33.9193,-118.2398,6,0,2000-01,12,2PT Field Goal,0.0
226,20000147,33.9473,-118.3298,4,0,2000-01,11,2PT Field Goal,1.0
227,20000147,34.0443,-118.2698,1,0,2000-01,0,2PT Field Goal,0.0
229,20000147,33.7993,-118.1548,11,0,2000-01,27,3PT Field Goal,0.0
230,20000147,33.8603,-118.4018,10,0,2000-01,22,2PT Field Goal,0.0
231,20000147,34.0443,-118.2698,10,0,2000-01,0,2PT Field Goal,0.0
232,20000147,34.0443,-118.2698,10,0,2000-01,0,2PT Field Goal,0.0
233,20000147,33.9683,-118.2948,2,0,2000-01,8,2PT Field Goal,1.0
234,20000147,33.9363,-118.4148,1,0,2000-01,18,2PT Field Goal,0.0
235,20000147,34.0733,-118.4778,0,0,2000-01,21,2PT Field Goal,0.0
236,20000168,33.8963,-118.3748,10,0,2000-01,18,2PT Field Goal,1.0
237,20000168,33.8693,-118.3178,8,0,2000-01,18,2PT Field Goal,0.0
238,20000168,33.7973,-118.3468,4,0,2000-01,25,3PT Field Goal,0.0
239,20000168,34.0443,-118.2698,2,0,2000-01,0,2PT Field Goal,1.0
240,20000168,34.0443,-118.2698,2,0,2000-01,0,2PT Field Goal,0.0
241,20000168,34.0443,-118.2698,2,0,2000-01,0,2PT Field Goal,1.0
242,20000168,33.8183,-118.1278,1,0,2000-01,26,3PT Field Goal,1.0
243,20000168,34.0443,-118.2698,10,0,2000-01,0,2PT Field Goal,1.0
244,20000168,33.8733,-118.3328,9,0,2000-01,18,2PT Field Goal,1.0
245,20000168,34.0443,-118.2698,3,0,2000-01,0,2PT Field Goal,1.0
246,20000168,33.8693,-118.2058,2,0,2000-01,18,2PT Field Goal,1.0
247,20000168,34.0443,-118.2698,9,0,2000-01,0,2PT Field Goal,1.0
248,20000168,34.0443,-118.2698,9,0,2000-01,0,2PT Field Goal,1.0
249,20000168,33.8083,-118.1548,6,0,2000-01,26,3PT Field Goal,1.0
250,20000168,34.0443,-118.2698,6,0,2000-01,0,2PT Field Goal,0.0
251,20000168,34.0373,-118.1068,5,0,2000-01,16,2PT Field Goal,0.0
252,20000168,34.0443,-118.2698,2,0,2000-01,0,2PT Field Goal,0.0
253,20000168,34.0443,-118.2698,2,0,2000-01,0,2PT Field Goal,1.0
254,20000168,34.0443,-118.2698,1,0,2000-01,0,2PT Field Goal,1.0
255,20000180,34.0043,-118.2058,10,0,2000-01,7,2PT Field Goal,0.0
256,20000180,34.0463,-118.3748,7,0,2000-01,10,2PT Field Goal,1.0
258,20000180,34.0443,-118.2698,5,0,2000-01,0,2PT Field Goal,1.0
259,20000180,33.9493,-118.2058,3,0,2000-01,11,2PT Field Goal,1.0
261,20000180,34.0423,-118.4018,1,0,2000-01,13,2PT Field Goal,1.0
262,20000180,34.0273,-118.1968,10,0,2000-01,7,2PT Field Goal,0.0
263,20000180,34.0443,-118.2698,9,0,2000-01,0,2PT Field Goal,1.0
265,20000180,33.8903,-118.4018,6,0,2000-01,20,2PT Field Goal,0.0
266,20000180,34.0443,-118.2698,5,0,2000-01,0,2PT Field Goal,1.0
268,20000180,34.0213,-118.0348,2,0,2000-01,23,3PT Field Goal,0.0
269,20000180,33.8693,-118.2418,0,0,2000-01,17,2PT Field Goal,1.0
270,20000180,33.8733,-118.0858,11,0,2000-01,25,3PT Field Goal,1.0
271,20000180,33.9833,-118.1428,9,0,2000-01,14,2PT Field Goal,0.0
272,20000180,33.9553,-118.2418,9,0,2000-01,9,2PT Field Goal,1.0
273,20000180,33.8313,-118.3538,7,0,2000-01,22,2PT Field Goal,1.0
274,20000180,33.9003,-118.3888,5,0,2000-01,18,2PT Field Goal,1.0
275,20000198,33.9343,-118.2698,10,0,2000-01,11,2PT Field Goal,0.0
276,20000198,34.0443,-118.2698,7,0,2000-01,0,2PT Field Goal,1.0
277,20000198,33.9643,-118.1428,6,0,2000-01,15,2PT Field Goal,0.0
278,20000198,33.8253,-118.4128,5,0,2000-01,26,3PT Field Goal,1.0
280,20000198,33.9033,-118.1928,7,0,2000-01,16,2PT Field Goal,1.0
281,20000198,33.9743,-118.2758,6,0,2000-01,7,2PT Field Goal,1.0
283,20000198,34.0443,-118.2698,2,0,2000-01,0,2PT Field Goal,1.0
284,20000198,34.0443,-118.2698,1,0,2000-01,0,2PT Field Goal,1.0
285,20000198,33.8293,-118.1258,0,0,2000-01,25,3PT Field Goal,1.0
286,20000198,33.8673,-118.3328,11,0,2000-01,18,2PT Field Goal,0.0
287,20000198,33.7853,-118.1698,7,0,2000-01,27,3PT Field Goal,0.0
288,20000198,33.9663,-118.3178,4,0,2000-01,9,2PT Field Goal,1.0
289,20000198,33.8463,-118.1168,3,0,2000-01,25,3PT Field Goal,0.0
290,20000198,34.0233,-118.3258,2,0,2000-01,5,2PT Field Goal,1.0
291,20000198,34.0443,-118.2698,0,0,2000-01,0,2PT Field Goal,0.0
292,20000198,34.0333,-118.0688,11,0,2000-01,20,2PT Field Goal,1.0
294,20000206,34.0103,-118.0268,9,0,2000-01,24,3PT Field Goal,1.0
295,20000206,33.8123,-118.1468,5,0,2000-01,26,3PT Field Goal,1.0
296,20000206,33.9073,-118.4268,3,0,2000-01,20,2PT Field Goal,1.0
297,20000206,33.9343,-118.1318,11,0,2000-01,17,2PT Field Goal,0.0
298,20000206,33.9073,-118.1678,8,0,2000-01,17,2PT Field Goal,0.0
302,20000206,34.0273,-118.0838,3,0,2000-01,18,2PT Field Goal,0.0
303,20000206,34.0443,-118.2698,2,0,2000-01,0,2PT Field Goal,1.0
304,20000206,34.0443,-118.2698,8,0,2000-01,0,2PT Field Goal,1.0
305,20000206,33.7993,-118.1278,7,0,2000-01,28,3PT Field Goal,0.0
306,20000206,33.9743,-118.3028,6,0,2000-01,7,2PT Field Goal,0.0
307,20000206,34.0023,-118.2818,6,0,2000-01,4,2PT Field Goal,0.0
308,20000206,33.9403,-118.1488,4,0,2000-01,15,2PT Field Goal,0.0
309,20000206,34.0443,-118.2698,4,0,2000-01,0,2PT Field Goal,1.0
310,20000206,33.8813,-118.1908,3,0,2000-01,18,2PT Field Goal,0.0
311,20000206,34.0443,-118.3638,2,0,2000-01,9,2PT Field Goal,0.0
312,20000206,33.9093,-118.3938,2,0,2000-01,18,2PT Field Goal,1.0
313,20000206,34.0443,-118.2698,1,0,2000-01,0,2PT Field Goal,0.0
314,20000206,33.6353,-118.1618,0,0,2000-01,42,3PT Field Goal,0.0
315,20000206,33.9093,-118.3368,10,0,2000-01,15,2PT Field Goal,0.0
316,20000206,33.8203,-118.4298,10,0,2000-01,27,3PT Field Goal,1.0
318,20000222,34.0353,-118.4038,10,0,2000-01,13,2PT Field Goal,1.0
319,20000222,34.0293,-118.3918,8,0,2000-01,12,2PT Field Goal,0.0
320,20000222,33.9283,-118.3708,7,0,2000-01,15,2PT Field Goal,0.0
321,20000222,34.0253,-118.2988,0,0,2000-01,3,2PT Field Goal,1.0
322,20000222,33.7993,-118.3198,0,0,2000-01,25,3PT Field Goal,0.0
323,20000222,33.5783,-118.4198,0,0,2000-01,48,3PT Field Goal,0.0
324,20000222,34.0313,-118.2988,11,0,2000-01,3,2PT Field Goal,0.0
325,20000222,34.0253,-118.3048,9,0,2000-01,3,2PT Field Goal,0.0
326,20000222,34.0253,-118.3048,1,0,2000-01,3,2PT Field Goal,0.0
329,20000222,34.0443,-118.2698,9,0,2000-01,0,2PT Field Goal,1.0
330,20000222,33.8373,-118.1028,9,0,2000-01,26,3PT Field Goal,0.0
331,20000222,34.0443,-118.2698,7,0,2000-01,0,2PT Field Goal,1.0
332,20000222,33.8673,-118.2098,3,0,2000-01,18,2PT Field Goal,1.0
333,20000222,34.0443,-118.2698,1,0,2000-01,0,2PT Field Goal,1.0
334,20000230,33.7913,-118.3558,9,0,2000-01,26,3PT Field Goal,0.0
336,20000230,33.9763,-118.0978,7,0,2000-01,18,2PT Field Goal,1.0
337,20000230,34.0163,-118.3198,6,0,2000-01,5,2PT Field Goal,0.0
338,20000230,33.8793,-118.3558,5,0,2000-01,18,2PT Field Goal,1.0
339,20000230,34.0163,-118.3488,4,0,2000-01,8,2PT Field Goal,0.0
340,20000230,34.0443,-118.2698,4,0,2000-01,0,2PT Field Goal,1.0
341,20000230,33.9003,-118.2518,2,0,2000-01,14,2PT Field Goal,0.0
342,20000230,33.9893,-118.1468,2,0,2000-01,13,2PT Field Goal,0.0
343,20000230,34.0443,-118.2698,0,0,2000-01,0,2PT Field Goal,0.0
344,20000230,34.0593,-118.4398,4,0,2000-01,17,2PT Field Goal,0.0
345,20000230,33.9283,-118.1108,4,0,2000-01,19,2PT Field Goal,1.0
347,20000230,33.8963,-118.2378,11,0,2000-01,15,2PT Field Goal,1.0
349,20000230,33.8463,-118.2648,9,0,2000-01,19,2PT Field Goal,0.0
350,20000230,33.7973,-118.4188,6,0,2000-01,28,3PT Field Goal,0.0
351,20000230,34.0443,-118.2698,5,0,2000-01,0,2PT Field Goal,1.0
352,20000230,33.9113,-118.3488,4,0,2000-01,15,2PT Field Goal,1.0
353,20000230,34.0043,-118.2928,3,0,2000-01,4,2PT Field Goal,0.0
354,20000230,33.8903,-118.2038,0,0,2000-01,16,2PT Field Goal,1.0
355,20000230,33.7873,-118.3558,0,0,2000-01,27,3PT Field Goal,1.0
356,20000230,33.8463,-118.1948,11,0,2000-01,21,2PT Field Goal,0.0
357,20000230,34.0443,-118.2698,11,0,2000-01,0,2PT Field Goal,1.0
358,20000230,33.9763,-118.3278,9,0,2000-01,8,2PT Field Goal,1.0
359,20000230,33.9833,-118.2098,9,0,2000-01,8,2PT Field Goal,1.0
360,20000230,33.7913,-118.1528,7,0,2000-01,27,3PT Field Goal,1.0
361,20000230,34.0273,-118.3198,6,0,2000-01,5,2PT Field Goal,0.0
362,20000230,34.0443,-118.2698,6,0,2000-01,0,2PT Field Goal,1.0
363,20000230,33.8353,-118.2518,4,0,2000-01,20,2PT Field Goal,0.0
364,20000230,33.8843,-118.4058,0,0,2000-01,20,2PT Field Goal,1.0
366,20000246,33.9173,-118.2098,10,0,2000-01,14,2PT Field Goal,1.0
367,20000246,33.9113,-118.1828,9,0,2000-01,15,2PT Field Goal,0.0
368,20000246,33.9623,-118.2308,8,0,2000-01,9,2PT Field Goal,1.0
369,20000246,34.0423,-118.4188,6,0,2000-01,14,2PT Field Goal,0.0
370,20000246,33.8013,-118.1598,5,0,2000-01,26,3PT Field Goal,1.0
371,20000246,34.0313,-118.1598,1,0,2000-01,11,2PT Field Goal,1.0
372,20000246,33.9623,-118.2588,8,0,2000-01,8,2PT Field Goal,0.0
373,20000246,33.9893,-118.2858,8,0,2000-01,5,2PT Field Goal,0.0
374,20000246,34.0423,-118.0328,8,0,2000-01,23,3PT Field Goal,0.0
375,20000246,33.8463,-118.2588,5,0,2000-01,19,2PT Field Goal,0.0
376,20000246,33.9173,-118.4548,1,0,2000-01,22,2PT Field Goal,1.0
377,20000246,34.0443,-118.2698,1,0,2000-01,0,2PT Field Goal,0.0
378,20000246,33.9553,-118.2588,0,0,2000-01,8,2PT Field Goal,1.0
379,20000246,33.8843,-118.2518,0,0,2000-01,16,2PT Field Goal,0.0
380,20000246,34.0443,-118.2698,10,0,2000-01,0,2PT Field Goal,1.0
381,20000246,33.7593,-118.3678,6,0,2000-01,30,3PT Field Goal,0.0
382,20000246,33.9993,-118.4268,5,0,2000-01,16,2PT Field Goal,1.0
383,20000246,33.8583,-118.3618,4,0,2000-01,20,2PT Field Goal,1.0
384,20000246,34.0163,-118.4188,3,0,2000-01,15,2PT Field Goal,0.0
385,20000246,34.0163,-118.1948,3,0,2000-01,8,2PT Field Goal,1.0
386,20000246,34.0313,-118.1318,0,0,2000-01,13,2PT Field Goal,0.0
387,20000246,34.0443,-118.2698,0,0,2000-01,0,2PT Field Goal,1.0
388,20000246,34.0443,-118.2698,8,0,2000-01,0,2PT Field Goal,1.0
389,20000246,33.9343,-118.3848,7,0,2000-01,15,2PT Field Goal,1.0
393,20000258,34.0443,-118.2698,9,0,2000-01,0,2PT Field Goal,1.0
394,20000258,33.8793,-118.3348,7,0,2000-01,17,2PT Field Goal,1.0
395,20000258,33.9113,-118.1888,6,0,2000-01,15,2PT Field Goal,1.0
396,20000258,33.9343,-118.1318,3,0,2000-01,17,2PT Field Goal,0.0
398,20000258,33.6503,-118.0388,0,0,2000-01,45,3PT Field Goal,0.0
399,20000258,33.8393,-118.2648,11,0,2000-01,20,2PT Field Goal,0.0
400,20000258,33.8963,-118.3138,10,0,2000-01,15,2PT Field Goal,0.0
401,20000258,34.0213,-118.2518,9,0,2000-01,2,2PT Field Goal,1.0
402,20000258,33.9553,-118.1468,8,0,2000-01,15,2PT Field Goal,1.0
403,20000258,33.9173,-118.3618,5,0,2000-01,15,2PT Field Goal,0.0
